Année;SIRET ou NIR;Raison Sociale;Raison sociale 2;Code postal;Commune;Mandaté
2012;35000000000000;ACADEMIE SCIENCES BELLES;LETTRES ET ARTS;49100;ANGERS;2000.0
2012;78600000000000;HANDISPORT REG.ANGEVINE;;49100;ANGERS;7422.0
2012;40100000000000;COAD-CLUB OMNISPORTS AJAX;DAUMERAY-SECT TIR A L'ARC;49640;DAUMERAY;1542.0
2012;77600000000000;ASEA PREVENTION SPECIALISEE;ASS.SAUVEGARDE ENFANCE ADO;49124;ST BARTHELEMY D ANJOU;10850.0
2012;43500000000000;ECOL.INTER.MUSIQUE LOIRE;LAYON;49290;CHALONNES SUR LOIRE;13082.0
2012;78600000000000;OGEC LYCEE COLLEGE PRIV MONGAZON;;49000;ANGERS;1858.0
2012;77600000000000;SCOUTS DE FRANCE-GROUPE;SAUMUR;49400;SAUMUR;800.0
2012;78800000000000;LYCEE ROBERT D'ARBRISSEL;CHEMILLE;49120;CHEMILLE EN ANJOU;22942.0
2012;30000000000000;APEL VOYAGES;LOURDES;49630;LA POMMERAYE;500.0
2012;43900000000000;GYMNASTIQUE BOUCHEMAINE;HOTEL DE VILLE;49080;BOUCHEMAINE;2875.0
2012;31000000000000;MOUV.FR.PLANNING FAMILIA;ASS.DEPART. M&L;49100;ANGERS;2500.0
2012;34200000000000;MAISON DE LOIRE EN ANJOU;;49250;ST MATHURIN SUR LOIRE;200.0
2012;49500000000000;PARCOURS CONFIANCE;BRETAGNE PAYS DE LOIRE;44800;ST HERBLAIN;5000.0
2013;39200000000000;ASSOC MISSION BOCAGE;;49600;BEAUPREAU EN MAUGES;1500.0
2013;45300000000000;ASSO VAILLANTE SPORT ANGERS;TENNIS DE TABLE;49100;ANGERS;2000.0
2013;42000000000000;SAUMUR ATTELAGE - ASA;;49400;SAUMUR;0.0
2013;33500000000000;ECOL.MUSIQUE VILLEVEQUE;SOUCELLES;49140;VILLEVEQUE;500.0
2013;38100000000000;AELA-ASS ENFANCE LOISIR;ANIMATION-  ST LEGER;49280;ST LEGER SOUS CHOLET;2200.0
2013;78600000000000;ANGERS LOISIRS PLEIN AIR;ALPA;49100;ANGERS;500.0
2013;41100000000000;AIDAL;;49800;LOIRE AUTHION;1000.0
2013;41100000000000;LEO LAGRANGE OUEST;;44600;ST NAZAIRE;1000.0
2013;32000000000000;ACE - ACTION CATHOLIQUE;DES ENFANTS MAINE ET LOIRE;49045;ANGERS CEDEX 01;1100.0
2013;48400000000000;COMITE DEPTAL HANDISPORT;MAISON DEPARTEMENTALE DES SPORTS;49130;LES PONTS DE CE;2000.0
2013;44400000000000;DEPT DES LOGIS DE FRANCE;D'ANJOU;49100;ANGERS;6000.0
2013;32400000000000;CENTRE SOCIAL DU CHEMILLOIS;CHEMILLE;49120;CHEMILLE EN ANJOU;2300.0
2010;34870700000000;SAUMUR EQUESTRE INTERNATIONAL;;49400;SAUMUR;3750.0
2010;44328600000000;ANGERS NATATION SYNCHRO;;49000;ANGERS;1500.0
2010;32949100000000;IRCOM - SAINTE ANNE;;49130;LES PONTS DE CE;176000.0
2010;52787400000000;AJIC;ASSO JEUNESSE INTERCOMMUNALE;49770;LA MEIGNANNE;180.88
2010;33167400000000;FAMILLES RURALES LANDEMONT;CLSH;49270;LANDEMONT;240.24
2010;41068300000000;ASSOCIATION LEO LAGRANGE OUEST 49;;44600;ST NAZAIRE;52.08
2010;39822100000000;AFOCAL PAYS DE LA LOIRE;;49100;ANGERS;15837.0
2010;30910500000000;UFCV - PAYS DE  LA LOIRE;DELEGATION REGIONALE;44185;NANTES CEDEX 4;1200.0
2011;53057900000000;PALET GESTOIS;;49230;ST GERMAIN SUR MOINE;1000.0
2011;38858700000000;SOC LETTRES SCIENCES ET ARTS;SAUMUROIS;49400;SAUMUR;160.0
2011;30777300000000;COLLEGE PRIVE OZANAM;;49110;ST PIERRE MONTLIMART;1546.5
2011;78615100000000;OGEC COLL.ST JOSEPH CHOLET;;49300;CHOLET CEDEX;19554.69
2011;50860000000000;ST EDWARDS - UNIVERSITY;;49370;BECON LES GRANITS;15000.0
2011;41316400000000;GESTION CENTRE ST MATHURIN;CENTRE LOISIRS MUNICIPAL;49250;ST MATHURIN SUR LOIRE;1800.0
2011;33862200000000;AFR ST MICHEL&CHANVEAUX;;49420;ST MICHEL ET CHANVEAUX;500.0
2011;78618600000000;AFR LE PIN EN MAUGES;;49110;LE PIN EN MAUGES;500.0
2011;31747000000000;ASSOCIATION FAMILLES RURALES DE MARANS;;49500;MARANS;500.0
2011;30358800000000;ASSOCIATION VACANCES LOISIRS JEUNESSES;;49270;ST SAUVEUR DE LANDEMONT;1200.0
2011;37769900000000;OFFICE MUNIC. DES SPORTS;CULTURE & ACTION SOCIALE;49610;MURS ERIGNE;750.0
2011;48395100000000;ASSOC PAYS LOIRE ANGERS;;49105;ANGERS CEDEX 02;50000.0
2011;32610100000000;ECOLE MUSIQUE CHEMILLE;;49120;CHEMILLE;18300.0
2014;34900000000000;AIDES TERRITOIRE D'ACTIONS ANJOU-MAINE;;93508;PANTIN CEDEX;500.0
2014;;ASSOC ASSIKOI;;49490;NOYANT;1950.0
2014;49300000000000;ASSOCIATION LE RELAIS G2A;L HACIENDA;69140;RILLIEUX LA PAPE;90000.0
2014;78600000000000;MAISON DE L ENFANCE FRF 49;;49110;ANGERS;1200.0
2014;35200000000000;CENTRE SOCIAL ROLLAND CHARRIER;CANTON DE MONTREUIL BELLAY;49260;MONTREUIL BELLAY;0.0
2014;40500000000000;L ABLETTE ANGEVINE;;49100;ANGERS;0.0
2014;79800000000000;COMICE AGRICOLE ET VITICOLE DU CANTON;DES PONTS DE CE;49130;LES PONTS DE CE;1500.0
2014;45300000000000;LES FOULEES CHOLETAISES;;49300;CHOLET;1000.0
2014;33800000000000;SPORTING CLUB DE BEAUCOUZE;;49070;BEAUCOUZE;0.0
2014;32700000000000;CTRE SOCIAL EVRE ET MAUGES;;49600;BEAUPREAU EN MAUGES;2300.0
2014;48000000000000;GIROND'O ANIMATION JEUNESSE;CENTRE DE VIE COMMUNAL;49540;MARTIGNE BRIAND;1500.0
2014;42500000000000;FRANCE ALZHEIMER 49;;49000;ANGERS;750.0
2014;44300000000000;ASSOC CICG PAYS LOIRE AUTHION;CENTRE INF.COORD.GERONT.;49250;BEAUFORT EN ANJOU;30217.0
2014;48100000000000;ENJEU ENFANCE;ESPACE JEUNES;49320;BRISSAC QUINCE;0.0
2015;52500000000000;ORGANIC ORCHESTRA PRODUCTIONS;;72000;LE MANS;1927.0
2015;32000000000000;ASSOCIATION ASPTT ANGERS;;49100;ANGERS;1900.0
2015;79900000000000;SYNDICAT ELEVEURS DE BOVINS DE RACE;CHAROLAISE;49320;BRISSAC QUINCE;300.0
2015;40400000000000;CIVAM AGRICULTURE DURABLE;;49610;MURS ERIGNE;3000.0
2015;35000000000000;LIGUE DE CANOE KAYAK;PAYS LOIRE-CTE REGIONAL;49000;ANGERS;4750.0
2015;33900000000000;ANJOU INTER-LANGUES;;49100;ANGERS;7200.0
2015;30300000000000;ASSOCIATION DE GESTION;COLLEGE ST JEAN;49310;LYS HAUT LAYON;2501.0
2015;31500000000000;OGEC COLLEGE J. BLOUIN;ST GERMAIN SUR MOINE;49230;ST GERMAIN SUR MOINE;628.0
2015;30900000000000;FAMILLES RURALES;CLSH;49320;ST JEAN DES MAUVRETS;2500.0
2015;77600000000000;EEDF GR ANGERS SUD;;49100;ANGERS;500.0
2015;44900000000000;COMITE DPTAL TIR A L ARC  MAINE ET L.;;49130;LES PONTS DE CE;2792.0
2016;43500000000000;ECOL.INTER.MUSIQUE LOIRE;LAYON;49290;CHALONNES SUR LOIRE;17100.0
2016;34200000000000;ASSO GROUPE ECOLE SUPERIEUR AGRICULT;;49007;ANGERS CEDEX 01;2000.0
2016;78600000000000;ASSOC JEUNE FRANCE OMNISPORTS;;49300;CHOLET;450.0
2016;78600000000000;ASSOC JEUNE FRANCE OMNISPORTS;;49300;CHOLET;700.0
2004;78611700000000;INSTITUTION STE AGNES;;49000;ANGERS;232.0
2004;30059900000000;CENTRE AFPA NANTES-ST HERBLAIN;REGION PAYS DE LOIRE;44805;NANTES ST HERBLAIN CEDEX;5411.0
2004;78621100000000;OGEC COLLEGE ST LOUIS SAUMUR;;49400;SAUMUR;6000.0
2004;32742100000000;CTRE SOCIAL BEAUPREAU;ESPACE CENTRE MAUGES;49600;BEAUPREAU;1500.0
2004;43387200000000;CLAP-CTRE LOISIRS&ACCUEI;PERISCOLAIRE;49600;BEAUPREAU;404.5
2004;44334200000000;L'ILE AUX ENFANTS;;49360;TOUTLEMONDE;140.0
2004;32433400000000;CENTRE SOCIAL DU CHEMILLOIS;;49120;CHEMILLE;336.0
2004;32284700000000;PETITE ENFANCE ANGERS;;49000;ANGERS;1500.0
2004;45376600000000;OASIS 49 CHOLET;;49300;CHOLET;153.0
2005;42502700000000;APDM OEUVRES SOCIALES &;LOISIRS;49041;ANGERS CEDEX 01;1548.0
2005;42502700000000;APDM OEUVRES SOCIALES &;LOISIRS;49041;ANGERS CEDEX 01;5320.0
2005;43535700000000;USEP ECOL.PUB.DAUMERAY;;49640;DAUMERAY;104.5
2005;78616600000000;OGEC COLLEGE ST LOUIS JALLAIS;;49510;JALLAIS;980.0
2005;78834800000000;COLL.ST ANDRE SAUMUR;;49400;SAUMUR;5147.0
2005;78615100000000;OGEC COLL.ST JOSEPH CHOLET;;49300;CHOLET CEDEX;1780.0
2005;40421600000000;ADDECA - DIRECTION;DIOCESAINE ENSEIG.CATHOLIQ;49000;ANGERS;75500.0
2005;33120400000000;AFR LA POUEZE;;49370;LA POUEZE;636.4
2005;35090000000000;CENTRE SOCIAL INDIGO;CULT.INTERC.;49450;ST MACAIRE EN MAUGES;1377.45
2005;78611700000000;OGEC ECOL.PRIVEE ST PIERRE;;49100;ANGERS;200.0
2005;38783300000000;ST VINCENT DE PAUL;CONSEIL DPTAL STE ST V.DE PAUL;49000;ANGERS;800.0
2006;42772600000000;URGENCE AFRIQUE;;49160;LONGUE JUMELLES;4500.0
2006;78612000000000;FEDERATION OEUVRES LAIQUES M L;FOL49;49100;ANGERS;2187.92
2014;50000000000000;AFR ENFANCE JEUNESSE DISTRE;MAIRIE;49400;DISTRE;1600.0
2014;48400000000000;RECREA LION;;49220;LE LION D ANGERS;0.0
2014;50900000000000;TEMATOUT;;49280;LA TESSOUALLE;0.0
2014;37800000000000;HABITANTS DU HAUT DES BANCHAIS;;49100;ANGERS;2280.0
2014;78100000000000;ASSO ALVEOLE;;49300;CHOLET;800.0
2014;44800000000000;ECLAIREURS NEUTRES;DE FRANCE;49800;LA DAGUENIERE;0.0
2014;41100000000000;LEO LAGRANGE OUEST;;44600;ST NAZAIRE;1800.0
2014;30400000000000;FAMILLES RURALES CANDE;;49440;CANDE;800.0
2014;34900000000000;ASSOCIATION PREMIERS PLANS;;49100;ANGERS;52500.0
2014;51400000000000;ECOLE DES ARTS DU CIRQUE;;49124;ST BARTHELEMY D ANJOU;5000.0
2014;51400000000000;ETOILE D'OR ANGERS PRO STAR;;49130;STE GEMMES SUR LOIRE;7500.0
2014;42300000000000;COMITE DPTAL RANDONNEE PEDESTRE;CDRP;49130;LES PONTS DE CE;3000.0
2014;49100000000000;ASSOC P/PILOTAGE PROJETS RECHERCHE;ENTREPRISE DU POLE ENFANT;49300;CHOLET;47500.0
2014;44300000000000;L'ILE AUX ENFANTS;;49360;TOUTLEMONDE;0.0
2014;42100000000000;FONDES;FONDS DEVELOP. SOLIDAIRE;44022;NANTES CEDEX;8000.0
2015;79200000000000;POSITIVE VIBRATION;;49124;LE PLESSIS GRAMMOIRE;500.0
2015;40100000000000;COMITE EQUESTRE SAUMUR;;49400;SAUMUR;15000.0
2015;48800000000000;ASSO SPORTING CLUB DE L'OUEST;SECTION ATHLETISME ANGERS;49100;ANGERS;750.0
2015;34900000000000;FEDERATION DEPARTEMENT DES;MAISON FAMILIALE;49070;BEAUCOUZE;163875.0
2015;78600000000000;OGEC LYC&COL ND ORVAULT;ENSEIGNEMENT PRIVE;49500;NYOISEAU;926.0
2015;43000000000000;OGEC INSTITUTION ST LAUD;COLLEGE;49130;LES PONTS DE CE;1788.0
2015;78600000000000;OGEC COLLEGE PRIVE STE MARIE;TORFOU;49660;SEVREMOINE;320.0
2015;45300000000000;CSI CHLORO'FIL;;49340;NUAILLE;500.0
2015;78600000000000;OGEC INSTITUTION ST LOUIS;COLLEGE;49400;SAUMUR;1936.0
2015;34800000000000;AFR ST MELAINE SUR AUBANCE;;49610;ST MELAINE SUR AUBANCE;800.0
2015;49000000000000;LES LYRIADES DE LA LANGUE FRANCAISE;;49530;OREE D ANJOU;19200.0
2015;41000000000000;AIDE MAISON AGRICULTURE;;49100;ANGERS;5000.0
2016;39000000000000;TERRE DES SCIENCES;;49000;ANGERS;2000.0
2016;78600000000000;STADE OLYMPIQUE CHOLETAIS;;49303;CHOLET CEDEX;2100.0
2016;44300000000000;ANGERS NATATION SYNCHRO;;49000;ANGERS;1500.0
2016;78600000000000;COMITE PERMANENT FETES ET SALONS;VILLE DE SAUMUR;49400;SAUMUR;2000.0
2016;50000000000000;ADIL 49;;49100;ANGERS;65000.0
2006;32851600000000;ASCSB ST BARTHELEMY D'ANJOU;;49124;ST BARTHELEMY D'ANJOU;1000.0
2006;32593100000000;ECOLE MUSIQUE MURS ERIGNE;ET ATELIER DANSE;49610;MURS ERIGNE;6131.0
2006;37920400000000;ESAIP-INSTITUT SUPERIEUR;ACTION INTERNAT.ET  PRODUC;49124;ST BARTHELEMY D'ANJOU;10671.0
2006;78611700000000;MONGAZON LYC & COLL.;;49000;ANGERS;1856.19
2006;78612800000000;OGEC ECOL.ST LOUIS BECON;;49370;BECON LES GRANITS;215.0
2006;31450400000000;CEFRAS;CENTRE DE FORMATION;49120;CHEMILLE;18500.0
2006;78835000000000;CTRE SOCIAL DES PLAINES;;49000;ANGERS;334.88
2006;38859400000000;GALIPETTE;CENTRE LOISIRS MATERNEL BAUGE;49150;BAUGE;706.67
2010;48186600000000;AIR-PAYS DE LOIRE;ASS.INSUFFIS.RENAUX P.LOIR;49000;ANGERS;250.0
2010;39852100000000;ABRI DE LA PROVIDENCE;;49100;ANGERS;85200.0
2010;32610100000000;ECOLE MUSIQUE CHEMILLE;;49120;CHEMILLE;137.25
2010;44443100000000;IGEAC;;49300;CHOLET;32875.5
2010;34051100000000;AFR ST GEORGES DES GARDES;;49120;ST GEORGES DES GARDES;70.56
2011;44961000000000;COMITE DE ROLLER SKATING;;49000;ANGERS;2437.0
2011;48124300000000;PONTS DE CE TENNIS;;49137;LES PONTS DE CE CEDEX;750.0
2011;44775400000000;AFTC 49 ET 53;FAMILLS DES TRAUMATISES CRANIENS;49800;TRELAZE;25000.0
2011;49258800000000;ANJOU CHORALES;;49100;ANGERS;2000.0
2011;43038300000000;OGEC INSTITUTION ST LAUD;COLLEGE;49130;LES PONTS DE CE;25808.08
2011;78611700000000;OGEC COLLEGE LA MADELEINE;;49044;ANGERS;2544.0
2011;49267000000000;UN PAS DE COTE;;49120;ST LEZIN;2300.0
2011;40421600000000;ADDECA - DIRECTION;DIOCESAINE ENSEIG.CATHOLIQ;49000;ANGERS;65000.0
2011;31752700000000;SECOURS POPULAIRE FRANCAIS;FEDERATION DE M ET L;49100;ANGERS;6500.0
2011;42073100000000;UFSBD-ANGERS;UNION FR. SANTE BUCCO-DENT;49100;ANGERS;2500.0
2012;;ARSINOE;AUTRE REGARD INCESTE OUVRIR A L ESPOIR;49220;CHENILLE CHAMPTEUSSE;400.0
2012;79900000000000;ELEVAGE ROUGE DES PRES;MAISON DE L'AGRICULTURE;49220;CHENILLE CHAMPTEUSSE;1300.0
2012;80300000000000;COMICE AGRICOLE CANTON;LION ANGERS;49220;LE LION D ANGERS;1500.0
2012;79900000000000;SYNDICAT DEPTAL ROUGE DE L'OUEST;;49310;MONTILLIERS;300.0
2012;38000000000000;COMITE DEP OLYMPIQUE ET SPORTIF M ET L;;49130;LES PONTS DE CE;18000.0
2012;38900000000000;HOCKEY CLUB CHOLETAIS;LA PATINOIRE GLISSEO;49300;CHOLET;6188.0
2012;39200000000000;CSPO-CONNAISS.SAUV.PROMO;ORGUES;49000;ANGERS;8000.0
2012;78600000000000;ADPEP49-SIEGE;;49100;ANGERS;1800.0
2012;44800000000000;ASSOC CRC YVAN ALEXANDRE;;49300;CHOLET;3500.0
2007;78610700000000;CENTRE JACQUES TATI;;49000;ANGERS;2300.0
2008;32158000000000;MONPLAISIR SOLIDARITE;MAISON POUR TOUS DE MONTPLAISIR;49100;ANGERS;2500.0
2008;78616600000000;MAIS.FAMIL.LA CHARMILLE;;49510;JALLAIS;11389.0
2008;31907500000000;ASSOC IREPS PAYS DE LA LOIRE;;44093;NANTES CEDEX 1;10532.0
2008;;AAPPMA LE MARTIN PECHEUR;;49125;CHEFFES;200.0
2008;38942400000000;CENTRE AIDE VIE ASSOCIATIVE;(CAVA 49);49100;ANGERS;15000.0
2008;40245100000000;CULTURE & MUSIQUE CANTON;DE MONTFAUCON SUR MOINE;49230;MONTFAUCON MONTIGNE;7440.0
2008;31456000000000;OGEC COLLEGE J. BLOUIN;ST GERMAIN SUR MOINE;49230;ST GERMAIN SUR MOINE;4706.0
2008;33761500000000;SPORTING CLUB DE BEAUCOUZE;SECTION BADMINTON;49070;BEAUCOUZE;1604.96
2008;40257000000000;AFR CHAPELLE SUR OUDON;;49500;LA CHAPELLE SUR OUDON;393.12
2008;33862200000000;AFR ST MICHEL&CHANVEAUX;;49420;ST MICHEL ET CHANVEAUX;548.8
2008;35279700000000;FOYERS RURAUX 49;FEDERATION DEPARTEMENTALE;49000;ANGERS;13800.0
2008;44046500000000;PARENTS ELEVES ST JEAN;DE LINIERES;49070;ST JEAN DE LINIERES;272.0
