Année;SIRET ou NIR;Raison Sociale;Raison sociale 2;Code postal;Commune;Mandaté
2008;35181600000000;CENTRE FORMATION ET PROMOTION;DES MAISONS FAMILIALES;49510;JALLAIS;8048.0
2008;40415200000000;AFR BOURG D'IRE;;49520;LE BOURG D'IRE;299.04
2008;78617100000000;ACCUEIL DE LOISIRS CARABISTOUILLE;;49160;LONGUE JUMELLES;540.4
2008;37823400000000;AFR SEICHES SUR LE LOIR;;49140;SEICHES SUR LE LOIR;1388.8
2008;43916900000000;GYMNASTIQUE BOUCHEMAINE;HOTEL DE VILLE;49080;BOUCHEMAINE;3306.0
2008;49858400000000;VAINCRE LA MUCOVISCIDOSE;VIRADES DE L'ESPOIR;49000;ANGERS;300.0
2009;41888700000000;PACA - PRESENCE ART;CONTEMPORAIN;49100;ANGERS;12000.0
2009;31700100000000;CAT LA REBELLERIE;;49560;NUEIL SUR LAYON;24750.0
2009;78612000000000;UNION ANJOU FSCF ANGERS;;49045;ANGERS CEDEX 01;4269.44
2009;35216500000000;STELLA SPORT LA ROMAGNE;TENNIS DE TABLE;49740;LA ROMAGNE;12969.65
2009;32851600000000;ASCSB ST BARTHELEMY D'ANJOU;;49124;ST BARTHELEMY D'ANJOU;2825.0
2009;78611700000000;OGEC ECOLE COLLEGE ST AUGUSTIN;;49000;ANGERS;76164.0
2009;78611700000000;OGEC COLLEGE ST MAURICE;CATHEDRALE;49100;ANGERS;49577.0
2009;45301000000000;CSI CHLORO'FIL;;49340;NUAILLE;500.0
2009;48785200000000;GRAINE DE CITOYEN;;49000;ANGERS;500.0
2009;78835000000000;LYCEE ROBERT D'ARBRISSEL;CHEMILLE;49120;CHEMILLE;27982.0
2009;41316400000000;GESTION CENTRE ST MATHURIN;CENTRE LOISIRS MUNICIPAL;49250;ST MATHURIN SUR LOIRE;2301.98
2009;30341100000000;CENTRE SOCIAL DU VERGER;;49307;CHOLET CEDEX;245.88
2009;78835000000000;CTRE SOCIAL DES PLAINES;;49000;ANGERS;456.4
2009;40257200000000;AFR BAUNE;CORNILLE LUE;49140;BAUNE;1076.32
2009;33896300000000;AFR VERCHERS SUR LAYON;;49700;LES VERCHERS SUR LAYON;1137.52
2009;78620700000000;LES 3 A -ST SYLVAIN D'ANJOU;;49480;ST SYLVAIN D'ANJOU;1311.52
2009;41068300000000;ASSOCIATION LEO LAGRANGE OUEST 49;;44600;ST NAZAIRE;767.76
2009;78611500000000;ADPEP49-SIEGE;;49100;ANGERS;5000.0
2009;51251500000000;GRUGEENNE DU SOUVENIR DU;MAL LECLERC DE HAUTECLOCQU;49520;GRUGE L'HOPITAL;500.0
2009;31825100000000;MAIS.RETR.MONTFORT;;49270;LANDEMONT;2829.0
2009;78610700000000;CENTRE JACQUES TATI;;49000;ANGERS;580.16
2009;37864500000000;ASSOC ADLI-ASS.DPT. LUTTE ILLE;TRISME - ANGERS;49100;ANGERS;3000.0
2009;43785000000000;AIDE VICTIM.ABUS SEXUELS;AAVAS;49100;ANGERS;7000.0
2010;42502700000000;APDM OEUVRES SOCIALES &;LOISIRS;49041;ANGERS CEDEX 01;53000.0
2010;32211900000000;ASSOC CPIE LOIRE ET MAUGES;CTRE PERM. D'INITIATIVES P/L'ENVIRON.;49602;BEAUPREAU CEDEX;12500.0
2010;44275200000000;ALADESH;;49100;ANGERS;2000.0
2006;40776200000000;AFR ST CRESPIN SUR MOINE;;49230;ST CRESPIN SUR MOINE;139.7
2006;78620300000000;AFR ST MACAIRE EN MAUGES;;49450;ST MACAIRE EN MAUGES;1226.6
2006;78610700000000;CENTRE JACQUES TATI;;49000;ANGERS;1094.8
2006;42073100000000;UFSBD-ANGERS;UNION FR. SANTE BUCCO-DENT;49100;ANGERS;3500.0
2006;30910500000000;UFCV - PAYS DE  LA LOIRE;DELEGATION REGIONALE;44185;NANTES CEDEX 4;350.35
2007;52088000000000;AYITI EDUCATION 49;;49140;SOUCELLES;2000.0
2007;78615200000000;CTE ANIMAT.ENFANC.CHOLET;;49300;CHOLET;3861.76
2007;40532700000000;L'ABLETTE ANGEVINE;;49100;ANGERS;414.4
2007;32211900000000;ASSOC CPIE LOIRE ET MAUGES;CTRE PERM. D'INITIATIVES P/L'ENVIRON.;49602;BEAUPREAU CEDEX;18000.0
2007;78612000000000;FEDERATION OEUVRES LAIQUES M L;FOL49;49100;ANGERS;10000.0
2007;32612600000000;ASI-SECT.TENNIS DE TABLE;;49610;MURS ERIGNE;4769.0
2007;78620900000000;ASSOCIATION COMITE PERMANENT FETES;& SALONS VILLE DE SAUMUR;49413;SAUMUR CEDEX;6100.0
2007;30059900000000;CENTRE AFPA NANTES-ST HERBLAIN;REGION PAYS DE LOIRE;44805;NANTES ST HERBLAIN CEDEX;6000.0
2007;32227100000000;OGEC ECOL.IMMACULEE CONCEPT.;;49000;ANGERS;5147.0
2007;31456000000000;OGEC COLLEGE J. BLOUIN;ST GERMAIN SUR MOINE;49230;ST GERMAIN SUR MOINE;5700.0
2007;;USEP LES GOGANES;;49170;LA POSSONNIERE;430.0
2007;51278900000000;SCOLAIR.ECOL G BORDILLON;;49100;ANGERS;217.0
2007;30341100000000;CENTRE SOCIAL DU VERGER;;49307;CHOLET CEDEX;1800.0
2007;78835000000000;CTRE SOCIAL DES PLAINES;;49000;ANGERS;623.84
2007;33862200000000;AFR ST MICHEL&CHANVEAUX;;49420;ST MICHEL ET CHANVEAUX;588.0
2007;786137271;ASS.FAM.SECT.RUCHE;CHAPELLE ROUSSELIN;49120;LA CHAPELLE ROUSSELIN;332.64
2007;78617000000000;AFR LIRE - CLSH;;49530;LIRE;606.48
2007;32852600000000;AFR CTRE AERE NEUILLE;;49680;NEUILLE;728.56
2007;41068300000000;ASSOCIATION LEO LAGRANGE OUEST 49;;44600;ST NAZAIRE;902.72
2007;49931400000000;ASSOC NDC ANGERS ESCRIME;;49100;ANGERS;1500.0
2007;78622500000000;ADASA - MR ST JOSEPH;ASSOC AIDE SOCIALE AUX ANCIENS;49450;VILLEDIEU LA BLOUERE;64120.0
2007;39852100000000;ABRI DE LA PROVIDENCE;;49100;ANGERS;14250.0
2007;40977800000000;SOPHOS;;49100;ANGERS;1600.0
2007;40955000000000;REGIE QUARTIERS D'ANGERS;PROJET BAMAKO;49100;ANGERS;750.0
2008;52426600000000;TERRE FRATERNELLE;;49320;SAULGE L'HOPITAL;2000.0
2008;41888700000000;PACA - PRESENCE ART;CONTEMPORAIN;49100;ANGERS;250.0
2008;78612300000000;ASSOC MJC MAISON DES JEUNES;& DE LA CULTURE;49242;AVRILLE;367.08
2008;78619300000000;MFR LE VALLON;;49740;LA ROMAGNE;4661.29
2008;51281300000000;ANGERS-BD;;49000;ANGERS;800.0
2008;78611700000000;INSTITUTION STE AGNES;;49000;ANGERS;1858.0
2008;30059900000000;CENTRE AFPA NANTES-ST HERBLAIN;REGION PAYS DE LOIRE;44805;NANTES ST HERBLAIN CEDEX;30099.3
2005;30468900000000;FGDS49- FED DPTAL GROUPT;DE DEFENSE SANITAIRE;49800;TRELAZE;90000.0
2005;;ASSOC FESTI ELEVAGE MAINE ET LORIE;;49800;TRELAZE;15000.0
2005;42431800000000;SAUMUR HORSE BALL EUROPE;;49400;SAUMUR;1300.0
2005;78612000000000;FEDERATION OEUVRES LAIQUES M L;FOL49;49100;ANGERS;10000.0
2005;78620900000000;ASSOCIATION COMITE PERMANENT FETES;& SALONS VILLE DE SAUMUR;49413;SAUMUR CEDEX;3100.0
2005;32742100000000;CTRE SOCIAL BEAUPREAU;ESPACE CENTRE MAUGES;49600;BEAUPREAU;1111.0
2005;30910500000000;UFCV - PAYS DE  LA LOIRE;DELEGATION REGIONALE;44185;NANTES CEDEX 4;273.0
2006;31102100000000;ANCIENS MAIRES ET ADJOINT;MAISON DES MAIRES DE M ET L;49000;ANGERS;1000.0
2006;39248200000000;CENTRE MARCELLE MENET;;49100;ANGERS;460.0
2006;32362300000000;ALEA-LOISIRS ENFANCE &;ADOLESCENCE 3 MATS;49014;ANGERS CEDEX;3393.56
2006;;GD PRIX CYCLISTE CHOLET;COMITE D'ORGANISATION;49300;CHOLET;1000.0
2006;44347100000000;AETS DE L'ESEO;;49009;ANGERS CEDEX 01;10671.0
2006;30341100000000;CENTRE SOCIAL DU VERGER;;49307;CHOLET CEDEX;358.96
2006;41099900000000;ASSOCIATION FAMILLES RURALES;DE BRAIN SUR ALLONNES;49650;BRAIN SUR ALLONNES;1123.36
2006;39392900000000;LOIR JEUNESSE VILLEVEQUE;SOUCELLES;49140;SOUCELLES;598.04
2006;32610100000000;AFR NEUVY EN MAUGES;;49120;NEUVY EN MAUGES;150.08
2004;38859400000000;GALIPETTE;CENTRE LOISIRS MATERNEL BAUGE;49150;BAUGE;192.5
2004;78622000000000;AFR TREMENTINES;;49340;TREMENTINES;225.5
2004;78620700000000;LES 3 A -ST SYLVAIN D'ANJOU;;49480;ST SYLVAIN D'ANJOU;671.0
2004;44258600000000;CTRE LOISIRS ENFANTS VIHIERS;;49310;VIHIERS;828.25
2005;33228900000000;INTER ASS. LAC DE MAINE;MAISON DE QUARTIER;49000;ANGERS;1635.15
2005;32158000000000;MAIS.PR TOUS MONPLAISIR;;49100;ANGERS;3450.0
2005;78615100000000;MFREO -LA BONNAUDERIE;;49300;CHOLET;6874.84
2004;78616900000000;OGEC COLLEGE FRANCOIS D'ASSISE;;49505;LE LION D'ANGERS;980.0
2004;34885900000000;ETOILE D'OR SAINT LEONARD ANGERS;;49000;ANGERS;0.0
2004;51281300000000;ANGERS-BD;;49000;ANGERS;800.0
2012;48400000000000;PARTAGE AVEC L' AFRIQUE;;49140;SEICHES SUR LE LOIR;1500.0
2012;52000000000000;YELEN COOPERATION;;49100;ANGERS;2100.0
2012;78600000000000;MAISON DES JEUNES ET DE LA CULTURE;;49242;AVRILLE;2000.0
2012;49300000000000;ASSO SCENES DE PAYS DES MAUGES;;49600;BEAUPREAU EN MAUGES;16700.0
