Année;Nom de l'organisme bénéficiaire;CP;Ville;"Montant
de la subvention de fonctionnement (1)";"Montant
de la subvention d'investissement (1)";"Montant de la garantie
(2)";"Montant du prêt
(3)";"Avantages en nature
(4)"
2018;AEP NOTRE DAME BONNEVAL SERVICES ADMINISTRATI;72360;MAYET;150,00;;;;
2018;AEP NOTRE DAME ET ST JEAN;72400;LA FERTE BERNARD;1 495,00;17 750,00;165 219,28;;
2018;AFAC DE CHERRE;72400;CHERRE;300,00;;;;
2018;AFAI;72150;SAINT PIERRE DU LOROUER;;;584 325,85;;
2018;AFDI COMITE DE LA SARTHE;72000;LE MANS;;5 000,00;;;
2018;AFG DU LEAP TERTRE  LA FERTE BERNARD;72400;LA FERTE BERNARD;;6 150,00;;;
2018;AFR BAZOUGES SUR LE LOIR;72200;BAZOUGES SUR LE LOIR;600,00;;;;
2018;AFR CERANS FOULLETOURTE;72330;CERANS-FOULLETOURTE;200,00;;;;
2018;AFR GYMNASTIQUE VOUVRAY SUR;72500;VOUVRAY SUR LOIR;150,00;;;;
2018;AGENCE DEPARTEMENTALE DE DEV PEMENT ECONOMI;72000;LE MANS;1 400 000,00;;;;
2018;AGENCE NOUVELLE DES SOLIDARI;75002;PARIS 2EME ARRONDISSEMEN;12 000,00;;;;
2018;AGFEPA GESTION COMITE FETES;72232;ARNAGE CEDEX;200,00;;;;
2018;AGRISOLIDARITE;72000;LE MANS;5 200,00;;;;
2018;AGV RELAX GAMBETTA LE MANS;72000;LE MANS;400,00;;;;
2018;AHS DE LA SARTHE;72000;LE MANS;;;6 153 542,49;;
2018;AI DOM LE MANS;72000;LE MANS;;15 000,00;;;
2018;AIDES DELEGATION DEPART SART;72000;LE MANS;3 600,00;;;;
2018;AIF DU SOLEIL;72100;LE MANS;500,00;;;;
2018;AIKIDO RYU ANTONNIERE;72650;LA MILESSE;250,00;;;;
2018;AILLEURS PRODUCTION;72540;LOUE;400,00;;;;
2018;AINES RURAUX CANTON DU LUDE;72800;LE LUDE;200,00;;;;
2018;AINES RURAUX FLEE;72500;FLEE;164,00;;;;
2018;AINES RURAUX VOUVRAY SUR LOI;72500;VOUVRAY SUR LOIR;164,00;;;;
2018;AISP INSERTION SOCIALE PROFESSIONNELLE;72200;LA FLECHE;600,00;;;;
2018;ALCYP AMICALE LOISIRS CULTUR;72330;YVRE LE POLIN;150,00;;;;
2018;ALENCONNAISE DE SOINS PALLIA;61014;ALENCON CEDEX;100,00;;;;
2018;ALLIANCE COMPETITION;72320;VIBRAYE;2 000,00;;;;
2018;ALLONISSON;72700;SPAY;400,00;;;;
2018;ALPES MANCELLES ATHLETISME CHEZ MONSIEUR JM L;72130;FRESNAY SUR SARTHE;1 050,00;;;;
2018;ALPHA SABLE;72300;SABLE SUR SARTHE;800,00;;;;
2018;AMI CHEMIN D AVEZE CHEZ M PIERRE BOULARD;72400;AVEZE;250,00;;;;
2018;AMICALE ANCIENS ELEVES ET PARENTS DES ECOLES C;72160;CONNERRE;500,00;;;;
2018;AMICALE CYCLOTOURISTE CHANGE;72560;CHANGE;200,00;;;;X
2018;AMICALE DES AMATEURS DE VEHICULES D EPOQUE ET;72700;ALLONNES;500,00;;;;
2018;AMICALE DES ANCIENS COMBATTA;72610;VILLENEUVE EN PERSEIGNE;150,00;;;;
2018;AMICALE DES ANCIENS COMBATTA ET APPELES DE ROU;72600;VILLENEUVE EN PERSEIGNE;150,00;;;;
2018;AMICALE DES ECOLES LAIQUES D;72800;LE LUDE;150,00;;;;
2018;AMICALE DES FETES DE CHERREA;72400;CHERREAU;200,00;;;;
2018;AMICALE DES JARDINIERS;72230;RUAUDIN;200,00;;;;
2018;AMICALE DES MAIRES ET ADJOIN;72014;LE MANS CEDEX;22 000,00;;;;
2018;AMICALE DES PECHEURS ST AUBI ST MARTIN;72400;SAINT AUBIN DES COUDRAIS;300,00;;;;
2018;AMICALE ECOLE PUBLI PRUILLE   CHETIF;72700;PRUILLE LE CHETIF;150,00;;;;
2018;AMICALE FATINOISE DE PETANQU;72470;FATINES;150,00;;;;
2018;AMICALE LOCATAIRES BRUYERES  LE MANS;72100;LE MANS;600,00;;;;
2018;AMICALE LOCATAIRES CNL RONCE GLONNIERES;72100;LE MANS;350,00;;;;
2018;AMICALE PARENTS ELEVES DE LA SAINT VINCENT DES;72600;SAINT VINCENT DES PRES;150,00;;;;
2018;AMICALE PECHEURS ST ULPHACE;72320;ST ULPHACE;300,00;;;;
2018;AMICALE PETANQUE MEZIERES;72290;MEZIERES SUR PONTHOUIN;150,00;;;;
2018;AMICALE PETANQUE SAVIGNEENNE;72460;SAVIGNE L EVEQUE;150,00;;;;
2018;AMICALE PHILATELIQUE DE LA R;72210;FILLE;200,00;;;;
2018;AMICALE SAPEURS POMPIERS CHA;72250;CHALLES;250,00;;;;
2018;AMICALE SPORTIVE CHEMINOT CH;72500;MONTVAL SUR LOIR;200,00;;;;
2018;AMICALE SPORTIVE DE LA CHAPE SECTION MUSCULATI;72650;LA CHAPELLE ST AUBIN;300,00;;;;
2018;AMICALE SPORTIVE DE VAAS;72500;VAAS;300,00;;;;
2018;AMICALE SPORTIVE DU CHEDOUET SECTION GYMNASTI;72600;VILLENEUVE EN PERSEIGNE;150,00;;;;
2018;AMICALE SPORTIVE ST PATERNE SECTION PETANQUE;72610;SAINT PATERNE;150,00;;;;
2018;AMIS DU BILLARD FRANCAIS BON;72110;BONNETABLE;150,00;;;;
2018;AMIS PRIEURE ST MARCEAU;72170;SAINT MARCEAU;1 200,00;;;;
2018;AMITIE EN MARCHE;72460;SILLE LE PHILIPPE;150,00;;;;
2018;AMU ZIK;72170;PIACE;300,00;;;;
2018;AMUSIQUONS NOUS;72470;CHAMPAGNE;471,00;;;;
2018;ANAIS ESPOIR ET VIE;61000;ALENCON;;;3 170 856,49;;
2018;ANCIENS COMBATTANTS ARCONNAY;72610;ARCONNAY;250,00;;;;
2018;ANCIENS JEUNES DE BEAUMONT;72500;BEAUMONT PIED DE BOEUF;150,00;;;;
2018;ANILLE BRAYE FOOTBALL;72120;ST CALAIS;200,00;;;;
2018;ANIM CHAHAIGNES;72340;CHAHAIGNES;150,00;;;;
2018;ANIMATION CAVE TOURISTIQUE  VOUVRAY;72500;VOUVRAY SUR LOIR;200,00;;;;
2018;ANIMATION CENTRE SOCIAL DES SABLONS;72100;LE MANS;3 200,00;;;;
2018;ANIMATION DU CENTRE SOCIAL D COCHEREAUX NO;72000;LE MANS;900,00;;;;
2018;ANIMATION ET CULTURE LE CARR;72200;LA FLECHE;32 325,00;;;;
2018;ANIMATION GESTION CENTRE SOC CULTUREL LE VAL R;72230;MONCE EN BELIN;1 000,00;;;;
2018;ANIMATION LOISIRS;72130;FRESNAY SUR SARTHE;4 075,00;;;;
2018;ANIMATION LOISIRS ET CULTURE;72270;MALICORNE SUR SARTHE;200,00;;;;
2018;ANIMATION QUARTIER ARDRIERS;72000;LE MANS;500,00;;;;
2018;ANIMATION QUARTIERS GAZONFIE  ET YZEUVILLE;72000;LE MANS;550,00;;;;
2018;ANIMATION RIVE DROITE IMAGIN;72000;LE MANS;1 200,00;;;;
2018;ANR GROUPE 72;75011;PARIS 11EME ARRONDISSEMEN;350,00;;;;
2018;ANTONNIERE JUDO CLUB 72;72650;LA MILESSE;650,00;;;;
2018;APAJH AFIC;72190;COULAINES;;;2 548 443,26;;
2018;APAJH MAROLLES LES BRAULTS;72260;MAROLLES LES BRAULTS;150,00;;;;
2018;APEI SABLE SOLESME;72300;SOLESMES;;;1 718 709,52;;
2018;APEM PROTECTION ENVIRONNEMENT DE;72270;MALICORNE SUR SARTHE;200,00;;;;
2018;APESES AMICALE PARENTS D ELE;72320;COURGENARD;200,00;;;;
2018;APETS72;72700;ST GEORGES DU BOIS;200,00;;;;
2018;APPMA BAZOGE GUIERCHE SOUILL;72650;LA BAZOGE;150,00;;;;
2018;APSD;72000;LE MANS;656 000,00;;;;
2018;AQUARIOPHILIE;72190;COULAINES;150,00;;;;
2018;ARAC ASS REP ANC COMBATTANTS VICTIMES DE GUER;72000;LE MANS;450,00;;;;
2018;ARCONNAY ECHECS LE ROI S AMU;72610;ARCONNAY;931,00;;;;
2018;AREMIS 72;72150;LE GRAND LUCE;500,00;;;;
2018;ARMAB REALISATION D UNE REPL DE LA MANCELLE A B;72000;LE MANS;3 000,00;;;;
2018;ART ET EXPRESSIONS;72370;LE BREIL SUR MERIZE;150,00;;;;
2018;ART ET FLECHIR;72110;SAINT COSME EN VAIRAIS;150,00;;;;
2018;ART EXPO;72460;SAVIGNE L EVEQUE;150,00;;;;
2018;ART MAINE SAOSNOIS;72600;MAMERS;300,00;;;;
2018;ART S IN MUL SARTHE;72230;MULSANNE;150,00;;;;
2018;ARTCONNAY;72610;ARCONNAY;200,00;;;;
2018;ARTEMIS MAMERS;72600;MAMERS;8 635,00;;;;
2018;ARTISANAT DETENTE;72220;TELOCHE;200,00;;;;
2018;ARTISTES DU NORD SARTHE;72130;FRESNAY SUR SARTHE;150,00;;;;
2018;AS SPORTIVE CHARTRAINE BASKE;72340;LA CHARTRE SUR LE LOIR;150,00;;;;
2018;AS SPORTIVE MADELEINE TENNIS;72000;LE MANS;300,00;;;;
2018;AS SPORTIVE MULSANNE TELOCHE;72230;MULSANNE;600,00;;;;
2018;ASBR BOURG LE ROI;72610;BOURG LE ROI;150,00;;;;
2018;ASC SPORTIVE DU CHEDOUET FOO SECTION FOOT;72600;VILLENEUVE EN PERSEIGNE;500,00;;;;
2018;ASCA TENNIS LA CHAPELLE ST A;72650;LA CHAPELLE SAINT AUBIN;300,00;;;;
2018;ASCPC MA LES CROISETTES;72190;COULAINES;200,00;;;;
2018;ASCV CAVALIERS DE VIBRAYE;72320;VIBRAYE;5 287,00;;;;
2018;ASEE MAINE;72000;LE MANS;150,00;;;;
2018;ASEMA SARTHOISE DES ELEVEURS MAINE ANJOU;72000;LE MANS;5 000,00;;;;
2018;ASL SAINT AIGNAN DYNAM GYM;72110;SAINT AIGNAN;150,00;;;;
2018;ASM ACO;72100;LE MANS;1 000,00;;;;
2018;ASS ANILLE BRAYE OMNISPORT I COMMUNAL ABOI;72120;SAINT CALAIS;3 295,00;;;;
2018;ASS AVENIR SAINT PAVIN;72100;LE MANS;6 300,00;;;;
2018;ASS CONCILIATEURS DE JUSTICE COUR D APPEL D ANG;72000;LE MANS;300,00;;;;
2018;ASS DEPART COMBAT PRISON GUE CATM ADCPG;72006;LE MANS CEDEX 1;150,00;;;;
2018;ASS DU COSSA FOOT;72650;LA CHAPELLE ST AUBIN;360,00;;;;
2018;ASS GYMNASTIQ VOLONTAIRE STE JAMME MONTBIZOT;72380;SAINTE JAMME SUR SARTHE;300,00;;;;
2018;ASS INDEPENDANTE DES PARENTS D ELEVES DE VIBRA;72320;VIBRAYE;160,00;;;;
2018;ASS LA MAISON DES PEINTRES D CHEZ M PINEAU;72200;LA FLECHE;150,00;;;;
2018;ASS SPORTIVE COLLEGE BONNETA;72110;BONNETABLE;150,00;;;;
2018;ASSOC DE SAUVEGARDE DE L EGL ST PIERRE ET ST PA;72540;VALLON SUR GEE;1 082,00;;;;
2018;ASSOCIATION BALTRINGOS;72100;LE MANS;4 500,00;;;;
2018;ASSOCIATION BEAULIEU;72018;LE MANS CEDEX;;;340 381,44;;
2018;ASSOCIATION BROCANTE ART PAT;72340;LA CHARTRE SUR LE LOIR;400,00;;;;
2018;ASSOCIATION CENOMANE FRANCO TURQUE;72100;LE MANS;1 900,00;;;;
2018;ASSOCIATION CLINAMEN MAIRIE;72500;BEAUMONT PIED DE BOEUF;2 400,00;;;;
2018;ASSOCIATION DE GESTION DES E DES SCIENCES DE LA;72303;SABLE SUR SARTHE;;10 190,00;;;
2018;ASSOCIATION DEPARTEMENTALE M SPORTS LOISIRS;72700;ALLONNES;17 000,00;;;;
2018;ASSOCIATION DIVERSCENE CHEZ MME ADELINE LAROY;72560;CHANGE;500,00;;;;
2018;ASSOCIATION DU COSSA ENTENTE JEUNES ANTONNIER;72650;ST SATURNIN;400,00;;;;
2018;ASSOCIATION DU PERSONNEL DEPARTEMENTAL;72000;LE MANS;;;;;X
2018;ASSOCIATION ENDURANCE 72;72100;LE MANS;1 200,00;;;;
2018;ASSOCIATION FAMILIALE RURALE  CHETIF;72700;PRUILLE LE CHETIF;200,00;;;;
2018;ASSOCIATION GEIST 21 SARTHE;72000;LE MANS;;;92 104,69;;
2018;ASSOCIATION GESTION ANIMATIO DE LA GEMERIE;72230;ARNAGE;3 100,00;;;;
2018;ASSOCIATION GYMNASTIQUE LOIS;72800;THOREE LES PINS;250,00;;;;
2018;ASSOCIATION GYMNASTIQUE VOLO CHEZ MME FAVERIE;72000;LE MANS;200,00;;;;
2018;ASSOCIATION INTERCOMM SAOSNO;72600;PIZIEUX;500,00;;;;
2018;ASSOCIATION JATTERIE CULTURE;72160;CONNERRE;250,00;;;;
2018;ASSOCIATION JEU MA MUSE;72450;MONTFORT LE GESNOIS;200,00;;;;
2018;ASSOCIATION JEUNESSE CHAPELL;72400;LA CHAPELLE DU BOIS;200,00;;;;
2018;ASSOCIATION L EQUIPE COUPARI;72110;COURCEMONT;1 000,00;;;;
2018;ASSOCIATION LAIQUE SARTHOISE;72071;LE MANS CEDEX 9;5 000,00;;;;
2018;ASSOCIATION NOTRE DAME DE PERSEIGNE-CENTRE DE;72600;NEUFCHATEL EN SAOSNOIS;;;;;X
2018;ASSOCIATION PERRINE THULARD;53061;EVRON;;;149 280,50;;
2018;ASSOCIATION SARTHOISE ACCUEI FAMILLES DES DETE;72190;COULAINES;996,00;;;;
2018;ASSOCIATION SPORT ADAPTE CAL;72120;SAINT CALAIS;400,00;;;;
2018;ASSOCIATION SPORTIVE BASKET;72170;ASSE LE RIBOUL;300,00;;;;
2018;ASSOCIATION SPORTIVE DE KART;72100;LE MANS;2 600,00;;;;
2018;ASSOCIATION SPORTIVE DE MEZE;72330;CERANS FOULLETOURTE;300,00;;;;
2018;ASSOCIATION SPORTIVE ETIVAL;72700;ETIVAL LES LE MANS;300,00;;;;
2018;ASSOCIATION SPORTIVE SAINT-MARS LA BRIERE;72470;SAINT-MARS LA BRIERE;;;;;X
2018;ATD QUART MONDE COMITE DU MANS;93100;MONTREUIL SOUS BOIS;300,00;;;;
2018;ATD QUART MONDE LA FLECHE;72200;LA FLECHE;400,00;;;;
2018;ATELIER CHAMPAGN ART;72470;CHAMPAGNE;300,00;;;;
2018;ATELIER CREATIF CHEZ MME HUAU;72200;LA FLECHE;150,00;;;;
2018;ATELIER DU NOMBRE D OR;72650;LA BAZOGE;200,00;;;;
2018;ATELIER HORS CHAMP;72000;LE MANS;3 000,00;;;;
2018;ATELIER MALICOT;72300;SABLE SUR SARTHE;1 000,00;;;;
2018;ATELIER MUSICAL BRULON ST DE;72350;BRULON;250,00;;;;
2018;ATELIER PELE MELE;72160;LA CHAPELLE SAINT REMY;216,00;;;;
2018;ATELIER THEATRE DE L ANTONNI;72650;SAINT SATURNIN;250,00;;;;
2018;ATELIERS LOISIRS DUNEAU;72160;DUNEAU;150,00;;;;
2018;ATHLETISME SARTHE LOIR;72200;LA FLECHE;800,00;;;;
2018;ATLAS;72100;LE MANS;410,00;;;;
2018;ATRE CHANTIER;72500;CHATEAU DU LOIR;12 800,00;10 000,00;;;
2018;ATTIRE D L;72210;LOUPLANDE;200,00;;;;
2018;AU CLAIR DE LA LUNE;72400;LA FERTE BERNARD;350,00;;;;
2018;AU FILM DES MOTS;72440;VOLNAY;1 020,00;;;;
2018;AVANT GARDE DU MANS;72000;LE MANS;800,00;;;;
2018;AVENIR SPORTIF DE RUAUDIN;72230;RUAUDIN;700,00;;;;
2018;AVH VALENTIN HAUY SCE AVEUGLES MALVOYANTS;72000;LE MANS;500,00;;;;
2018;BABYCHOUS FAMILLES RURALES ASSOCIATION DU MAN;72000;LE MANS;250,00;;;;
2018;BABYMAM;72310;LA CHAPELLE HUON;150,00;;;;
2018;BADMINTON CLUB DE L ANTONNIE;72650;LA MILESSE;300,00;;;;
2018;BADMINTON MAMERS;72600;MAMERS;200,00;;;;
2018;BARCO CAFE DES HABITANTS COURCEBOEUFS;72290;COURCEBOEUFS;150,00;;;;
2018;BANQUE ALIMENTAIRE;72000;LE MANS;;;;;X
2018;BARRIQUES KOUADIO KISSIKRO C IVOIRE BKCI;72320;VIBRAYE;150,00;;;;
2018;BASKET CLUB ETIVAL;72700;ETIVAL LES LE MANS;200,00;;;;
2018;BASKET CLUB FRESNOIS;72130;FRESNAY SUR SARTHE;300,00;;;;
2018;BASKET CLUB ROEZEEN M MARTIN FLORENT;72210;LA SUZE SUR SARTHE;300,00;;;;
2018;BASKET CLUB SILLE LE PHILIPP;72460;SILLE LE PHILIPPE;250,00;;;;
2018;BATERIE FANFARE DES AMIS;72400;LA BOSSE;200,00;;;;
2018;BATTERIE FANFARE ARCEENNE ST;72800;SAINT GERMAIN D ARCE;200,00;;;;
2018;BATTERIE FANFARE DE SAINT CA;72120;SAINT CALAIS;350,00;;;;
2018;BATTERIE FANFARE L ESPERANCE;72540;LOUE;800,00;;;;
2018;BATTERIE FANFARE REQUEIL CHA;72150;REQUEIL;400,00;;;;
2018;BE BOP;72000;LE MANS;15 300,00;;;;
2018;BEAUMONT SPORTS ATHLETIQUES;72170;BEAUMONT SUR SARTHE;1 200,00;;;;
2018;BERCE SUR DEUX ROUES;72220;MARIGNE LAILLE;400,00;;;;
2018;BESSE INITIATIVES;72310;BESSE SUR BRAYE;200,00;;;;
2018;BESSE INITIATIVES FESTIVAL;72310;BESSE SUR BRAYE;200,00;;;;
2018;BIBLIOTHEQUE DE LA BRUERE SU LOIR GUY BAUDART;72500;LA BRUERE SUR LOIR;350,00;;;;
2018;BIBLIOTHEQUE MUNICIPALE LUCH PRINGE;72800;LUCHE PRINGE;250,00;;;;
2018;BILLARD CARAMBOLE LUCEEN;72150;LE GRAND LUCE;150,00;;;;
2018;BILLARD DE L ANTONNIERE;72650;LA MILESSE;220,00;;;;
2018;BILLARD ET BOULES ST MAIXENT;72320;SAINT MAIXENT;200,00;;;;
2018;BODY BUILDING FITNESS CLUB;72700;ALLONNES;150,00;;;;
2018;BOUER LOISIRS;72390;BOUER;150,00;;;;
2018;BOURG LE ROI ANIMATION ET PA MONSIEUR GERARD L;72610;BOURG LE ROI;1 000,00;;;;
2018;BOXE FRANCAISE ALLONNAISE;72700;ALLONNES;200,00;;;;
2018;BOXING CLUB CHERREEN;72400;CHERRE;150,00;;;;
2018;BREILLOISE EDUCATION POPULAI;72370;LE BREIL SUR MERIZE;150,00;;;;
2018;BRULON LOISIRS JUDO;72350;BRULON;500,00;;;;
2018;BULLE D AMOUR;72550;FAY;;4 950,00;;;
2018;CAAAV CENTRE D ACCUEIL ET D ACCOMP DES AUTEUR;72000;LE MANS;4 500,00;;;;
2018;CAFE MEMOIRE DE FERCE SUR SARTHE SARTHE;72430;FERCE SUR SARTHE;300,00;;;;
2018;CAIMANS 72 ETUDIANT CLUB;72190;SARGE LES LE MANS;750,00;;;;
2018;CALINS ET COMPAGNIE;72610;ARCONNAY;;6 271,88;;;
2018;CALLIGRAPHIES VOCALES;72190;COULAINES;196,00;;;;
2018;CAMPAGN ART;72390;DOLLON;150,00;;;;
2018;CANINE DE L OUEST;72700;ETIVAL LES LE MANS;200,00;;;;
2018;CANOE KAYAK CLUB DU MANS  CKCM;72100;LE MANS;5 015,00;;;;
2018;CANOE KAYAK CLUB SABOLIEN;72300;SABLE SUR SARTHE;3 244,00;;;;
2018;CANTONALE DES ORGANISATEURS   FETES;72120;SAINT CALAIS;800,00;;;;
2018;CAP SANTE SARTHE;72000;LE MANS;22 000,00;;;;
2018;CAPEJ SPORTS ET LOISIRS DE LA CHER;72160;TUFFE VAL DE LA CHERONNE;400,00;;;;
2018;CARAM CLUB ANIMATION RESIDEN;72100;LE MANS;240,00;;;;
2018;CARBUR PERA;72100;LE MANS;12 900,00;;;;
2018;CARTABLE FM FOYER SOCI EDUC COLLE BERTHELOT;72000;LE MANS;3 300,00;;;;
2018;CASQUE D OR;72220;SAINT GERVAIS EN BELIN;200,00;;;;
2018;CASTEL DANSE MAIRIE;72340;LA CHARTRE SUR LE LOIR;200,00;;;;
2018;CAVAL LUNA;72270;MEZERAY;200,00;;;;
2018;CCJA TUFFE CENTRE DES JEUNES AGRICULTEU;72160;TUFFE VAL DE LA CHERONNE;1 200,00;;;;
2018;CDOS 72;72000;LE MANS;58 410,00;;;;
2018;CEAS 72 CENTRE ETUDE ACTION SOCIALE DE LA SARTH;72000;LE MANS;2 000,00;;;;
2018;CEDIFF CENTRE DOCUMENT INFOR FEMMES FAMILLES;72000;LE MANS;10 000,00;;;;
2018;CENOMANE POUR LE DON DE SANG;72000;LE MANS;700,00;;;;
2018;CENTRE ANIMATION L HERBERIE;72190;COULAINES;2 100,00;;;;
2018;CENTRE ANIMATIONS SPORTIVES;72460;SAVIGNE L EVEQUE;1 000,00;;;;
2018;CENTRE CULTUREL DE MAROLLES LES BRAULTS;72260;MAROLLES LES BRAULTS;500,00;;;;
2018;CENTRE CULTUREL DU VAIRAIS MAIRIE;72110;SAINT COSME EN VAIRAIS;150,00;;;;
2018;CENTRE D ACCUEIL EHPAD LES T;72250;PARIGNE L EVEQUE;500,00;;;;
2018;CENTRE D ANIMATION NATURE ET;72270;MEZERAY;300,00;;;;
2018;CENTRE D ANIMATION SOCIAL CA  CENTRE D ANIMATIO;72260;MAROLLES LES BRAULTS;7 500,00;;;;
2018;CENTRE GEORGES ROUAULT BEAUM;72170;BEAUMONT SUR SARTHE;7 200,00;;;;
2018;CENTRE MED BASILE MOREAU;72300;PRECIGNE;;;8 114 584,44;;
2018;CENTRE MED GEORGES COULON;72150;LE GRAND LUCE;;;6 152 540,54;;
2018;CENTRE MUSICAL INTERNATIONAL;72320;ST ULPHACE;150,00;;;;
2018;CENTRE NAUTIQUE TUFFEEN;72160;TUFFE VAL DE LA CHERONNE;300,00;;;;
2018;CENTRE SOCIAL CONLIE;72240;CONLIE;7 610,00;5 000,00;;;
2018;CENTRE SOCIAL DE LA HAUTE SA;72610;OISSEAU LE PETIT;7 200,00;;16 294,33;;
2018;CENTRE SOCIAL DE LAIGNE ST GERVAIS EN BELIN;72220;LAIGNE EN BELIN;2 400,00;;;;
2018;CENTRE SOCIAL DES QUARTIERS;72100;LE MANS;12 510,00;;;;
2018;CENTRE SOCIAL ESCALE;72130;FRESNAY SUR SARTHE;7 800,00;;;;
2018;CENTRE SOCIAL INTERCOMM LOIR;72500;CHATEAU DU LOIR;7 550,00;;;;
2018;CENTRE SOCIAL LARES MONTFORT LE GESNOIS;72450;MONTFORT LE GESNOIS;66 700,00;;778,28;;X
2018;CENTRE SOCIAL LE GRAND LUCE;72150;LE GRAND LUCE;7 980,00;;;;
2018;CENTRE SOCIAL VAL DU LOIR;72340;LA CHARTRE SUR LE LOIR;20 440,00;;;;
2018;CENTRE SOCIOCULTUREL RABELAI;72560;CHANGE;18 500,00;;;;
2018;CEPA CAMSP;72000;LE MANS;1 275,00;;74 064,98;;
2018;CERCLE AMIS FORUM LE MONDE;72039;LE MANS CEDEX 9;5 950,00;;;;
2018;CERCLE D ESCRIME DU MANS;72000;LE MANS;1 000,00;;;;
2018;CERCLE D ESCRIME SABLE SUR S;72300;SABLE SUR SARTHE;300,00;;;;
2018;CERCLE DE VOILE DE SILLE LE UILLAUME;72140;SILLE LE GUILLAUME;200,00;;;;
2018;CERCLE OLYMPIQUE DE LAIGNE S GERVAIS COMITE DIR;72220;LAIGNE EN BELIN;500,00;;;;
