Année;Nom de l'organisme bénéficiaire;CP;Ville;"Montant
de la subvention de fonctionnement (1)";"Montant
de la subvention d'investissement (1)";"Montant de la garantie
(2)";"Montant du prêt
(3)";"Avantages en nature
(4)"
2018;14 JUILLET;72390;LAVARE;250,00;;;;
2018;4L AMIGOS;72210;VOIVRES LES LE MANS;500,00;;;;
2018;1711 EME SECTION DE MEDAILLES MILITAIRES D'ALLON;72700;ALLONNES;;;;;X
2018;A CULTURELLE ECOLE PR C PAYS;72320;VIBRAYE;250,00;;;;
2018;A LA FORMATION MUSICALE DES ESPOIRS INTER COMM;72330;CERANS FOULLETOURTE;400,00;;;;
2018;A PLEINE PAGE;72700;SAINT GEORGES DU BOIS;500,00;;;;
2018;A TRAVERS CHANTS;72540;LOUE;200,00;;;;
2018;AAPPMA L EPINOCHE YVRE CHANG;72530;YVRE L EVEQUE;400,00;;;;
2018;AAPPMA PECHE MANSIGNE;72510;MANSIGNE;300,00;;;;
2018;AB PLI ET RETOUCHE;72210;SOULIGNE FLACE;2 550,00;;;;
2018;ABCD CONLINOIS FESTIDAYS;72240;CONLIE;1 000,00;;;;
2018;ABEILLE CASTELORIENNE;72500;CHATEAU DU LOIR;150,00;;;;
2018;ABORD AGE SUD SARTHE;72360;MAYET;550,00;;;;
2018;ACADEA;72200;LA FLECHE;;;1 798 193,68;;
2018;ACCLA BIBLIOTHEQUE G WARINGH;72650;AIGNE;400,00;;;;
2018;ACCLA SECTION CHORALE AMALGA;72650;AIGNE;350,00;;;;
2018;ACCUEIL DE ST PAVACE;72190;SAINT PAVACE;150,00;;;;
2018;ACCUEIL EDUCATIF EXTRA SCOLA ECOLE MATERNELLE;72650;LA CHAPELLE ST AUBIN;350,00;;;;
2018;ACCUEIL PERISCOLAIRE;72700;SAINT GEORGES DU BOIS;600,00;;;;
2018;ACE ACTION CATHOLIQUE ENFANT SARTHE;72016;LE MANS CEDEX 2;100,00;;;;
2018;ACEIAN CHORALLEGES 72;72510;REQUEIL;7 500,00;;;;
2018;ACIS FRANCE-MR LA FLECHE;72200;LA FLECHE;;;5 126 131,26;;
2018;ACIS FRANCE-MR YVRE L'EVEQUE;72330;YVRE L'EVEQUE;;;2 121 600,00;;
2018;ACOF CANTON DE ST PATERNE;72610;FYE;250,00;;;;
2018;ACPG CATM CANTON DE ST PATER;72610;ANCINNES;1 000,00;;;;
2018;ACS SARTHE ASS DES ELEVEURS DU CHEVAL DE SPOR;72260;MONHOUDOU;1 500,00;;;;
2018;ACTES ARTS CREATION THEATRE;72000;LE MANS;1 700,00;;;;
2018;ACTIFS ATELIER CREATION ET  TRAVAIL DE L'IMAGE FIX;72100;LE MANS;300,00;;;;
2018;ACTION SOCIALE CULTURELLE INTERGENERATIONNELL;72200;LA FLECHE;400,00;;;;
2018;ACTIVITES LOISIRS CHEMINOTS   MANS;72100;LE MANS;150,00;;;;
2018;ACTIVITES LOISIRS ROUILLON;72700;ROUILLON;250,00;;;;
2018;ADAPEI DE LA SARTHE;72021;LE MANS;;;2 852 446,45;;
2018;ADCPG CATM CANTON DE BOULOIR;72440;SAINT MICHEL DE CHAVAIGNES;200,00;;;;
2018;ADIMC ASSOCIATION DES INFIRMES MOT;72100;LE MANS;850,00;;5 152 768,63;;
2018;ADMR FEDERATION DE LA SARTHE;72650;SAINT SATURNIN;13 875,00;;515 130,90;;
2018;ADORAMUS CHEZ M RENOU;72440;ST MARS DE LOCQUENAY;1 200,00;;;;
2018;ADPC72;72000;LE MANS;2 000,00;;;;
2018;ADRECH;72000;LE MANS;;;;;X
2018;ADRENALINE 2 FR;72200;CLERMONT CREANS;300,00;;;;
2018;ADSB CERANS FOULLETOURTE;72330;CERANS FOULLETOURTE;200,00;;;;
2018;AEFCM ECHANGE FRANCO CHINOIS DU MANS;72100;LE MANS;200,00;;;;
2018;AEP INSTITUTION ST JOSEPH;72000;LE MANS;2 914,50;39 800,00;1 036 045,98;;
2018;AEP LES MURIERS;72000;LE MANS;4 992,00;44 450,00;1 021 828,47;;
2018;AEP MILLE CLUBS ET LOISIRS E ASS D EDUCATION POP;72220;ECOMMOY;600,00;;;;
