Phase;Type de mission;Code Mission;Mission;Code Programme;Programme;Code Action;Action;Code Ministère;Ministère
PLF 2019;Budget général;TR;Action et transformation publiques;348;Rénovation des cités administratives et autres sites domaniaux multi-occupants;11;Etudes;07;Action et comptes publics
PLF 2019;Budget général;TR;Action et transformation publiques;348;Rénovation des cités administratives et autres sites domaniaux multi-occupants;12;Travaux et gros entretien à la charge du propriétaire;07;Action et comptes publics
PLF 2019;Budget général;TR;Action et transformation publiques;348;Rénovation des cités administratives et autres sites domaniaux multi-occupants;13;Acquisitions, construction;07;Action et comptes publics
PLF 2019;Budget général;TR;Action et transformation publiques;349;Fonds pour la transformation de l'action publique;01;Fonds pour la transformation de l’action publique;07;Action et comptes publics
PLF 2019;Budget général;TR;Action et transformation publiques;351;Fonds d'accompagnement interministériel Ressources humaines;01;Accompagnement interministériel Ressources humaines;07;Action et comptes publics
PLF 2019;Budget général;AA;Action extérieure de l'État;105;Action de la France en Europe et dans le monde;01;Coordination de l'action diplomatique;01;Europe et affaires étrangères
PLF 2019;Budget général;AA;Action extérieure de l'État;105;Action de la France en Europe et dans le monde;02;Action européenne;01;Europe et affaires étrangères
PLF 2019;Budget général;AA;Action extérieure de l'État;105;Action de la France en Europe et dans le monde;04;Contributions internationales;01;Europe et affaires étrangères
PLF 2019;Budget général;AA;Action extérieure de l'État;105;Action de la France en Europe et dans le monde;05;Coopération de sécurité et de défense;01;Europe et affaires étrangères
PLF 2019;Budget général;AA;Action extérieure de l'État;105;Action de la France en Europe et dans le monde;06;Soutien;01;Europe et affaires étrangères
PLF 2019;Budget général;AA;Action extérieure de l'État;105;Action de la France en Europe et dans le monde;07;Réseau diplomatique;01;Europe et affaires étrangères
PLF 2019;Budget général;AA;Action extérieure de l'État;185;Diplomatie culturelle et d'influence;01;Appui au réseau;01;Europe et affaires étrangères
PLF 2019;Budget général;AA;Action extérieure de l'État;185;Diplomatie culturelle et d'influence;02;Coopération culturelle et promotion du français;01;Europe et affaires étrangères
PLF 2019;Budget général;AA;Action extérieure de l'État;185;Diplomatie culturelle et d'influence;03;Objectifs de développement durable;01;Europe et affaires étrangères
PLF 2019;Budget général;AA;Action extérieure de l'État;185;Diplomatie culturelle et d'influence;04;Enseignement supérieur et recherche;01;Europe et affaires étrangères
PLF 2019;Budget général;AA;Action extérieure de l'État;185;Diplomatie culturelle et d'influence;05;Agence pour l'enseignement français à l'étranger;01;Europe et affaires étrangères
PLF 2019;Budget général;AA;Action extérieure de l'État;185;Diplomatie culturelle et d'influence;06;"Dépenses de personnel concourant au programme ""Diplomatie culturelle et d'influence""";01;Europe et affaires étrangères
PLF 2019;Budget général;AA;Action extérieure de l'État;185;Diplomatie culturelle et d'influence;07;Diplomatie économique et développement du tourisme;01;Europe et affaires étrangères
PLF 2019;Budget général;AA;Action extérieure de l'État;151;Français à l'étranger et affaires consulaires;01;Offre d'un service public de qualité aux Français à l'étranger;01;Europe et affaires étrangères
PLF 2019;Budget général;AA;Action extérieure de l'État;151;Français à l'étranger et affaires consulaires;02;Accès des élèves français au réseau AEFE;01;Europe et affaires étrangères
PLF 2019;Budget général;AA;Action extérieure de l'État;151;Français à l'étranger et affaires consulaires;03;Instruction des demandes de visa;01;Europe et affaires étrangères
PLF 2019;Budget général;AA;Action extérieure de l'État;347;Présidence française du G7;01;Préparation et organisation du Sommet du G7;01;Europe et affaires étrangères
PLF 2019;Budget général;AA;Action extérieure de l'État;347;Présidence française du G7;03;Fonctionnement du Secrétariat général et communication;01;Europe et affaires étrangères
PLF 2019;Budget général;AB;Administration générale et territoriale de l'État;307;Administration territoriale;01;Coordination de la sécurité des personnes et des biens;09;Intérieur
PLF 2019;Budget général;AB;Administration générale et territoriale de l'État;307;Administration territoriale;02;Réglementation générale, garantie de l'identité et de la nationalité et délivrance des titres;09;Intérieur
PLF 2019;Budget général;AB;Administration générale et territoriale de l'État;307;Administration territoriale;03;Contrôle de légalité et conseil aux collectivités territoriales;09;Intérieur
PLF 2019;Budget général;AB;Administration générale et territoriale de l'État;307;Administration territoriale;04;Pilotage territorial des politiques gouvernementales;09;Intérieur
PLF 2019;Budget général;AB;Administration générale et territoriale de l'État;307;Administration territoriale;05;Animation et soutien du réseau;09;Intérieur
PLF 2019;Budget général;AB;Administration générale et territoriale de l'État;232;Vie politique, cultuelle et associative;01;Financement des partis;09;Intérieur
PLF 2019;Budget général;AB;Administration générale et territoriale de l'État;232;Vie politique, cultuelle et associative;02;Organisation des élections;09;Intérieur
PLF 2019;Budget général;AB;Administration générale et territoriale de l'État;232;Vie politique, cultuelle et associative;03;Commission nationale des comptes de campagne et des financements politiques;09;Intérieur
PLF 2019;Budget général;AB;Administration générale et territoriale de l'État;232;Vie politique, cultuelle et associative;04;Cultes;09;Intérieur
PLF 2019;Budget général;AB;Administration générale et territoriale de l'État;232;Vie politique, cultuelle et associative;05;Vie associative;09;Intérieur
PLF 2019;Budget général;AB;Administration générale et territoriale de l'État;216;Conduite et pilotage des politiques de l'intérieur;01;État-major et services centraux;09;Intérieur
PLF 2019;Budget général;AB;Administration générale et territoriale de l'État;216;Conduite et pilotage des politiques de l'intérieur;03;Système d'information et de communication;09;Intérieur
PLF 2019;Budget général;AB;Administration générale et territoriale de l'État;216;Conduite et pilotage des politiques de l'intérieur;04;Action sociale et formation;09;Intérieur
PLF 2019;Budget général;AB;Administration générale et territoriale de l'État;216;Conduite et pilotage des politiques de l'intérieur;05;Affaires immobilières;09;Intérieur
PLF 2019;Budget général;AB;Administration générale et territoriale de l'État;216;Conduite et pilotage des politiques de l'intérieur;06;Affaires juridiques et contentieuses;09;Intérieur
PLF 2019;Budget général;AB;Administration générale et territoriale de l'État;216;Conduite et pilotage des politiques de l'intérieur;08;Immigration, asile et intégration;09;Intérieur
PLF 2019;Budget général;AB;Administration générale et territoriale de l'État;216;Conduite et pilotage des politiques de l'intérieur;09;Sécurité et éducation routières;09;Intérieur
PLF 2019;Budget général;AB;Administration générale et territoriale de l'État;216;Conduite et pilotage des politiques de l'intérieur;10;Fonds interministériel de prévention de la délinquance;09;Intérieur
PLF 2019;Budget général;AC;Agriculture, alimentation, forêt et affaires rurales;149;Compétitivité et durabilité de l'agriculture, de l'agroalimentaire, de la forêt, de la pêche et de l'aquaculture;21;Adaptation des filières à l'évolution des marchés;03;Agriculture et alimentation
PLF 2019;Budget général;AC;Agriculture, alimentation, forêt et affaires rurales;149;Compétitivité et durabilité de l'agriculture, de l'agroalimentaire, de la forêt, de la pêche et de l'aquaculture;22;Gestion des crises et des aléas de la production agricole;03;Agriculture et alimentation
PLF 2019;Budget général;AC;Agriculture, alimentation, forêt et affaires rurales;149;Compétitivité et durabilité de l'agriculture, de l'agroalimentaire, de la forêt, de la pêche et de l'aquaculture;23;Appui au renouvellement et à la modernisation des exploitations agricoles;03;Agriculture et alimentation
PLF 2019;Budget général;AC;Agriculture, alimentation, forêt et affaires rurales;149;Compétitivité et durabilité de l'agriculture, de l'agroalimentaire, de la forêt, de la pêche et de l'aquaculture;24;Gestion équilibrée et durable des territoires;03;Agriculture et alimentation
PLF 2019;Budget général;AC;Agriculture, alimentation, forêt et affaires rurales;149;Compétitivité et durabilité de l'agriculture, de l'agroalimentaire, de la forêt, de la pêche et de l'aquaculture;25;Protection sociale;03;Agriculture et alimentation
PLF 2019;Budget général;AC;Agriculture, alimentation, forêt et affaires rurales;149;Compétitivité et durabilité de l'agriculture, de l'agroalimentaire, de la forêt, de la pêche et de l'aquaculture;26;Gestion durable de la forêt et développement de la filière bois;03;Agriculture et alimentation
PLF 2019;Budget général;AC;Agriculture, alimentation, forêt et affaires rurales;149;Compétitivité et durabilité de l'agriculture, de l'agroalimentaire, de la forêt, de la pêche et de l'aquaculture;27;Moyens de mise en oeuvre des politiques publiques et gestion des interventions;03;Agriculture et alimentation
PLF 2019;Budget général;AC;Agriculture, alimentation, forêt et affaires rurales;149;Compétitivité et durabilité de l'agriculture, de l'agroalimentaire, de la forêt, de la pêche et de l'aquaculture;28;Pêche et aquaculture;03;Agriculture et alimentation
PLF 2019;Budget général;AC;Agriculture, alimentation, forêt et affaires rurales;206;Sécurité et qualité sanitaires de l'alimentation;01;Prévention et gestion des risques inhérents à la production végétale;03;Agriculture et alimentation
PLF 2019;Budget général;AC;Agriculture, alimentation, forêt et affaires rurales;206;Sécurité et qualité sanitaires de l'alimentation;02;Lutte contre les maladies animales et protection des animaux;03;Agriculture et alimentation
PLF 2019;Budget général;AC;Agriculture, alimentation, forêt et affaires rurales;206;Sécurité et qualité sanitaires de l'alimentation;03;Prévention et gestion des risques sanitaires liés aux denrées alimentaires;03;Agriculture et alimentation
PLF 2019;Budget général;AC;Agriculture, alimentation, forêt et affaires rurales;206;Sécurité et qualité sanitaires de l'alimentation;04;Actions transversales;03;Agriculture et alimentation
PLF 2019;Budget général;AC;Agriculture, alimentation, forêt et affaires rurales;206;Sécurité et qualité sanitaires de l'alimentation;05;Elimination des cadavres et des sous-produits animaux;03;Agriculture et alimentation
PLF 2019;Budget général;AC;Agriculture, alimentation, forêt et affaires rurales;206;Sécurité et qualité sanitaires de l'alimentation;06;Mise en oeuvre de la politique de sécurité et de qualité sanitaires de l'alimentation;03;Agriculture et alimentation
PLF 2019;Budget général;AC;Agriculture, alimentation, forêt et affaires rurales;206;Sécurité et qualité sanitaires de l'alimentation;08;Qualité de l'alimentation et offre alimentaire;03;Agriculture et alimentation
PLF 2019;Budget général;AC;Agriculture, alimentation, forêt et affaires rurales;215;Conduite et pilotage des politiques de l'agriculture;01;Moyens de l'administration centrale;03;Agriculture et alimentation
PLF 2019;Budget général;AC;Agriculture, alimentation, forêt et affaires rurales;215;Conduite et pilotage des politiques de l'agriculture;02;Évaluation de l'impact des politiques publiques et information économique;03;Agriculture et alimentation
PLF 2019;Budget général;AC;Agriculture, alimentation, forêt et affaires rurales;215;Conduite et pilotage des politiques de l'agriculture;03;Moyens des directions régionales de l'alimentation, de l'agriculture et de la forêt, des directions de l'alimentation, de l'agriculture et de la forêt et directions départementales des territoires (et de la mer);03;Agriculture et alimentation
PLF 2019;Budget général;AC;Agriculture, alimentation, forêt et affaires rurales;215;Conduite et pilotage des politiques de l'agriculture;04;Moyens communs;03;Agriculture et alimentation
PLF 2019;Budget général;AD;Aide publique au développement;110;Aide économique et financière au développement;01;Aide économique et financière multilatérale;21;Économie et finances
PLF 2019;Budget général;AD;Aide publique au développement;110;Aide économique et financière au développement;02;Aide économique et financière bilatérale;21;Économie et finances
PLF 2019;Budget général;AD;Aide publique au développement;110;Aide économique et financière au développement;03;Traitement de la dette des pays pauvres;21;Économie et finances
PLF 2019;Budget général;AD;Aide publique au développement;209;Solidarité à l'égard des pays en développement;02;Coopération bilatérale;01;Europe et affaires étrangères
PLF 2019;Budget général;AD;Aide publique au développement;209;Solidarité à l'égard des pays en développement;05;Coopération multilatérale;01;Europe et affaires étrangères
PLF 2019;Budget général;AD;Aide publique au développement;209;Solidarité à l'égard des pays en développement;07;Coopération communautaire;01;Europe et affaires étrangères
PLF 2019;Budget général;AD;Aide publique au développement;209;Solidarité à l'égard des pays en développement;08;"Dépenses de personnels concourant au programme ""Solidarité à l'égard des pays en développement""";01;Europe et affaires étrangères
PLF 2019;Budget général;AD;Aide publique au développement;209;Solidarité à l'égard des pays en développement;09;Actions de co-développement;01;Europe et affaires étrangères
PLF 2019;Budget général;MB;Anciens combattants, mémoire et liens avec la nation;167;Liens entre la Nation et son armée;01;Liens armées-jeunesse;70;Armées
PLF 2019;Budget général;MB;Anciens combattants, mémoire et liens avec la nation;167;Liens entre la Nation et son armée;02;Politique de mémoire;70;Armées
PLF 2019;Budget général;MB;Anciens combattants, mémoire et liens avec la nation;169;Reconnaissance et réparation en faveur du monde combattant;01;Administration de  la dette viagère;70;Armées
PLF 2019;Budget général;MB;Anciens combattants, mémoire et liens avec la nation;169;Reconnaissance et réparation en faveur du monde combattant;02;Gestion  des droits liés aux pensions militaires d'invalidité;70;Armées
PLF 2019;Budget général;MB;Anciens combattants, mémoire et liens avec la nation;169;Reconnaissance et réparation en faveur du monde combattant;03;Solidarité;70;Armées
PLF 2019;Budget général;MB;Anciens combattants, mémoire et liens avec la nation;169;Reconnaissance et réparation en faveur du monde combattant;07;Actions en faveur des rapatriés;70;Armées
PLF 2019;Budget général;MB;Anciens combattants, mémoire et liens avec la nation;158;Indemnisation des victimes des persécutions antisémites et des actes de barbarie pendant la seconde guerre mondiale;01;Indemnisation des orphelins de la déportation et des victimes de spoliations du fait des législations antisémites en vigueur pendant l'Occupation;12;Services du Premier ministre
PLF 2019;Budget général;MB;Anciens combattants, mémoire et liens avec la nation;158;Indemnisation des victimes des persécutions antisémites et des actes de barbarie pendant la seconde guerre mondiale;02;Indemnisation des victimes d'actes de barbarie durant la seconde guerre mondiale;12;Services du Premier ministre
PLF 2019;Budget général;VA;Cohésion des territoires;177;Hébergement, parcours vers le logement et insertion des personnes vulnérables;11;Prévention de l'exclusion;45;Cohésion des territoires
PLF 2019;Budget général;VA;Cohésion des territoires;177;Hébergement, parcours vers le logement et insertion des personnes vulnérables;12;Hébergement et logement adapté;45;Cohésion des territoires
PLF 2019;Budget général;VA;Cohésion des territoires;177;Hébergement, parcours vers le logement et insertion des personnes vulnérables;14;Conduite et animation des politiques de l'hébergement et de l'inclusion sociale;45;Cohésion des territoires
PLF 2019;Budget général;VA;Cohésion des territoires;109;Aide à l'accès au logement;01;Aides personnelles;45;Cohésion des territoires
PLF 2019;Budget général;VA;Cohésion des territoires;109;Aide à l'accès au logement;02;Information relative au logement et accompagnement des publics en difficulté;45;Cohésion des territoires
PLF 2019;Budget général;VA;Cohésion des territoires;109;Aide à l'accès au logement;03;Sécurisation des risques locatifs;45;Cohésion des territoires
PLF 2019;Budget général;VA;Cohésion des territoires;135;Urbanisme, territoires et amélioration de l'habitat;01;Construction locative et amélioration du parc;45;Cohésion des territoires
PLF 2019;Budget général;VA;Cohésion des territoires;135;Urbanisme, territoires et amélioration de l'habitat;02;Soutien à l'accession à la propriété;45;Cohésion des territoires
PLF 2019;Budget général;VA;Cohésion des territoires;135;Urbanisme, territoires et amélioration de l'habitat;03;Lutte contre l'habitat indigne;45;Cohésion des territoires
PLF 2019;Budget général;VA;Cohésion des territoires;135;Urbanisme, territoires et amélioration de l'habitat;04;Réglementation, politique technique et qualité de la construction;45;Cohésion des territoires
PLF 2019;Budget général;VA;Cohésion des territoires;135;Urbanisme, territoires et amélioration de l'habitat;05;Soutien;45;Cohésion des territoires
PLF 2019;Budget général;VA;Cohésion des territoires;135;Urbanisme, territoires et amélioration de l'habitat;07;Urbanisme et aménagement;45;Cohésion des territoires
PLF 2019;Budget général;VA;Cohésion des territoires;135;Urbanisme, territoires et amélioration de l'habitat;08;Grand Paris;45;Cohésion des territoires
PLF 2019;Budget général;VA;Cohésion des territoires;112;Impulsion et coordination de la politique d'aménagement du territoire;01;Attractivité économique et compétitivité des territoires;45;Cohésion des territoires
PLF 2019;Budget général;VA;Cohésion des territoires;112;Impulsion et coordination de la politique d'aménagement du territoire;02;Développement solidaire et équilibré des territoires;45;Cohésion des territoires
PLF 2019;Budget général;VA;Cohésion des territoires;112;Impulsion et coordination de la politique d'aménagement du territoire;04;Instruments de pilotage et d'étude;45;Cohésion des territoires
PLF 2019;Budget général;VA;Cohésion des territoires;162;Interventions territoriales de l'État;02;Eau - Agriculture en Bretagne;12;Services du Premier ministre
PLF 2019;Budget général;VA;Cohésion des territoires;162;Interventions territoriales de l'État;04;Programme exceptionnel d'investissements en faveur de la Corse;12;Services du Premier ministre
PLF 2019;Budget général;VA;Cohésion des territoires;162;Interventions territoriales de l'État;06;Plan gouvernemental sur le Marais Poitevin - Poitou Charentes;12;Services du Premier ministre
PLF 2019;Budget général;VA;Cohésion des territoires;162;Interventions territoriales de l'État;08;Plan chlordécone en Martinique et en Guadeloupe;12;Services du Premier ministre
PLF 2019;Budget général;VA;Cohésion des territoires;162;Interventions territoriales de l'État;09;Plan littoral 21;12;Services du Premier ministre
PLF 2019;Budget général;VA;Cohésion des territoires;147;Politique de la ville;01;Actions territorialisées et Dispositifs spécifiques de la politique de la ville;45;Cohésion des territoires
PLF 2019;Budget général;VA;Cohésion des territoires;147;Politique de la ville;02;Revitalisation économique et emploi;45;Cohésion des territoires
PLF 2019;Budget général;VA;Cohésion des territoires;147;Politique de la ville;03;Stratégie, ressources et évaluation;45;Cohésion des territoires
PLF 2019;Budget général;VA;Cohésion des territoires;147;Politique de la ville;04;Rénovation urbaine et amélioration du cadre de vie;45;Cohésion des territoires
PLF 2019;Budget général;CA;Conseil et contrôle de l'État;165;Conseil d'État et autres juridictions administratives;01;Fonction juridictionnelle : Conseil d'État;12;Services du Premier ministre
PLF 2019;Budget général;CA;Conseil et contrôle de l'État;165;Conseil d'État et autres juridictions administratives;02;Fonction juridictionnelle : Cours administratives d'appel;12;Services du Premier ministre
PLF 2019;Budget général;CA;Conseil et contrôle de l'État;165;Conseil d'État et autres juridictions administratives;03;Fonction juridictionnelle : Tribunaux administratifs;12;Services du Premier ministre
PLF 2019;Budget général;CA;Conseil et contrôle de l'État;165;Conseil d'État et autres juridictions administratives;04;Fonction consultative;12;Services du Premier ministre
PLF 2019;Budget général;CA;Conseil et contrôle de l'État;165;Conseil d'État et autres juridictions administratives;05;Fonction études, expertise et services rendus aux administrations de l'État et des collectivités;12;Services du Premier ministre
PLF 2019;Budget général;CA;Conseil et contrôle de l'État;165;Conseil d'État et autres juridictions administratives;06;Soutien;12;Services du Premier ministre
PLF 2019;Budget général;CA;Conseil et contrôle de l'État;165;Conseil d'État et autres juridictions administratives;07;Cour nationale du droit d'asile;12;Services du Premier ministre
PLF 2019;Budget général;CA;Conseil et contrôle de l'État;126;Conseil économique, social et environnemental;01;Représentation des activités économiques et sociales;12;Services du Premier ministre
PLF 2019;Budget général;CA;Conseil et contrôle de l'État;126;Conseil économique, social et environnemental;02;Fonctionnement de l'institution;12;Services du Premier ministre
PLF 2019;Budget général;CA;Conseil et contrôle de l'État;126;Conseil économique, social et environnemental;03;Communication et international;12;Services du Premier ministre
PLF 2019;Budget général;CA;Conseil et contrôle de l'État;164;Cour des comptes et autres juridictions financières;21;Examen des comptes publics;12;Services du Premier ministre
PLF 2019;Budget général;CA;Conseil et contrôle de l'État;164;Cour des comptes et autres juridictions financières;22;Contrôle des finances publiques;12;Services du Premier ministre
PLF 2019;Budget général;CA;Conseil et contrôle de l'État;164;Cour des comptes et autres juridictions financières;23;Contrôle des gestions publiques;12;Services du Premier ministre
PLF 2019;Budget général;CA;Conseil et contrôle de l'État;164;Cour des comptes et autres juridictions financières;24;Evaluation des politiques publiques;12;Services du Premier ministre
PLF 2019;Budget général;CA;Conseil et contrôle de l'État;164;Cour des comptes et autres juridictions financières;25;Information des citoyens;12;Services du Premier ministre
PLF 2019;Budget général;CA;Conseil et contrôle de l'État;164;Cour des comptes et autres juridictions financières;26;Mise en jeu de la responsabilité des comptables publics et des gestionnaires publics;12;Services du Premier ministre
PLF 2019;Budget général;CA;Conseil et contrôle de l'État;164;Cour des comptes et autres juridictions financières;27;Pilotage et soutien des juridictions financières;12;Services du Premier ministre
PLF 2019;Budget général;CA;Conseil et contrôle de l'État;340;Haut Conseil des finances publiques;01;Haut Conseil des finances publiques;12;Services du Premier ministre
PLF 2019;Budget général;PC;Crédits non répartis;551;Provision relative aux rémunérations publiques;01;Provision relative aux rémunérations publiques;07;Action et comptes publics
PLF 2019;Budget général;PC;Crédits non répartis;552;Dépenses accidentelles et imprévisibles;01;Dépenses accidentelles et imprévisibles;07;Action et comptes publics
PLF 2019;Budget général;CB;Culture;175;Patrimoines;01;Monuments Historiques et patrimoine monumental;02;Culture
PLF 2019;Budget général;CB;Culture;175;Patrimoines;02;Architecture et espaces protégés;02;Culture
PLF 2019;Budget général;CB;Culture;175;Patrimoines;03;Patrimoine des musées de France;02;Culture
PLF 2019;Budget général;CB;Culture;175;Patrimoines;04;Patrimoine archivistique et célébrations nationales;02;Culture
PLF 2019;Budget général;CB;Culture;175;Patrimoines;08;Acquisition et enrichissement des collections publiques;02;Culture
PLF 2019;Budget général;CB;Culture;175;Patrimoines;09;Patrimoine archéologique;02;Culture
PLF 2019;Budget général;CB;Culture;131;Création;01;Soutien à la création, à la production et à la diffusion du spectacle vivant;02;Culture
PLF 2019;Budget général;CB;Culture;131;Création;02;Soutien à la création, à la production et à la diffusion des arts visuels;02;Culture
PLF 2019;Budget général;CB;Culture;224;Transmission des savoirs et démocratisation de la culture;01;Soutien aux établissements d'enseignement supérieur et insertion professionnelle;02;Culture
PLF 2019;Budget général;CB;Culture;224;Transmission des savoirs et démocratisation de la culture;02;Soutien à la démocratisation et à l'éducation artistique et culturelle;02;Culture
PLF 2019;Budget général;CB;Culture;224;Transmission des savoirs et démocratisation de la culture;06;Action culturelle internationale;02;Culture
PLF 2019;Budget général;CB;Culture;224;Transmission des savoirs et démocratisation de la culture;07;Fonctions de soutien du ministère;02;Culture
PLF 2019;Budget général;CB;Culture;224;Transmission des savoirs et démocratisation de la culture;08;Soutien à l'emploi dans le secteur culturel;02;Culture
PLF 2019;Budget général;CB;Culture;224;Transmission des savoirs et démocratisation de la culture;09;Langue française et langues de France;02;Culture
PLF 2019;Budget général;DA;Défense;144;Environnement et prospective de la politique de défense;03;Recherche et exploitation du renseignement intéressant la sécurité de la France;70;Armées
PLF 2019;Budget général;DA;Défense;144;Environnement et prospective de la politique de défense;07;Prospective de défense;70;Armées
PLF 2019;Budget général;DA;Défense;144;Environnement et prospective de la politique de défense;08;Relations internationales et diplomatie de défense;70;Armées
PLF 2019;Budget général;DA;Défense;178;Préparation et emploi des forces;01;Planification  des moyens et conduite des opérations;70;Armées
PLF 2019;Budget général;DA;Défense;178;Préparation et emploi des forces;02;Préparation des forces terrestres;70;Armées
PLF 2019;Budget général;DA;Défense;178;Préparation et emploi des forces;03;Préparation des forces navales;70;Armées
PLF 2019;Budget général;DA;Défense;178;Préparation et emploi des forces;04;Préparation des forces aériennes;70;Armées
PLF 2019;Budget général;DA;Défense;178;Préparation et emploi des forces;05;Logistique et soutien interarmées;70;Armées
PLF 2019;Budget général;DA;Défense;178;Préparation et emploi des forces;06;Surcoûts liés aux opérations extérieures;70;Armées
PLF 2019;Budget général;DA;Défense;178;Préparation et emploi des forces;07;Surcoûts liés aux opérations intérieures;70;Armées
PLF 2019;Budget général;DA;Défense;212;Soutien de la politique de la défense;04;Politique immobilière;70;Armées
PLF 2019;Budget général;DA;Défense;212;Soutien de la politique de la défense;05;Systèmes d'information, d'administration et de gestion;70;Armées
PLF 2019;Budget général;DA;Défense;212;Soutien de la politique de la défense;06;Politiques des ressources humaines;70;Armées
PLF 2019;Budget général;DA;Défense;212;Soutien de la politique de la défense;08;Politique culturelle et éducative;70;Armées
PLF 2019;Budget général;DA;Défense;212;Soutien de la politique de la défense;10;Restructurations;70;Armées
PLF 2019;Budget général;DA;Défense;212;Soutien de la politique de la défense;11;Pilotage, soutien et communication;70;Armées
PLF 2019;Budget général;DA;Défense;212;Soutien de la politique de la défense;50;"Recherche et exploitation du renseignement intéressant la sécurité de la France - Personnel travaillant  pour le programme ""Environnement et prospective de la politique de défense""";70;Armées
PLF 2019;Budget général;DA;Défense;212;Soutien de la politique de la défense;51;"Prospective de défense - Personnel travaillant  pour le programme ""Environnement et prospective de la politique de défense""";70;Armées
PLF 2019;Budget général;DA;Défense;212;Soutien de la politique de la défense;52;Relations internationales;70;Armées
PLF 2019;Budget général;DA;Défense;212;Soutien de la politique de la défense;53;"Préparation et conduite des opérations d'armement - Personnel travaillant  pour le programme  ""Équipement des forces """;70;Armées
PLF 2019;Budget général;DA;Défense;212;Soutien de la politique de la défense;54;"Planification des moyens et conduite des opérations - Personnel travaillant  pour le programme ""Préparation et emploi des forces""";70;Armées
PLF 2019;Budget général;DA;Défense;212;Soutien de la politique de la défense;55;"Préparation des forces terrestres - Personnel travaillant pour le programme ""Préparation et emploi des forces""";70;Armées
PLF 2019;Budget général;DA;Défense;212;Soutien de la politique de la défense;56;"Préparation des forces navales - Personnel travaillant pour le programme ""Préparation et emploi des forces""";70;Armées
PLF 2019;Budget général;DA;Défense;212;Soutien de la politique de la défense;57;"Préparation des forces aériennes- Personnel travaillant pour le programme ""Préparation et emploi des forces""";70;Armées
PLF 2019;Budget général;DA;Défense;212;Soutien de la politique de la défense;58;"Logistique et soutien interarmées - Personnel travaillant pour le programme ""Préparation et emploi des forces""";70;Armées
PLF 2019;Budget général;DA;Défense;212;Soutien de la politique de la défense;59;"Surcoûts liés aux opérations - Personnel travaillant pour le programme ""Préparation et emploi des forces""";70;Armées
PLF 2019;Budget général;DA;Défense;212;Soutien de la politique de la défense;60;"Politique immobilière - Personnel travaillant pour l'action ""Politique immobilière""";70;Armées
PLF 2019;Budget général;DA;Défense;212;Soutien de la politique de la défense;61;Action sociale, chômage et pensions;70;Armées
PLF 2019;Budget général;DA;Défense;212;Soutien de la politique de la défense;62;"Politique culturelle et éducative - gestion et communication des archives historiques de la défense - Personnel travaillant pour l'action ""Politique culturelle et éducative""";70;Armées
PLF 2019;Budget général;DA;Défense;212;Soutien de la politique de la défense;63;Restructurations - RH;70;Armées
PLF 2019;Budget général;DA;Défense;212;Soutien de la politique de la défense;64;"Pilotage, soutien  -  Personnel travaillant pour l'action "" Pilotage, soutien """;70;Armées
PLF 2019;Budget général;DA;Défense;212;Soutien de la politique de la défense;65;"Journée défense et citoyenneté - Personnel travaillant pour le programme ""Liens entre la Nation et son armée""";70;Armées
PLF 2019;Budget général;DA;Défense;212;Soutien de la politique de la défense;66;Rayonnement et contribution extérieure;70;Armées
PLF 2019;Budget général;DA;Défense;212;Soutien de la politique de la défense;67;Pilotage, soutien et communication - dépenses de personnel des cabinets et des organismes rattachés / RH;70;Armées
PLF 2019;Budget général;DA;Défense;146;Équipement des forces;06;Dissuasion;70;Armées
PLF 2019;Budget général;DA;Défense;146;Équipement des forces;07;Commandement et maîtrise de l'information;70;Armées
PLF 2019;Budget général;DA;Défense;146;Équipement des forces;08;Projection - mobilité - soutien;70;Armées
PLF 2019;Budget général;DA;Défense;146;Équipement des forces;09;Engagement et combat;70;Armées
PLF 2019;Budget général;DA;Défense;146;Équipement des forces;10;Protection et sauvegarde;70;Armées
PLF 2019;Budget général;DA;Défense;146;Équipement des forces;11;Préparation et conduite des opérations d'armement;70;Armées
PLF 2019;Budget général;DA;Défense;146;Équipement des forces;12;Parts étrangères et programmes civils;70;Armées
PLF 2019;Budget général;DC;Direction de l'action du Gouvernement;129;Coordination du travail gouvernemental;01;Coordination du travail gouvernemental;12;Services du Premier ministre
PLF 2019;Budget général;DC;Direction de l'action du Gouvernement;129;Coordination du travail gouvernemental;02;Coordination de la sécurité et de la défense;12;Services du Premier ministre
PLF 2019;Budget général;DC;Direction de l'action du Gouvernement;129;Coordination du travail gouvernemental;03;Coordination de la politique européenne;12;Services du Premier ministre
PLF 2019;Budget général;DC;Direction de l'action du Gouvernement;129;Coordination du travail gouvernemental;10;Soutien;12;Services du Premier ministre
PLF 2019;Budget général;DC;Direction de l'action du Gouvernement;129;Coordination du travail gouvernemental;11;Stratégie et prospective;12;Services du Premier ministre
PLF 2019;Budget général;DC;Direction de l'action du Gouvernement;129;Coordination du travail gouvernemental;13;Ordre de la Légion d'honneur;12;Services du Premier ministre
PLF 2019;Budget général;DC;Direction de l'action du Gouvernement;129;Coordination du travail gouvernemental;15;Mission interministérielle de lutte contre les drogues et les conduites addictives;12;Services du Premier ministre
PLF 2019;Budget général;DC;Direction de l'action du Gouvernement;129;Coordination du travail gouvernemental;16;Coordination de la politique numérique;12;Services du Premier ministre
