Phase;Type de mission;Mission;Code Programme;Programme;Code Action;Action
PLF 2017;Budget général;Investissements d'avenir;421;Soutien des progrès de l'enseignement et de la recherche;6;Créations expérimentales de sociétés universitaires et scientifiques
PLF 2017;Budget général;Investissements d'avenir;421;Soutien des progrès de l'enseignement et de la recherche;7;Territoires d'innovation pédagogique
PLF 2017;Budget général;Investissements d'avenir;422;Valorisation de la recherche;1;Intégration des SATT, incubateurs et accélérateurs
PLF 2017;Budget général;Investissements d'avenir;422;Valorisation de la recherche;2;"Fonds national post-maturation ""Frontier venture"""
PLF 2017;Budget général;Investissements d'avenir;422;Valorisation de la recherche;3;Démonstrateurs et territoires d'innovation de grande ambition
PLF 2017;Budget général;Investissements d'avenir;422;Valorisation de la recherche;4;Nouveaux écosystèmes d'innovation
PLF 2017;Budget général;Investissements d'avenir;422;Valorisation de la recherche;5;Accélération du développement des écosystèmes d'innovation performants
PLF 2017;Budget général;Investissements d'avenir;423;Accélération de la modernisation des entreprises;1;Soutien à l'innovation collaborative
PLF 2017;Budget général;Investissements d'avenir;423;Accélération de la modernisation des entreprises;2;Accompagnement et transformation des filières
PLF 2017;Budget général;Investissements d'avenir;423;Accélération de la modernisation des entreprises;3;Industrie du futur
PLF 2017;Budget général;Investissements d'avenir;423;Accélération de la modernisation des entreprises;4;Adaptation et qualification de la main d'œuvre
PLF 2017;Budget général;Investissements d'avenir;423;Accélération de la modernisation des entreprises;5;Concours d'innovation
PLF 2017;Budget général;Investissements d'avenir;423;Accélération de la modernisation des entreprises;6;Fonds national d'amorçage n° 2
PLF 2017;Budget général;Investissements d'avenir;423;Accélération de la modernisation des entreprises;7;Fonds à l'internationalisation des PME
PLF 2017;Budget général;Investissements d'avenir;423;Accélération de la modernisation des entreprises;8;"Fonds de fonds ""Multicap Croissance"" n° 2"
PLF 2017;Budget général;Investissements d'avenir;423;Accélération de la modernisation des entreprises;9;Grands défis
PLF 2017;Budget général;Justice;166;Justice judiciaire;1;Traitement et jugement des contentieux civils
PLF 2017;Budget général;Justice;166;Justice judiciaire;2;Conduite de la politique pénale et jugement des affaires pénales
PLF 2017;Budget général;Justice;166;Justice judiciaire;3;Cassation
PLF 2017;Budget général;Justice;166;Justice judiciaire;5;Enregistrement des décisions judiciaires
PLF 2017;Budget général;Justice;166;Justice judiciaire;6;Soutien
PLF 2017;Budget général;Justice;166;Justice judiciaire;7;Formation
PLF 2017;Budget général;Justice;166;Justice judiciaire;8;Support à l'accès au droit et à la justice
PLF 2017;Budget général;Justice;107;Administration pénitentiaire;1;Garde et contrôle des personnes placées sous main de justice
PLF 2017;Budget général;Justice;107;Administration pénitentiaire;2;Accueil et accompagnement des personnes placées sous main de justice
PLF 2017;Budget général;Justice;107;Administration pénitentiaire;4;Soutien et formation
PLF 2017;Budget général;Justice;182;Protection judiciaire de la jeunesse;1;Mise en oeuvre des décisions judiciaires
PLF 2017;Budget général;Justice;182;Protection judiciaire de la jeunesse;3;Soutien
PLF 2017;Budget général;Justice;182;Protection judiciaire de la jeunesse;4;Formation
PLF 2017;Budget général;Justice;101;Accès au droit et à la justice;1;Aide juridictionnelle
PLF 2017;Budget général;Justice;101;Accès au droit et à la justice;2;Développement de l'accès au droit et du réseau judiciaire de proximité
PLF 2017;Budget général;Justice;101;Accès au droit et à la justice;3;Aide aux victimes
PLF 2017;Budget général;Justice;101;Accès au droit et à la justice;4;Médiation familiale et espaces de rencontre
PLF 2017;Budget général;Justice;101;Accès au droit et à la justice;5;Indemnisation des avoués
PLF 2017;Budget général;Justice;310;Conduite et pilotage de la politique de la justice;1;État major
PLF 2017;Budget général;Justice;310;Conduite et pilotage de la politique de la justice;2;Activité normative
PLF 2017;Budget général;Justice;310;Conduite et pilotage de la politique de la justice;3;Évaluation, contrôle, études et recherche
PLF 2017;Budget général;Justice;310;Conduite et pilotage de la politique de la justice;4;Gestion de l'administration centrale
PLF 2017;Budget général;Justice;310;Conduite et pilotage de la politique de la justice;9;Action informatique ministérielle
PLF 2017;Budget général;Justice;310;Conduite et pilotage de la politique de la justice;10;Action sociale ministérielle
PLF 2017;Budget général;Justice;335;Conseil supérieur de la magistrature;1;Conseil supérieur de la magistrature
PLF 2017;Budget général;Médias, livre et industries culturelles;180;Presse et médias;1;Relations financières avec l'AFP
PLF 2017;Budget général;Médias, livre et industries culturelles;180;Presse et médias;2;Aides à la presse
PLF 2017;Budget général;Médias, livre et industries culturelles;180;Presse et médias;5;Soutien aux médias de proximité
PLF 2017;Budget général;Médias, livre et industries culturelles;180;Presse et médias;6;Soutien à l'expression radiophonique locale
PLF 2017;Budget général;Médias, livre et industries culturelles;180;Presse et médias;7;Compagnie internationale de radio et télévision (CIRT)
PLF 2017;Budget général;Médias, livre et industries culturelles;334;Livre et industries culturelles;1;Livre et lecture
PLF 2017;Budget général;Médias, livre et industries culturelles;334;Livre et industries culturelles;2;Industries culturelles
PLF 2017;Budget général;Outre-mer;138;Emploi outre-mer;1;Soutien aux entreprises
PLF 2017;Budget général;Outre-mer;138;Emploi outre-mer;2;Aide à l'insertion et à la qualification professionnelle
PLF 2017;Budget général;Outre-mer;138;Emploi outre-mer;3;Pilotage des politiques des outre-mer
PLF 2017;Budget général;Outre-mer;123;Conditions de vie outre-mer;1;Logement
PLF 2017;Budget général;Outre-mer;123;Conditions de vie outre-mer;2;Aménagement  du territoire
PLF 2017;Budget général;Outre-mer;123;Conditions de vie outre-mer;3;Continuité territoriale
PLF 2017;Budget général;Outre-mer;123;Conditions de vie outre-mer;4;Sanitaire, social, culture, jeunesse et sports
PLF 2017;Budget général;Outre-mer;123;Conditions de vie outre-mer;6;Collectivités territoriales
PLF 2017;Budget général;Outre-mer;123;Conditions de vie outre-mer;7;Insertion économique et coopération régionales
PLF 2017;Budget général;Outre-mer;123;Conditions de vie outre-mer;8;Fonds exceptionnel d'investissement
PLF 2017;Budget général;Outre-mer;123;Conditions de vie outre-mer;9;Appui à l'accès aux financements bancaires
PLF 2017;Budget général;Politique des territoires;112;Impulsion et coordination de la politique d'aménagement du territoire;1;Attractivité économique et compétitivité des territoires
PLF 2017;Budget général;Politique des territoires;112;Impulsion et coordination de la politique d'aménagement du territoire;2;Développement solidaire et équilibré des territoires
PLF 2017;Budget général;Politique des territoires;112;Impulsion et coordination de la politique d'aménagement du territoire;4;Instruments de pilotage et d'étude
PLF 2017;Budget général;Politique des territoires;162;Interventions territoriales de l'État;2;Eau - Agriculture en Bretagne
PLF 2017;Budget général;Politique des territoires;162;Interventions territoriales de l'État;4;Programme exceptionnel d'investissements en faveur de la Corse
PLF 2017;Budget général;Politique des territoires;162;Interventions territoriales de l'État;6;Plan gouvernemental sur le Marais Poitevin - Poitou Charentes
PLF 2017;Budget général;Politique des territoires;162;Interventions territoriales de l'État;8;Plan chlordécone en Martinique et en Guadeloupe
PLF 2017;Budget général;Politique des territoires;147;Politique de la ville;1;Actions territorialisées et Dispositifs spécifiques de la politique de la ville
PLF 2017;Budget général;Politique des territoires;147;Politique de la ville;2;Revitalisation économique et emploi
PLF 2017;Budget général;Politique des territoires;147;Politique de la ville;3;Stratégie, ressources et évaluation
PLF 2017;Budget général;Politique des territoires;147;Politique de la ville;4;Rénovation urbaine et amélioration du cadre de vie
PLF 2017;Budget général;Pouvoirs publics;501;Présidence de la République;1;Présidence de la République
PLF 2017;Budget général;Pouvoirs publics;511;Assemblée nationale;1;Assemblée nationale
PLF 2017;Budget général;Pouvoirs publics;521;Sénat;1;Sénat
PLF 2017;Budget général;Pouvoirs publics;521;Sénat;2;Jardin du Luxembourg
PLF 2017;Budget général;Pouvoirs publics;521;Sénat;3;Musée du Luxembourg
PLF 2017;Budget général;Pouvoirs publics;541;La Chaîne parlementaire;1;La Chaîne parlementaire - Assemblée nationale
PLF 2017;Budget général;Pouvoirs publics;541;La Chaîne parlementaire;2;Public Sénat
PLF 2017;Budget général;Pouvoirs publics;542;Indemnités des représentants français au Parlement européen;1;Indemnités des représentants français au Parlement européen
PLF 2017;Budget général;Pouvoirs publics;531;Conseil constitutionnel;1;Conseil constitutionnel
PLF 2017;Budget général;Pouvoirs publics;532;Haute Cour;1;Haute Cour
PLF 2017;Budget général;Pouvoirs publics;533;Cour de justice de la République;1;Cour de justice de la République
PLF 2017;Budget général;Recherche et enseignement supérieur;150;Formations supérieures et recherche universitaire;1;Formation initiale et continue du baccalauréat à la licence
PLF 2017;Budget général;Recherche et enseignement supérieur;150;Formations supérieures et recherche universitaire;2;Formation initiale et continue de niveau master
PLF 2017;Budget général;Recherche et enseignement supérieur;150;Formations supérieures et recherche universitaire;3;Formation initiale et continue de niveau doctorat
PLF 2017;Budget général;Recherche et enseignement supérieur;150;Formations supérieures et recherche universitaire;4;Établissements d'enseignement privés
PLF 2017;Budget général;Recherche et enseignement supérieur;150;Formations supérieures et recherche universitaire;5;Bibliothèques et documentation
PLF 2017;Budget général;Recherche et enseignement supérieur;150;Formations supérieures et recherche universitaire;13;Diffusion des savoirs et musées
PLF 2017;Budget général;Recherche et enseignement supérieur;150;Formations supérieures et recherche universitaire;14;Immobilier
PLF 2017;Budget général;Recherche et enseignement supérieur;150;Formations supérieures et recherche universitaire;15;Pilotage et support du programme
PLF 2017;Budget général;Recherche et enseignement supérieur;150;Formations supérieures et recherche universitaire;17;Recherche
PLF 2017;Budget général;Recherche et enseignement supérieur;231;Vie étudiante;1;Aides directes
PLF 2017;Budget général;Recherche et enseignement supérieur;231;Vie étudiante;2;Aides indirectes
PLF 2017;Budget général;Recherche et enseignement supérieur;231;Vie étudiante;3;Santé des étudiants et activités associatives, culturelles et sportives
PLF 2017;Budget général;Recherche et enseignement supérieur;231;Vie étudiante;4;Pilotage et animation du programme
PLF 2017;Budget général;Recherche et enseignement supérieur;172;Recherches scientifiques et technologiques pluridisciplinaires;1;Pilotage et animation
PLF 2017;Budget général;Recherche et enseignement supérieur;172;Recherches scientifiques et technologiques pluridisciplinaires;2;Agence nationale de la recherche
PLF 2017;Budget général;Recherche et enseignement supérieur;172;Recherches scientifiques et technologiques pluridisciplinaires;11;Recherches interdisciplinaires et transversales
PLF 2017;Budget général;Recherche et enseignement supérieur;172;Recherches scientifiques et technologiques pluridisciplinaires;12;Diffusion, valorisation et transfert des connaissances et des technologies
PLF 2017;Budget général;Recherche et enseignement supérieur;172;Recherches scientifiques et technologiques pluridisciplinaires;13;Grandes infrastructures de recherche
PLF 2017;Budget général;Recherche et enseignement supérieur;172;Recherches scientifiques et technologiques pluridisciplinaires;14;Moyens généraux et d'appui à la recherche
PLF 2017;Budget général;Recherche et enseignement supérieur;172;Recherches scientifiques et technologiques pluridisciplinaires;15;Recherches scientifiques et technologiques en sciences de la vie et de la santé
PLF 2017;Budget général;Recherche et enseignement supérieur;172;Recherches scientifiques et technologiques pluridisciplinaires;16;Recherches scientifiques et technologiques en sciences et techniques de l'information
PLF 2017;Budget général;Recherche et enseignement supérieur;172;Recherches scientifiques et technologiques pluridisciplinaires;17;Recherches scientifiques et technologiques dans le domaine de l'énergie
PLF 2017;Budget général;Recherche et enseignement supérieur;172;Recherches scientifiques et technologiques pluridisciplinaires;18;Recherches scientifiques et technologiques dans le domaine de l'environnement
PLF 2017;Budget général;Recherche et enseignement supérieur;172;Recherches scientifiques et technologiques pluridisciplinaires;19;Recherches scientifiques et technologiques en sciences humaines et sciences sociales
PLF 2017;Budget général;Recherche et enseignement supérieur;193;Recherche spatiale;1;Développement de la technologie spatiale au service de la science
PLF 2017;Budget général;Recherche et enseignement supérieur;193;Recherche spatiale;2;Développement de la technologie spatiale au service de l'observation de la terre
PLF 2017;Budget général;Recherche et enseignement supérieur;193;Recherche spatiale;3;Développement de la technologie spatiale au service de la recherche en sciences de l'information et de la communication
PLF 2017;Budget général;Recherche et enseignement supérieur;193;Recherche spatiale;4;Maîtrise de l'accès à l'espace
PLF 2017;Budget général;Recherche et enseignement supérieur;193;Recherche spatiale;5;Maîtrise des technologies orbitales et de l'innovation technologique
PLF 2017;Budget général;Recherche et enseignement supérieur;193;Recherche spatiale;6;Moyens généraux et d'appui à la recherche
PLF 2017;Budget général;Recherche et enseignement supérieur;193;Recherche spatiale;7;Développement des satellites de météorologie
PLF 2017;Budget général;Recherche et enseignement supérieur;190;Recherche dans les domaines de l'énergie, du développement et de la mobilité durables;10;Recherche dans le domaine de l'énergie
PLF 2017;Budget général;Recherche et enseignement supérieur;190;Recherche dans les domaines de l'énergie, du développement et de la mobilité durables;11;Recherche dans le domaine des risques
PLF 2017;Budget général;Recherche et enseignement supérieur;190;Recherche dans les domaines de l'énergie, du développement et de la mobilité durables;12;Recherche dans le domaine des transports, de la construction et de l'aménagement
PLF 2017;Budget général;Recherche et enseignement supérieur;190;Recherche dans les domaines de l'énergie, du développement et de la mobilité durables;13;Recherche partenariale dans le développement et l'aménagement durable
PLF 2017;Budget général;Recherche et enseignement supérieur;190;Recherche dans les domaines de l'énergie, du développement et de la mobilité durables;14;Recherche et développement dans le domaine de l'aéronautique civile
PLF 2017;Budget général;Recherche et enseignement supérieur;190;Recherche dans les domaines de l'énergie, du développement et de la mobilité durables;15;Charges nucléaires de long terme des installations du CEA
PLF 2017;Budget général;Recherche et enseignement supérieur;192;Recherche et enseignement supérieur en matière économique et industrielle;1;Organismes de formation supérieure et de recherche
PLF 2017;Budget général;Recherche et enseignement supérieur;192;Recherche et enseignement supérieur en matière économique et industrielle;2;Soutien et diffusion de l'innovation technologique
PLF 2017;Budget général;Recherche et enseignement supérieur;192;Recherche et enseignement supérieur en matière économique et industrielle;3;Soutien de la recherche industrielle stratégique
PLF 2017;Budget général;Recherche et enseignement supérieur;191;Recherche duale (civile et militaire);1;Recherche duale en sciences du vivant
PLF 2017;Budget général;Recherche et enseignement supérieur;191;Recherche duale (civile et militaire);2;Recherche duale en sciences et techniques de l'information et de la communication
PLF 2017;Budget général;Recherche et enseignement supérieur;191;Recherche duale (civile et militaire);3;Recherche duale dans le domaine aérospatial
PLF 2017;Budget général;Recherche et enseignement supérieur;191;Recherche duale (civile et militaire);4;Autres recherches et développements technologiques duaux
PLF 2017;Budget général;Recherche et enseignement supérieur;186;Recherche culturelle et culture scientifique;1;Recherche culturelle
PLF 2017;Budget général;Recherche et enseignement supérieur;186;Recherche culturelle et culture scientifique;3;Culture scientifique et technique
PLF 2017;Budget général;Recherche et enseignement supérieur;142;Enseignement supérieur et recherche agricoles;1;Enseignement supérieur
PLF 2017;Budget général;Recherche et enseignement supérieur;142;Enseignement supérieur et recherche agricoles;2;Recherche, développement et transfert de technologie
PLF 2017;Budget général;Régimes sociaux et de retraite;198;Régimes sociaux et de retraite des transports terrestres;3;Régime de retraite du personnel de la SNCF
PLF 2017;Budget général;Régimes sociaux et de retraite;198;Régimes sociaux et de retraite des transports terrestres;4;Régime de retraite du personnel de la RATP
PLF 2017;Budget général;Régimes sociaux et de retraite;198;Régimes sociaux et de retraite des transports terrestres;5;Autres régimes
PLF 2017;Budget général;Régimes sociaux et de retraite;197;Régimes de retraite et de sécurité sociale des marins;1;Régimes de retraite et de sécurité sociale des marins
PLF 2017;Budget général;Régimes sociaux et de retraite;195;Régimes de retraite des mines, de la SEITA et divers;1;Versements au fonds spécial de retraite de la caisse autonome nationale de sécurité sociale dans les mines
PLF 2017;Budget général;Régimes sociaux et de retraite;195;Régimes de retraite des mines, de la SEITA et divers;2;Régime de retraite de la SEITA
PLF 2017;Budget général;Régimes sociaux et de retraite;195;Régimes de retraite des mines, de la SEITA et divers;3;Caisse des retraites de l'Imprimerie nationale
PLF 2017;Budget général;Régimes sociaux et de retraite;195;Régimes de retraite des mines, de la SEITA et divers;4;Caisse des retraites des régies ferroviaires d'outre-mer
PLF 2017;Budget général;Régimes sociaux et de retraite;195;Régimes de retraite des mines, de la SEITA et divers;7;Versements liés à la liquidation de l'ORTF
PLF 2017;Budget général;Régimes sociaux et de retraite;195;Régimes de retraite des mines, de la SEITA et divers;9;"Contributions exceptionnelles au compte d'affectation spéciale ""Pensions"""
PLF 2017;Budget général;Régimes sociaux et de retraite;195;Régimes de retraite des mines, de la SEITA et divers;10;Caisse de retraite des fonctionnaires de Mayotte (CRFM)
PLF 2017;Budget général;Relations avec les collectivités territoriales;119;Concours financiers aux collectivités territoriales et à leurs groupements;1;Soutien aux projets des communes et groupements de communes
PLF 2017;Budget général;Relations avec les collectivités territoriales;119;Concours financiers aux collectivités territoriales et à leurs groupements;2;Dotation générale de décentralisation des communes
PLF 2017;Budget général;Relations avec les collectivités territoriales;119;Concours financiers aux collectivités territoriales et à leurs groupements;3;Soutien aux projets des départements
PLF 2017;Budget général;Relations avec les collectivités territoriales;119;Concours financiers aux collectivités territoriales et à leurs groupements;4;Dotation générale de décentralisation des départements
PLF 2017;Budget général;Relations avec les collectivités territoriales;119;Concours financiers aux collectivités territoriales et à leurs groupements;5;Dotation générale de décentralisation des régions
PLF 2017;Budget général;Relations avec les collectivités territoriales;119;Concours financiers aux collectivités territoriales et à leurs groupements;6;Dotation générale de décentralisation concours particuliers
PLF 2017;Budget général;Relations avec les collectivités territoriales;122;Concours spécifiques et administration;1;Aides exceptionnelles aux collectivités territoriales
PLF 2017;Budget général;Relations avec les collectivités territoriales;122;Concours spécifiques et administration;2;Administration des relations avec les collectivités territoriales
PLF 2017;Budget général;Relations avec les collectivités territoriales;122;Concours spécifiques et administration;4;Dotations Outre-Mer
PLF 2017;Budget général;Remboursements et dégrèvements;200;Remboursements et dégrèvements d'impôts d'État (crédits évaluatifs);11;Remboursements et restitutions liés à la mécanique de l'impôt
PLF 2017;Budget général;Remboursements et dégrèvements;200;Remboursements et dégrèvements d'impôts d'État (crédits évaluatifs);12;Remboursements et dégrèvements liées à des politiques publiques
PLF 2017;Budget général;Remboursements et dégrèvements;200;Remboursements et dégrèvements d'impôts d'État (crédits évaluatifs);13;Remboursements et dégrèvements liés à la gestion des produits de l'Etat
PLF 2017;Budget général;Remboursements et dégrèvements;201;Remboursements et dégrèvements d'impôts locaux (crédits évaluatifs);1;Taxe professionnelle et contribution économique territoriale  et autres impôts économiques créés ou modifiés dans le cadre de la réforme de la taxe professionnelle
PLF 2017;Budget général;Remboursements et dégrèvements;201;Remboursements et dégrèvements d'impôts locaux (crédits évaluatifs);2;Taxes foncières
PLF 2017;Budget général;Remboursements et dégrèvements;201;Remboursements et dégrèvements d'impôts locaux (crédits évaluatifs);3;Taxe d'habitation
PLF 2017;Budget général;Remboursements et dégrèvements;201;Remboursements et dégrèvements d'impôts locaux (crédits évaluatifs);4;Admission en non valeur d'impôts locaux
PLF 2017;Budget général;Santé;204;Prévention, sécurité sanitaire et offre de soins;11;Pilotage de la politique de santé publique
PLF 2017;Budget général;Santé;204;Prévention, sécurité sanitaire et offre de soins;12;Santé des populations
PLF 2017;Budget général;Santé;204;Prévention, sécurité sanitaire et offre de soins;14;Prévention des maladies chroniques et qualité de vie des malades
PLF 2017;Budget général;Santé;204;Prévention, sécurité sanitaire et offre de soins;15;Prévention des risques liés à l'environnement et à l'alimentation
PLF 2017;Budget général;Santé;204;Prévention, sécurité sanitaire et offre de soins;16;Veille et sécurité sanitaire
PLF 2017;Budget général;Santé;204;Prévention, sécurité sanitaire et offre de soins;17;Politique des produits de santé et de la qualité des pratiques et des soins
PLF 2017;Budget général;Santé;204;Prévention, sécurité sanitaire et offre de soins;18;Projets régionaux de santé
PLF 2017;Budget général;Santé;204;Prévention, sécurité sanitaire et offre de soins;19;Modernisation de l'offre de soins
PLF 2017;Budget général;Santé;183;Protection maladie;2;Aide médicale de l'Etat
PLF 2017;Budget général;Santé;183;Protection maladie;3;Fonds d'indemnisation des victimes de l'amiante
PLF 2017;Budget général;Sécurités;176;Police nationale;1;Ordre public et protection de la souveraineté
PLF 2017;Budget général;Sécurités;176;Police nationale;2;Sécurité et paix publiques
PLF 2017;Budget général;Sécurités;176;Police nationale;3;Sécurité routière
PLF 2017;Budget général;Sécurités;176;Police nationale;4;Police des étrangers et sûreté des transports internationaux
PLF 2017;Budget général;Sécurités;176;Police nationale;5;Missions de police judiciaire et concours à la justice
PLF 2017;Budget général;Sécurités;176;Police nationale;6;Commandement, ressources humaines et logistique
PLF 2017;Budget général;Sécurités;152;Gendarmerie nationale;1;Ordre et sécurité publics
PLF 2017;Budget général;Sécurités;152;Gendarmerie nationale;2;Sécurité routière
PLF 2017;Budget général;Sécurités;152;Gendarmerie nationale;3;Missions de police judiciaire et concours à la justice
PLF 2017;Budget général;Sécurités;152;Gendarmerie nationale;4;Commandement, ressources humaines et logistique
PLF 2017;Budget général;Sécurités;152;Gendarmerie nationale;5;Exercice des missions militaires
PLF 2017;Budget général;Sécurités;207;Sécurité et éducation routières;1;Observation, prospective, réglementation et soutien au programme
PLF 2017;Budget général;Sécurités;207;Sécurité et éducation routières;2;Démarches interministérielles et communication
PLF 2017;Budget général;Sécurités;207;Sécurité et éducation routières;3;Éducation routière
PLF 2017;Budget général;Sécurités;161;Sécurité civile;11;Prévention et gestion de crises
PLF 2017;Budget général;Sécurités;161;Sécurité civile;12;Préparation et interventions spécialisées des moyens nationaux
PLF 2017;Budget général;Sécurités;161;Sécurité civile;13;Soutien aux acteurs de la sécurité civile
PLF 2017;Budget général;Sécurités;161;Sécurité civile;14;Fonctionnement, soutien et logistique
PLF 2017;Budget général;Solidarité, insertion et égalité des chances;304;Inclusion sociale et protection des personnes;11;Prime d'activité et autres dispositifs
PLF 2017;Budget général;Solidarité, insertion et égalité des chances;304;Inclusion sociale et protection des personnes;12;Economie sociale et solidaire
PLF 2017;Budget général;Solidarité, insertion et égalité des chances;304;Inclusion sociale et protection des personnes;13;Autres expérimentations
PLF 2017;Budget général;Solidarité, insertion et égalité des chances;304;Inclusion sociale et protection des personnes;14;Aide alimentaire
PLF 2017;Budget général;Solidarité, insertion et égalité des chances;304;Inclusion sociale et protection des personnes;15;Qualification en travail social
PLF 2017;Budget général;Solidarité, insertion et égalité des chances;304;Inclusion sociale et protection des personnes;16;Protection juridique des majeurs
PLF 2017;Budget général;Solidarité, insertion et égalité des chances;304;Inclusion sociale et protection des personnes;17;Protection et accompagnement des enfants, des jeunes et des familles vulnérables
PLF 2017;Budget général;Solidarité, insertion et égalité des chances;304;Inclusion sociale et protection des personnes;18;Aide à la réinsertion familiale et sociale des anciens migrants dans leur pays d’origine (ARFS)
PLF 2017;Budget général;Solidarité, insertion et égalité des chances;157;Handicap et dépendance;11;Fonctionnement des maisons départementales des personnes handicapées
PLF 2017;Budget général;Solidarité, insertion et égalité des chances;157;Handicap et dépendance;12;Allocations et aides en faveur des personnes handicapées
PLF 2017;Budget général;Solidarité, insertion et égalité des chances;157;Handicap et dépendance;13;Pilotage du programme et animation des politiques inclusives
PLF 2017;Budget général;Solidarité, insertion et égalité des chances;137;Égalité entre les femmes et les hommes;11;Actions et expérimentations pour la culture de l'égalité et en faveur de l'égalité professionnelle, politique et sociale
PLF 2017;Budget général;Solidarité, insertion et égalité des chances;137;Égalité entre les femmes et les hommes;12;Promotion des droits, prévention et lutte contre les violences sexistes
PLF 2017;Budget général;Solidarité, insertion et égalité des chances;137;Égalité entre les femmes et les hommes;13;Soutien du programme égalité entre les femmes et les hommes
PLF 2017;Budget général;Solidarité, insertion et égalité des chances;137;Égalité entre les femmes et les hommes;14;Actions de soutien, d'expérimentation en faveur de l’égalité entre les femmes et les hommes 
PLF 2017;Budget général;Solidarité, insertion et égalité des chances;137;Égalité entre les femmes et les hommes;15;Prévention et lutte contre la prostitution et la traite des êtres humains
PLF 2017;Budget général;Solidarité, insertion et égalité des chances;124;Conduite et soutien des politiques sanitaires, sociales, du sport, de la jeunesse et de la vie associative;10;Fonctionnement des services
PLF 2017;Budget général;Solidarité, insertion et égalité des chances;124;Conduite et soutien des politiques sanitaires, sociales, du sport, de la jeunesse et de la vie associative;11;Systèmes d'information
PLF 2017;Budget général;Solidarité, insertion et égalité des chances;124;Conduite et soutien des politiques sanitaires, sociales, du sport, de la jeunesse et de la vie associative;12;Affaires immobilières
PLF 2017;Budget général;Solidarité, insertion et égalité des chances;124;Conduite et soutien des politiques sanitaires, sociales, du sport, de la jeunesse et de la vie associative;14;Communication
PLF 2017;Budget général;Solidarité, insertion et égalité des chances;124;Conduite et soutien des politiques sanitaires, sociales, du sport, de la jeunesse et de la vie associative;15;Affaires européennes et internationales
PLF 2017;Budget général;Solidarité, insertion et égalité des chances;124;Conduite et soutien des politiques sanitaires, sociales, du sport, de la jeunesse et de la vie associative;16;Statistiques, études et recherche
PLF 2017;Budget général;Solidarité, insertion et égalité des chances;124;Conduite et soutien des politiques sanitaires, sociales, du sport, de la jeunesse et de la vie associative;17;Financement des agences régionales de santé
PLF 2017;Budget général;Solidarité, insertion et égalité des chances;124;Conduite et soutien des politiques sanitaires, sociales, du sport, de la jeunesse et de la vie associative;18;Personnels mettant en oeuvre les politiques sociales et de la santé
PLF 2017;Budget général;Solidarité, insertion et égalité des chances;124;Conduite et soutien des politiques sanitaires, sociales, du sport, de la jeunesse et de la vie associative;19;Personnels mettant en oeuvre les politiques du sport, de la jeunesse, de l'éducation populaire et de la vie associative
PLF 2017;Budget général;Solidarité, insertion et égalité des chances;124;Conduite et soutien des politiques sanitaires, sociales, du sport, de la jeunesse et de la vie associative;20;Personnels mettant en oeuvre les politiques pour les droits des femmes
PLF 2017;Budget général;Solidarité, insertion et égalité des chances;124;Conduite et soutien des politiques sanitaires, sociales, du sport, de la jeunesse et de la vie associative;21;Personnels mettant en œuvre les politiques de la ville, du logement et de l'hébergement
PLF 2017;Budget général;Solidarité, insertion et égalité des chances;124;Conduite et soutien des politiques sanitaires, sociales, du sport, de la jeunesse et de la vie associative;22;Personnels transversaux et de soutien
PLF 2017;Budget général;Solidarité, insertion et égalité des chances;124;Conduite et soutien des politiques sanitaires, sociales, du sport, de la jeunesse et de la vie associative;23;Politique des ressources humaines
PLF 2017;Budget général;Sport, jeunesse et vie associative;219;Sport;1;Promotion du sport pour le plus grand nombre
PLF 2017;Budget général;Sport, jeunesse et vie associative;219;Sport;2;Développement du sport de haut niveau
PLF 2017;Budget général;Sport, jeunesse et vie associative;219;Sport;3;Prévention par le sport et protection des sportifs
PLF 2017;Budget général;Sport, jeunesse et vie associative;219;Sport;4;Promotion des métiers du sport
PLF 2017;Budget général;Sport, jeunesse et vie associative;163;Jeunesse et vie associative;1;Développement de la vie associative
PLF 2017;Budget général;Sport, jeunesse et vie associative;163;Jeunesse et vie associative;2;Actions en faveur de la jeunesse et de l'éducation populaire
PLF 2017;Budget général;Sport, jeunesse et vie associative;163;Jeunesse et vie associative;4;Développement du service civique
PLF 2017;Budget général;Travail et emploi;102;Accès et retour à l'emploi;1;Amélioration de l’efficacité du service public de l’emploi
PLF 2017;Budget général;Travail et emploi;102;Accès et retour à l'emploi;2;Amélioration des dispositifs en faveur de l’emploi des personnes les plus éloignées du marché du travail
PLF 2017;Budget général;Travail et emploi;103;Accompagnement des mutations économiques et développement de l'emploi;1;Anticipation et accompagnement des conséquences des mutations économiques sur l'emploi
PLF 2017;Budget général;Travail et emploi;103;Accompagnement des mutations économiques et développement de l'emploi;2;Amélioration de l'insertion dans l'emploi par l'adaptation des qualifications et la reconnaissance des compétences
PLF 2017;Budget général;Travail et emploi;103;Accompagnement des mutations économiques et développement de l'emploi;3;Développement de l'emploi
PLF 2017;Budget général;Travail et emploi;111;Amélioration de la qualité de l'emploi et des relations du travail;1;Santé et sécurité au travail
PLF 2017;Budget général;Travail et emploi;111;Amélioration de la qualité de l'emploi et des relations du travail;2;Qualité et effectivité du droit
PLF 2017;Budget général;Travail et emploi;111;Amélioration de la qualité de l'emploi et des relations du travail;3;Dialogue social et démocratie sociale
PLF 2017;Budget général;Travail et emploi;111;Amélioration de la qualité de l'emploi et des relations du travail;4;Lutte contre le travail illégal
