nom;prenom;groupe;beneficiaire;adresse;descriptif;programme_budgetaire;montant
ABAD;Damien;Les Républicains;TAM de  Montréal la Cluse;Montréal la Cluse;Fonctionnement;163-01;3000.00
ABAD;Damien;Les Républicains;Association du Maquis de l'Ain et du Haut Jura;Haut-Bugey;Fonctionnement;167-02;1000.00
ABAD;Damien;Les Républicains;La Sapaudia Bus Info;Gilly sur Isère;Fonctionnement;204-12;1500.00
ABAD;Damien;Les Républicains;"Vaincre la Mucoviscidose ""Les Virades de l'Espoir""";Dortan;Fonctionnement;204-14;1000.00
ABAD;Damien;Les Républicains;Association Sportive de Dortan Lavancia;Dortan;Fonctionnement;204-14;1500.00
ABAD;Damien;Les Républicains;Amicale des donneurs de Sang d'Ambérieu;Ambérieu;Fonctionnement;204-17;1500.00
ABAD;Damien;Les Républicains;Société de pêche communale de Buynand;;Fonctionnement;205-06;1500.00
ABAD;Damien;Les Républicains;Club Kiwanis Ambérieu en Bugey, Plaine de l'Ain, Division Savoie Pays de l'Ain;Ambérieu;Fonctionnement;209-02;1000.00
ABAD;Damien;Les Républicains;Ambérieu Marathon;Canton Ambérieu;Fonctionnement;219-01;1000.00
ABAD;Damien;Les Républicains;Ambition Cyclisme Femin'Ain;Izernore;Fonctionnement;219-01;1000.00
ABAD;Damien;Les Républicains;District de l'Ain de Football;VIRIAT;Fonctionnement;219-01;1000.00
ABAD;Damien;Les Républicains;Association Sportive Automobile ESCA Plastic Vallée;Oyonnax;Fonctionnement;219-01;1500.00
ABAD;Damien;Les Républicains;Basket Club;Izernore;Fonctionnement;219-01;1500.00
ABAD;Damien;Les Républicains;Ecole de Rugby Nantua;NANTUA;Fonctionnement;219-01;1500.00
ABAD;Damien;Les Républicains;USO Sport Adapté;Oyonnax;Fonctionnement;219-01;1500.00
ABAD;Damien;Les Républicains;Comité Régional du ski Lyonnais Pays de l'Ain;Hauteville;Fonctionnement;219-01;2000.00
ABAD;Damien;Les Républicains;Entente Sportive Saint Martin du Fresne Maillat Combe du Val;Saint Martin du Fresne;Fonctionnement;219-01;2000.00
ABAD;Damien;Les Républicains;Oyonnax Plastic Vallée Football Club;Oyonnax;Fonctionnement;219-01;3000.00
ABAD;Damien;Les Républicains;USO Ecole de Rugby d'Oyonnax;Oyonnax;Fonctionnement;219-01;4000.00
ABAD;Damien;Les Républicains;Mémoires d'Autrefois Ambronay;Ambronay;Fonctionnement;224-02;1000.00
