nom;prenom;groupe;beneficiaire;adresse;descriptif;programme_budgetaire;montant
ABAD;Damien;Les Républicains;Amicale des Accordéonistes d'Ambérieu;Ambérieu;Fonctionnement;224-02;1000.00
ABAD;Damien;Les Républicains;Amis de la Tour;Saint Martin du Fresnes;Fonctionnement;224-02;1000.00
ABAD;Damien;Les Républicains;Rencontres et Culture de St Maurice de Remens;St Maurice de Remens;Fonctionnement;224-02;1000.00
ABAD;Damien;Les Républicains;Association de la Cité Dortanaise;Dortan;Fonctionnement;224-02;1000.00
ABAD;Damien;Les Républicains;Association Folkarambole et des Amplis sur la Prairie;Oyonnax;Fonctionnement;224-02;1000.00
ABAD;Damien;Les Républicains;Association Musique et Chant Ambérieu;Ambérieu;Fonctionnement;224-02;1000.00
ABAD;Damien;Les Républicains;Comité des fêtes de Champagne;Champagne en Valromey;Fonctionnement;224-02;1000.00
ABAD;Damien;Les Républicains;Ecole de Musique et de Danse de Ambérieu;Ambérieu;Fonctionnement;224-02;1000.00
ABAD;Damien;Les Républicains;L'Echo du Lange Chorale Groissiat-Martignat;Groissiat;Fonctionnement;224-02;1000.00
ABAD;Damien;Les Républicains;Office Culture Ambérieu;Ambérieu;Fonctionnement;224-02;1000.00
ABAD;Damien;Les Républicains;HISTHOIRIA;IZERNORE;Fonctionnement;224-02;1000.00
ABAD;Damien;Les Républicains;"Association Ecole de Musique ""Les 3 Rivières""";Rives de L'Ain Pays du Cerdon;Fonctionnement;224-02;1500.00
ABAD;Damien;Les Républicains;Rassemblement des Brion de France;Brion;Fonctionnement;224-02;1500.00
ABAD;Damien;Les Républicains;Les Marins de l'Oignin;Izernore;Fonctionnement;224-02;2000.00
ABAD;Damien;Les Républicains;Association de Familles de Traumatisés Crâniens et de Cérébro-lésés de l'Ain;AIN;Fonctionnement;304-17;1000.00
ABAD;Damien;Les Républicains;La Corde Alliée - Centre social Le lavoir;AMBERIEU;Fonctionnement;304-17;1000.00
ABAD;Damien;Les Républicains;Amicale Echange du Savoir;Oyonnax;Fonctionnement;304-17;2000.00
ABAD;Damien;Les Républicains;Chasseurs de Pugieu;Pugieu;Fonctionnement;113-07;1000.00
ABAD;Damien;Les Républicains;CHAMPDOR-CORCELLES;;l'acquisition d'un défibrillateur et d'un boîtier extérieur pour la commune déléguée de Corcelles;122-01;920.00
ABAD;Damien;Les Républicains;BENONCES;;la réalisation de travaux de mise aux normes d'accessibilité de l'église et du bâtiment mairie-école-salle des fêtes;122-01;2000.00
ABAD;Damien;Les Républicains;LABALME;;la rénovation des toitures d'un lavoir et d'un four communal;122-01;3000.00
ABAD;Damien;Les Républicains;ORDONNAZ;;la mise en accessibilité de la mairie, de l'église et de la fruitière;122-01;3000.00
ABAD;Damien;Les Républicains;SONTHONNAX-LA-MONTAGNE;;l'aménagement de toilettes accessibles aux personnes à mobilité réduite à la salle polyvalente;122-01;3341.00
ABAD;Damien;Les Républicains;ARGIS;;la réfection de la toiture du four du hameau d'Averliaz;122-01;3528.00
ABAD;Damien;Les Républicains;BEARD-GEOVREISSIAT;;la réalisation d'aménagements de sécurité rue de Béard (RD 18) et au carrefour de la rue de la Croix;122-01;5000.00
ABAD;Damien;Les Républicains;GROISSIAT;;la réfection de la toiture de l'église Notre Dame;122-01;5000.00
ABAD;Damien;Les Républicains;HAUT-VALROMEY;;la réhabilitation et l'extension de la salle des fêtes du Grand Abergement;122-01;5000.00
ABAD;Damien;Les Républicains;SAINT-JEAN-LE-VIEUX;;la construction d'une maison de l'enseignement musical, de l'art et de la culture;122-01;8500.00
ABAD;Damien;Les Républicains;CAPEB;VIRIAT;Fonctionnement;134-02;1000.00
ABAD;Damien;Les Républicains;Association de parents d'élèves de l'enseignement libre de l'Ecole St Joseph;Jujurieux;Fonctionnement;139-09;1000.00
ABAD;Damien;Les Républicains;Comptines et Petites Mains;Douvres;Fonctionnement;140-01;1000.00
ABAD;Damien;Les Républicains;Sou des Ecoles;Lantenay, Outrillaz et Izenave;Fonctionnement;140-01;1000.00
ABAD;Damien;Les Républicains;Sou des Ecoles;Nurieux-Volognat;Fonctionnement;140-01;1000.00
ABAD;Damien;Les Républicains;Sou des Ecoles de Bellignat;Bellignat;Fonctionnement;140-01;1000.00
ABAD;Damien;Les Républicains;Sou des Ecoles laïques;Artemare;Fonctionnement;140-01;1000.00
ABAD;Damien;Les Républicains;Sou des Ecoles Matafelon Granges;Matafelon Granges;Fonctionnement;140-01;1000.00
ABAD;Damien;Les Républicains;DYS;Ambérieu;Fonctionnement;157-01;1000.00
ABAD;Damien;Les Républicains;Magazine Handi national Yanous Handicap;Paris;Fonctionnement;157-01;1000.00
ABAD;Damien;Les Républicains;Les Dahuts d'Arbent;ARBENT;Fonctionnement;157-01;1500.00
ABAD;Damien;Les Républicains;Association Renaissance;HAUTEVILLE;Fonctionnement;157-01;3000.00
ABAD;Damien;Les Républicains;Club du 3ième Age, Les Jonquilles;Brénod;Fonctionnement;157-05;1000.00
ABAD;Damien;Les Républicains;EHPAD Nantua;Nantua;Fonctionnement;157-05;1000.00
ABAD;Damien;Les Républicains;Amicale des Pompiers;Izernore;Fonctionnement;161-13;1000.00
ABAD;Damien;Les Républicains;Jeunes Sapeurs Pompiers Haut Bugey;Haut-Bugey;Fonctionnement;161-13;1000.00
ABAD;Damien;Les Républicains;11km Contrevoz;Contrevoz;Fonctionnement;163-01;1000.00
ABAD;Damien;Les Républicains;Amicale Boules;Groissiat Martignat;Fonctionnement;163-01;1000.00
ABAD;Damien;Les Républicains;Réveil Gym Amberieu;Ambérieu;Fonctionnement;163-01;1000.00
ABAD;Damien;Les Républicains;Association Caisse à savons (Le Poizat);LE POIZAT;Fonctionnement;163-01;1000.00
ABAD;Damien;Les Républicains;Association CAP Bugey Château Gaillard;Château Gaillard;Fonctionnement;163-01;1000.00
ABAD;Damien;Les Républicains;Bonsai Club Ain-Jura;Izernore;Fonctionnement;163-01;1000.00
ABAD;Damien;Les Républicains;Club de Pétanque de Saint Rambert en Bugey;Saint-Rambert en Bugey;Fonctionnement;163-01;1000.00
ABAD;Damien;Les Républicains;H3S Trail du Bucheron;HAUTEVILLE;Fonctionnement;163-01;1000.00
ABAD;Damien;Les Républicains;Petanque Nantuatienne;Nantua;Fonctionnement;163-01;1000.00
ABAD;Damien;Les Républicains;Subaquatique Evolution;Oyonnax;Fonctionnement;163-01;1000.00
ABAD;Damien;Les Républicains;Amicale du personnel des collectivités territoriales des Monts Berthiand;SONTHONNAX LA MONTAGNE;Fonctionnement;163-01;1000.00
ABAD;Damien;Les Républicains;Vélo Rails Bugey;Pugieu;Fonctionnement;163-01;1000.00
ABAD;Damien;Les Républicains;Amicale des Supporters de l'USO;Oyonnax;Fonctionnement;163-01;1500.00
ABAD;Damien;Les Républicains;Club Nautique des Joutes de Neuville sur Ain;Neuville sur Ain;Fonctionnement;163-01;2000.00
ABAD;Damien;Les Républicains;Eaux Vives Oyonnax Canoé Kayak;Oyonnax;Fonctionnement;163-01;2000.00
ABEILLE;Laurence;Écologiste;Revivre;Maison Du Citoyen et de la Vie Associative 16, rue du Révérend Père Lucien Aubry 94120 Fontenay-sous-Bois;Projet d'aide aux réfugiés syriens demandeurs d'asile et aux anciens prisonniers d'opinion syriens;101-02;6800.00
ABEILLE;Laurence;Écologiste;Compagnie Karine Saporta;Square Marcel Paul 164 boulevard Gallieni 94120 Fontenay-sous-Bois;"Aide à la mise en œuvre du premier laboratoire de recherche ""pour un théâtre écologique"" et réalisation de courts métrages chorégraphiques exemplaires tournés en un certain nombre de sites naturels dans le monde aujourd’hui menacés";131-01;3500.00
ABEILLE;Laurence;Écologiste;CIWF;13, rue de Paradis 75010 Paris;Participation au salon Bio Marjolaine (Bois de Vincennes) en novembre 2016 (stand, animation et atelier);154-14;3000.00
ABEILLE;Laurence;Écologiste;Institut Val Mandé;7, rue Mongenot 94160 Saint-Mandé;Travaux de réhabilitation du batiment abritant l'ESAT de l'Institut: embellissement et restauration de l'extension en façade nord du batiment;157-04;10000.00
ABEILLE;Laurence;Écologiste;Ecole de chiens guides de Paris;105, avenue de Saint-Maurice 75012 Paris;Parrainage d'un chien guide (élevage, éducation et remise);157-04;15000.00
ABEILLE;Laurence;Écologiste;Fontenay Vélo;Maison Du Citoyen et de la Vie Associative 16, rue du Révérend Père Lucien Aubry 94120 Fontenay-sous-Bois;Achat d'une graveuse pour marquer les vélos (réduire les risques de vol);163-01;1500.00
ABEILLE;Laurence;Écologiste;La Saint-Mandéenne;2, avenue Gambetta BP13 94161 Saint-Mandé Cedex;Festivités pour les 140 ans de l’association : animations sportives avec participation des adhérents, spectacles et sensibilisation aux bienfaits du sport sur la santé;163-01;3000.00
ABEILLE;Laurence;Écologiste;Gym V Pour Tous;53 bis, rue de Fontenay  BP 123 94304 Vincennes Cedex;Aide en matériel informatique pour la gestion et l’administration de l'association  et aide en matériel pédagogique pour cours spécifiques Gym Après Cancer et Pilates;163-01;4000.00
ABEILLE;Laurence;Écologiste;Va sano;Maison Du Citoyen et de la Vie Associative 16, rue du Révérend Père Lucien Aubry 94120 Fontenay-sous-Bois;Ateliers socioculturels à destination des résidents de quartiers défavorisés de Fontenay-sous-Bois;163-01;5000.00
ABEILLE;Laurence;Écologiste;Aide d'Urgence du Val de Marne;26, avenue Maréchal Joffre 94290 Villeneuve-le-Roi;Projet pour la création de places d'hébergement d'urgence (équipement et ameublement de 34 appartements);177-11;5000.00
ABEILLE;Laurence;Écologiste;Jeunesse police 94;Direction Territoriale de la Sécurité Publique 11/19 Bd Jean-Baptiste Oudry 94000 Créteil;Soutien financier pour poursuivre action d'intérêt général de prévention de la délinquance, encadrement de la jeunesse difficile, prévention des conduites addictives et animation;182-03;2000.00
ABEILLE;Laurence;Écologiste;Princesse Margot;12-14, rue Georges-Huchon 94300 Vincennes;Rénovation de chambres hospitalières: service hématologie de l'hôpital Robert Debré;204-12;10000.00
ABEILLE;Laurence;Écologiste;ADAMA;49, rue Jeanne d'Arc 94160 Saint-Mandé;Aide à la réinsertion rurale de familles malgaches issues des bidonvilles (19e promotion de 20 familles);209-02;2000.00
ABEILLE;Laurence;Écologiste;France Afrique Entraide;6, rue Guizot 94120 Fontenay-sous-Bois;Construction de salles de classe à Koungheul (Sénégal);209-02;2000.00
ABEILLE;Laurence;Écologiste;Les Amis de Brovary;48 bis, avenue rabelais 94120 Fontenay-sous-Bois;Dans le cadre des échanges avec Brovary, accueil d'un groupe d'orphelins suite au conflit à l'est de l'Ukraine: financement du voyage (billets d'avion et visites);209-02;2500.00
ABEILLE;Laurence;Écologiste;«  Il était une fois … dans l'Oued »;20, rue Jeanne d’Arc 94160 Saint-Mandé;Contribuer au fonctionnement de l'école nomade touareg de Galelo (Niger);209-02;3000.00
ABEILLE;Laurence;Écologiste;Vélo-Club de Vincennes;32, rue du Commandant Mowat 94300 Vincennes;Financement de la participation de Stéphanie GROS au championnat du monde féminin Masters FFC à Copenhague;219-01;1200.00
ABEILLE;Laurence;Écologiste;La Bulle de Fontenay – club de plongée;60 bis, passage Emile Boutrais 94120 Fontenay-sous-Bois;Renouvellement du matériel pédagogique (détendeurs, gilets stabilisateurs), achat de matériel spécifique pour enfants et handicapés;219-01;3500.00
ABEILLE;Laurence;Écologiste;Basket Athletic Club de Vincennes;26, rue des vignerons 94300 Vincennes;Développement et structuration équipe basket féminin du club dans plusieurs catégories : nouveaux créneaux d'entrainements / déplacements de l'équipe féminine;219-01;6000.00
ABEILLE;Laurence;Écologiste;Unions Sportive Fontenaysienne;Maison des Sports André Million 40 bis, rue de Rosny 94120 Fontenay-sous-Bois;"Participation financière au développement des sections ""famille multisports"", ""sports de l'esprit"", badminton, arts martiaux, boxe, et organisation de journées de formation pour les dirigeants bénévoles";219-01;26000.00
ABEILLE;Laurence;Écologiste;Les amis de Fontenay;Maison Du Citoyen et de la Vie Associative 16, rue du Révérend Père Lucien Aubry 94120 Fontenay-sous-Bois;Réalisation d’un documentaire sur la mémoire des habitants du quartier de Val de Fontenay;224-02;2000.00
ABEILLE;Laurence;Écologiste;Doudou's Club;73, rue Emile Boutrais 94120 Fontenay-sous-Bois;Développement d'activités culturelles, organisation de concerts pour promouvoir la danse rock;224-02;3000.00
ABEILLE;Laurence;Écologiste;Festival America;Maison des Associations 41-43 rue Raymond du Temple 94300 Vincennes;Participation au financement de la huitième édition qui aura lieu en septembre 2016 et dont le thème sera « L’Amérique dans tous ses états », afin d’élargir l’offre du festival en particulier en direction des jeunes et spécialement du public scolaire;224-02;10000.00
ABOUD;Elie;Les Républicains;Organisme de Médiation en environnement Santé et Consommation (OMESC);BEZIERS;Fonctionnement;113-01;1000.00
ABOUD;Elie;Les Républicains;LIGNAN-SUR-ORB;;l'installation d'ordinateurs et de vidéoprojecteurs dans les quatre classes de l'école maternelle et de nouveaux jeux extérieurs dans la cour de récréation;122-01;3000.00
ABOUD;Elie;Les Républicains;LIEURAN-LES-BEZIERS;;la rénovation de la façade la mairie;122-01;4560.00
ABOUD;Elie;Les Républicains;BASSAN;;l'aménagement de la cour de l'école;122-01;8000.00
ABOUD;Elie;Les Républicains;BEZIERS;;"la restauration de l'oeuvre d'art  ""Faune à la coupe"" du sculpteur Antonin Injalbert";122-01;9650.00
ABOUD;Elie;Les Républicains;LIEURAN-LES-BEZIERS;;l'aménagement d'un city-stade;122-01;10000.00
ABOUD;Elie;Les Républicains;BOUJAN-SUR-LIBRON;;l'installation de quatre caméras supplémentaires de vidéosurveillance;122-01;14989.00
ABOUD;Elie;Les Républicains;CORNEILHAN;;l'aménagement de deux aires de jeux;122-01;18000.00
ABOUD;Elie;Les Républicains;Coopérative Ecole élémentaire Boujan/Libron;BOUJAN SUR LIBRON;Fonctionnement;140-02;20000.00
ABOUD;Elie;Les Républicains;Comité de quartier Font Neuve;BEZIERS;Fonctionnement;147-01;1000.00
ABOUD;Elie;Les Républicains;Le Groupement du Faubourg;BEZIERS;Fonctionnement;147-01;1000.00
ABOUD;Elie;Les Républicains;Accueil des Villes Françaises;BEZIERS;Fonctionnement;147-01;1000.00
ABOUD;Elie;Les Républicains;Club Les Micocouliers;LIGNAN SUR ORB;Fonctionnement;157-05;1000.00
ABOUD;Elie;Les Républicains;Amicale des Anciens et des Retraités de Cazouls les Béziers;CAZOULS LES BEZIERS;Fonctionnement;157-05;1000.00
ABOUD;Elie;Les Républicains;Amicale des Sapeurs-Pompiers de Béziers;BEZIERS;Fonctionnement;161-13;1000.00
ABOUD;Elie;Les Républicains;Protection civile de l'Hérault;BEZIERS;Fonctionnement;161-13;1000.00
ABOUD;Elie;Les Républicains;Anim'Lignan;LIGNAN SUR ORB;Fonctionnement;163-01;1000.00
ABOUD;Elie;Les Républicains;Centre des Jardins de Béziers;BEZIERS;Fonctionnement;163-01;1000.00
ABOUD;Elie;Les Républicains;Gymnastique d'Entretien Corneilhanaise;CORNEILHAN;Fonctionnement;163-01;1000.00
ABOUD;Elie;Les Républicains;L'AFICION;BEZIERS;Fonctionnement;163-01;7000.00
ABOUD;Elie;Les Républicains;La Savoyarde;BEZIERS;Fonctionnement;163-02;1000.00
ABOUD;Elie;Les Républicains;Anciens Combattants Victimes de guerre (FOPAC);VILLENEUVE LES BEZIERS;Fonctionnement;167-02;1000.00
ABOUD;Elie;Les Républicains;Vétérans OPEX-ONU-OTAN-France;BEZIERS;Fonctionnement;169-03;1000.00
ABOUD;Elie;Les Républicains;TGV Sud;BEZIERS;Fonctionnement;203-10;1000.00
ABOUD;Elie;Les Républicains;Corps Communication;BEZIERS;Fonctionnement;204-12;1000.00
ABOUD;Elie;Les Républicains;Les Chats libres de Portiragnes;PORTIRAGNES;Fonctionnement;206-02;1000.00
ABOUD;Elie;Les Républicains;Association sportive La Boule Emaillée;BEZIERS;Fonctionnement;219-01;1000.00
ABOUD;Elie;Les Républicains;Football Club Portiragnes;PORTIRAGNES;Fonctionnement;219-01;1000.00
ABOUD;Elie;Les Républicains;Olympique Pétanque Béziers;BEZIERS;Fonctionnement;219-01;1000.00
ABOUD;Elie;Les Républicains;La Boule Méditerranée;VALRAS PLAGE;Fonctionnement;219-01;1000.00
ABOUD;Elie;Les Républicains;Lutte Olympique Biterroise;BEZIERS;Fonctionnement;219-01;1000.00
ABOUD;Elie;Les Républicains;Association sportive biterroise de Gymnastique (ASB Gym);BEZIERS;Fonctionnement;219-01;4000.00
ABOUD;Elie;Les Républicains;Les Amis du Musée de Serignan;SERIGNAN;Fonctionnement;224-02;1000.00
ABOUD;Elie;Les Républicains;Village 3eme mi-temps;BEZIERS;Fonctionnement;224-02;1000.00
ABOUD;Elie;Les Républicains;Béziers Danses;BEZIERS;Fonctionnement;224-02;1000.00
ABOUD;Elie;Les Républicains;Atelier d'Artistes de Serignan;SERIGNAN;Fonctionnement;224-02;1000.00
ABOUD;Elie;Les Républicains;Alliance Peinture Site de Regangnas Art des Gouffres;BEZIERS;Fonctionnement;224-02;1000.00
ABOUD;Elie;Les Républicains;L'Art dans tous ses états;BASSAN;Fonctionnement;224-02;1000.00
ABOUD;Elie;Les Républicains;Confrérie Saint Andiu de la Galinière;BEZIERS;Fonctionnement;224-02;1000.00
ABOUD;Elie;Les Républicains;Institut d'Etudes Occitanes;BEZIERS;Fonctionnement;224-02;1000.00
ABOUD;Elie;Les Républicains;Les Amis de Lespignan;LESPIGNAN;Fonctionnement;224-02;3000.00
ABOUD;Elie;Les Républicains;Association pour l'enseignement aux malades ou accidentés enfants ou adolescents absents momentanément de leur établissement scolaire;;Fonctionnement;230-01;1000.00
ABOUD;Elie;Les Républicains;Radio Ciel Bleu;BEZIERS;Fonctionnement;313-10;1000.00
ABOUD;Élie;Les Républicains;Foyer rural de Maraussan;;Fonctionnement;177-11;1000.00
ABOUD;Élie;Les Républicains;Tous en Scènes;;Fonctionnement;224-02;1000.00
ABOUD;Élie;Les Républicains;L'Orgue de barbarie;;Fonctionnement;224-02;1000.00
ABOUD;Élie;Les Républicains;"Association ""Faire Savoir""";;Fonctionnement;224-02;2000.00
ACCOYER;Bernard;Les Républicains;BLOYE;;"l'acquisition de vaisselle, de couverts et de matériel destinés à la cantine du foyer rural ""Yves de Mouxy""-";122-01;3000.00
ACCOYER;Bernard;Les Républicains;CHARVONNEX;;la création de deux classes supplémentaires au sein du groupe scolaire;122-01;5000.00
ACCOYER;Bernard;Les Républicains;CREMPIGNY-BONNEGUETE;;l'aménagement de la place de l'église;122-01;5000.00
ACCOYER;Bernard;Les Républicains;VILLY-LE-PELLOUX;;l'aménagement d'un chemin piéton sur la RD n°2;122-01;5000.00
ACCOYER;Bernard;Les Républicains;MARCELLAZ-ALBANAIS;;la rénovation de la salle de classe n°1, du hall d'entrée et de la chaufferie de l'école élémentaire;122-01;7000.00
ACCOYER;Bernard;Les Républicains;SALLENOVES;;la réalisation de travaux de voirie (programme 2016);122-01;8000.00
ACCOYER;Bernard;Les Républicains;EPAGNY-METZ-TESSY;;la construction d'une salle polyvalente;122-01;15000.00
ACCOYER;Bernard;Les Républicains;MARIGNY-SAINT-MARCEL;;la réfection de la toiture de l'église;122-01;15000.00
ACCOYER;Bernard;Les Républicains;VAULX;;l'aménagement de la RD 3 en traverse du chef-lieu (tranches 1 ferme et conditionnelle);122-01;15000.00
ACCOYER;Bernard;Les Républicains;HAUTEVILLE-SUR-FIER;;"la réalisation de travaux de sécurisation de la route d'Annecy (RD14) dans le secteur ""chez Pithon""";122-01;20000.00
ACCOYER;Bernard;Les Républicains;Jeunes Agriculteurs Haute-Savoie;ANNECY CEDEX 9;Fonctionnement;154-13;2500.00
ACCOYER;Bernard;Les Républicains;Rugby Club d'Annecy-le-Vieux;ANNECY LE VIEUX;Fonctionnement;163-01;3000.00
ACCOYER;Bernard;Les Républicains;CSAV Handball;ANNECY LE VIEUX;Fonctionnement;163-01;5000.00
ACCOYER;Bernard;Les Républicains;Annecy Hockey;ANNECY;Fonctionnement;219-01;1000.00
ACCOYER;Bernard;Les Républicains;CSAV Aviron;ANNECY LE VIEUX;Fonctionnement;219-01;1500.00
ACCOYER;Bernard;Les Républicains;AS de Sillingy;SILLINGY;Fonctionnement;219-01;2000.00
ACCOYER;Bernard;Les Républicains;Football Club Rumilly;SALES;Fonctionnement;219-01;2000.00
ACCOYER;Bernard;Les Républicains;US Annecy Rugby;ANNECY;Fonctionnement;219-01;2000.00
ACCOYER;Bernard;Les Républicains;FCSR Rugby;RUMILLY CEDEX;Fonctionnement;219-01;2500.00
ACCOYER;Bernard;Les Républicains;Tennis Club d'Annecy-le-Vieux;ANNECY LE VIEUX;Fonctionnement;219-01;2500.00
ACCOYER;Bernard;Les Républicains;USAV Football;MEYTHET;Fonctionnement;219-01;3000.00
ACCOYER;Bernard;Les Républicains;Football Club Annecy;ANNECY;Fonctionnement;219-01;3000.00
ACCOYER;Bernard;Les Républicains;AS Judo Pays de Savoie;ALBENS;Fonctionnement;219-01;5000.00
ACCOYER;Bernard;Les Républicains;Batterie Fanfare de l'Echo du Parmelan;NAVES PARMELAN;Fonctionnement;224-02;1000.00
ACCOYER;Bernard;Les Républicains;Maison Familiale Rurale de la Catie;LA BALME DE SILLINGY;Fonctionnement;304-17;1000.00
ADAM;Patricia;Socialiste, républicain et citoyen;Mission locale;15, bis rue Fautras BP 71028 29210 Brest cedex 1;Fonctionnement;102-02;15000.00
ADAM;Patricia;Socialiste, républicain et citoyen;Compagnie de l'Arbalète;30, rue branda 29200 Brest;Fonctionnement;131-01;7000.00
ADAM;Patricia;Socialiste, républicain et citoyen;AB Services création;1, rue Louis Pidoux 29200 Brest;Fonctionnement;134-02;10000.00
ADAM;Patricia;Socialiste, républicain et citoyen;Ensemble Autour de Bébé;4, rue Lannoc 29200 Brest;Fonctionnement;140-01;2000.00
ADAM;Patricia;Socialiste, républicain et citoyen;Association 123;Maison de l'enfance 13, rue du vieux bourg 29850 Gouesnou;Fonctionnement;140-01;5000.00
ADAM;Patricia;Socialiste, républicain et citoyen;Société Nationale de Sauvetage en Mer;34, Quai du Commandant Malbert 29200 Brest;Fonctionnement;161-13;15000.00
ADAM;Patricia;Socialiste, républicain et citoyen;Maison de quartier de Kerinou;Rue du Commandant Somme Py 29200 Brest;Fonctionnement;163-01;3500.00
ADAM;Patricia;Socialiste, républicain et citoyen;Comité d'Organisation du Championnat d'Europe de Luttes Interceltiques;9, rue Max Jacob 29820 Guilers;Fonctionnement;163-01;5000.00
ADAM;Patricia;Socialiste, républicain et citoyen;Maison de quartier de Lambézellec;30, rue de Coëtlogon 29200 Brest;Fonctionnement;163-01;5000.00
ADAM;Patricia;Socialiste, républicain et citoyen;Patronage Laïque de Lambézellec;4, rue du Lannoc 29200 Brest;Fonctionnement;163-01;5000.00
ADAM;Patricia;Socialiste, républicain et citoyen;Patronage Laïque du Bergot;31, rue de Vendée 29200 Brest;Fonctionnement;163-01;7500.00
ADAM;Patricia;Socialiste, républicain et citoyen;Maison de quartier de Bellevue;1, rue de Quercy 29200 Brest;Fonctionnement;163-01;7500.00
ADAM;Patricia;Socialiste, républicain et citoyen;L'Agora;79, rue Charles De Gaulle 29820 Guilers;Fonctionnement;163-01;15000.00
ADAM;Patricia;Socialiste, républicain et citoyen;Egalité par Education;28, rue Yves Collet 29200 Brest;Fonctionnement;163-02;5000.00
ADAM;Patricia;Socialiste, républicain et citoyen;La Ligue de l'Enseignement du Finistère;61, rue de Pen ar Menez CS 32 958 29229 Brest cedex 2;Fonctionnement;163-02;50000.00
ADAM;Patricia;Socialiste, républicain et citoyen;Association Patron François Morin;Mairie 29242 Ouessant;Fonctionnement;175-01;10000.00
ADAM;Patricia;Socialiste, républicain et citoyen;Association au Bénéfice de l'Insertion dans le Finistère (ABI 29);ZA de Lannugat 29 100 Douarnenez;Fonctionnement;177-11;10000.00
ADAM;Patricia;Socialiste, républicain et citoyen;Digemer;30, rue du docteur Charcot  29200 Brest;Fonctionnement;177-12;10000.00
ADAM;Patricia;Socialiste, républicain et citoyen;Association Grand Prix Ecole Navale;AGPEN-BCRM CC 600 29240 Brest Cedex 9;Fonctionnement;219-01;10000.00
ADAM;Patricia;Socialiste, républicain et citoyen;Gouesnou basket;Mairie 29850 Gouesnou;Fonctionnement;219-01;15000.00
ADAM;Patricia;Socialiste, républicain et citoyen;La Minutieuse;Maison des associations du 1er arrondissement 5 bis rue du Louvre (boîte 42) 75001 PARIS;Fonctionnement;224-02;7500.00
ADAM;Patricia;Socialiste, républicain et citoyen;Association Brestoise des Jumelages et de Coopération Internationale;1, rue de l'Harteloire 29200 Brest;Fonctionnement;224-06;10000.00
ADAM;Patricia;Socialiste, républicain et citoyen;Association Départementale d'Entraide des Personnes Accueillies en Protection de l'Enfance (ADEPAPE 29);1 bis place de Locronan 29 000 Quimper;Fonctionnement;304-17;30000.00
ALAUX;Sylviane;Socialiste, républicain et citoyen;ARCANGUES;;l'embellissement et le confortement du centre-bourg;122-01;15000.00
ALAUX;Sylviane;Socialiste, républicain et citoyen;ASCAIN;;la mise aux normes d'accessibilité du club-house du complexe sportif de Kiroleta;122-01;17000.00
ALAUX;Sylviane;Socialiste, républicain et citoyen;ESPELETTE;;l'aménagement d'une bibliothèque au rez-de-chaussée de la Maison Etchegaray;122-01;20000.00
ALAUX;Sylviane;Socialiste, républicain et citoyen;AHETZE;;la réhabilitation de l'ancienne école en espace de rencontres culturelles et artistiques;122-01;23000.00
