Bénéficiaire,Adresse,Descriptif,Montant,Nom,Prénom,Département,Groupe,"Programme budgétaire",ID_Acteur
"Télé Bocal","Maison des associations
1/3 rue Frédérique Lemaître
75020 Paris","Mise en œuvre d'ateliers de production locale proposant d’utiliser l'image comme une valorisation du travail des artistes",5000.00,BAUPIN,Denis,Paris,Ecolo,313-03,PA609016
"Mieux se déplacer à Bicyclette","MDB –
37 boulevard Bourdon
75004 Paris","Réalisation des supports de communication pour faire connaître ses nouvelles dispositions sur l'usage de la bicyclette et diffusion",4000.00,BAUPIN,Denis,Paris,Ecolo,203-15,PA609016
"Festival du livre et de la presse d'écologie","6 cité de l’Ermitage
75020 Paris","Organisation du Festival du livre et de la presse d’écologie Promotion du livre et de l’écrit, information, sensibilisation et éducation à l’environnement",3500.00,BAUPIN,Denis,Paris,Ecolo,334-01,PA609016
ARDHIS,"76 cours de Vincennes
75012 Paris","Mise en place d’outils de communication : plaquette multilingue qui pourrait être mise à disposition dans les des bureaux de l’Ofpra (couples binationaux)",2500.00,BAUPIN,Denis,Paris,Ecolo,177-11,PA609016
"Act Up","BP 287
75525 Paris Cedex 11","Mise à jour et réédition des Guides de la collection « information=pouvoir » ; publication d’un nouveau Guide consacré à la co-infection VIH/VHC",5000.00,BAUPIN,Denis,Paris,Ecolo,204-13,PA609016
"Novo Ideo","5 Rue des Goncourt
75011  Paris","Evolution du site (interfaçage interactive), création de podcasts audio, évènements thématiques",2000.00,BAUPIN,Denis,Paris,Ecolo,129-11,PA609016
"Groupement de Scientifiques pour l'Information sur l'Energie Nucléaire (GSIEN)","2 allée François Villon
91400 ORSAY","Développement et diffusion d'une base d'analyse et de suivi du vieillissement des réacteurs nucléaires en France",3000.00,BAUPIN,Denis,Paris,Ecolo,174-01,PA609016
Adéquations,"c/o Maison des associations
206 quai de Valmy
75010 Paris","Organisation d'un colloque sur le thème des liens entre les enjeux, de genre (égalité femmes-hommes), écologie, économie, du territorial à l’international",2000.00,BAUPIN,Denis,Paris,Ecolo,137-11,PA609016
"LE CLER","2-B, rue Jules Ferry
93100 Montreuil","Information des copropriétés sur la rénovation énergétique par la mise en place d'un site internet, mise en place d'une écomatériauthèque",10000.00,BAUPIN,Denis,Paris,Ecolo,174-01,PA609016
"Solagro
(Toulouse)","75, avenue de Muret - CS 27608
31076  Toulouse","Réalisation de supports de communication pédagogiques  pour permettre une appropriation des propositions du projet  Afterres2050.",8000.00,BAUPIN,Denis,Paris,Ecolo,154-14,PA609016
"Club des Villes Cyclables
(75009 Paris)","33 rue du Faubourg Montmartre
75009 Paris","Réalisation d'un document de synthèse sur les effets positifs de l’activité physique et un tour d’horizon des politiques locales en faveur du vélo qui associent vélo, mobilité, activité physique et santé.",5500.00,BAUPIN,Denis,Paris,Ecolo,203-15,PA609016
"Fondation pour l'écologie politique","31-33 rue de la Colonie
75013 Paris","Organisation d'un forum sur l'écologie politique",5000.00,BAUPIN,Denis,Paris,Ecolo,129-11,PA609016
Négawatt,"1 rue des remparts
34660 Cournonsec","Création d'un site internet d'information grand public
pour lever les freins à la transition énergétique",11000.00,BAUPIN,Denis,Paris,Ecolo,174-01,PA609016
Wise,"31-33 rue de la Colonie
75013 Paris","Développement et diffusion d'une base d'analyse et de suivi du vieillissement des réacteurs nucléaires en France",8500.00,BAUPIN,Denis,Paris,Ecolo,174-01,PA609016
"Observatoire des Armements","187 montée de Choulans
69005 Lyon","Conception et impression d'une lettre d’information
sur le désarmement et la non-prolifération nucléaire.",6500.00,BAUPIN,Denis,Paris,Ecolo,212-08,PA609016
HESPUL,"14 place Jules Ferry
69006 LYON","Créer une plateforme de capitalisation et d’échange dédiée au développement des projets citoyens collectifs photovoltaïque",9500.00,BAUPIN,Denis,Paris,Ecolo,174-01,PA609016
"Energie Partagée Association",,"Réalisation d’un site web de campagne « Ma Propre Energie »",6000.00,BAUPIN,Denis,Paris,Ecolo,174-01,PA609016
"FONDATION NICOLAS HULOT","6 rue de l’Est
92100 Boulogne Billancourt","Réalisation d'outils de communication papiers et web dans le cadre du débat sur la taxation du diesel",10000.00,BAUPIN,Denis,Paris,Ecolo,174-01,PA609016
"Les Jeunes Ecologistes","247 rue du faubourg Saint Martin
75010 Paris","Organisation d'un forum intitulé «Changer la vi(ll)e ! Génération transition »",3000.00,BAUPIN,Denis,Paris,Ecolo,163-02,PA609016
"Groupe coordination Aude Mali","L'Arlequin
11120 Mayronnes","Réouverture de l'école (remise en état du bâtiment, rachat équipement et matériel scolaire…)",10000.00,"DE RUGY",François,Loire-Atlantique,Ecolo,209-02,PA332747
"Bretagne Vivante","186, rue Anatole France
BP 63121
29231 Brest Cedex 3","Entretien et restauration dans les réserves de Bretagne",7000.00,"DE RUGY",François,Loire-Atlantique,Ecolo,113-07,PA332747
"Agriculteurs français pour le développement international","11, rue de la Baume
75008 Paris","Labellisation  et promotion d'un lait local de qualité au Burkina Faso",7000.00,"DE RUGY",François,Loire-Atlantique,Ecolo,209-02,PA332747
"Compagnie NAJE","16, rue des Coquelicots
92160 Antony","Mise en place d'une formation suivie d'une recherche et de la création collective d'un spectacle de théâtre-forum",5000.00,"DE RUGY",François,Loire-Atlantique,Ecolo,224-02,PA332747
"Arcem Production","127 bis, rue Nationale
75013 Paris","Développement de réunions d'information et achat de matériel pour mise à disposition des jeunes",5000.00,"DE RUGY",François,Loire-Atlantique,Ecolo,224-02,PA332747
"Green Lotus- CREDDA","45, avenue du Président Allende
91300 Massy","Mobilisation de la société birmane autour des enjeux écologistes",5000.00,"DE RUGY",François,Loire-Atlantique,Ecolo,209-02,PA332747
"Amicale laïque de la Chauvinière","40, rue Alfred de Vigny
44300 Nantes","Acquisition de matériel d'éclairage et de sonorisation pour spectacle",3200.00,"DE RUGY",François,Loire-Atlantique,Ecolo,219-01,PA332747
"Familles rurales","Le Bourg
42600 Verrières en Forez","organisation du festival ""Les Monts de la Balle"" (spectacle vivant)",10000.00,"DE RUGY",François,Loire-Atlantique,Ecolo,131-01,PA332747
"FONDATION NICOLAS HULOT","6 rue de l’Est
92100 Boulogne Billancourt","Do Tank : identification de projets innovants en France, en Outre-Mer et dans les pays du Sud dans le but de les démultiplier",10000.00,"DE RUGY",François,Loire-Atlantique,Ecolo,113-07,PA332747
"Fondation pour l'écologie politique","31-33 rue de la Colonie
75013 Paris","Organisation de colloques, séminaires, débats...",50000.00,"DE RUGY",François,Loire-Atlantique,Ecolo,129-11,PA332747
"A tout cœur","Centre associatif Beaumontois
Rue René brut
63110 Beaumont","Téléthon Beaumont et Royat",1250.00,AUROI,Danielle,Puy-de-Dôme,Ecolo,163-01,PA608186
AUNOCADEV,"14, place Notre Dame de la Rivière
63110 Beaumont","Achat d'ordinateurs",1500.00,AUROI,Danielle,Puy-de-Dôme,Ecolo,105-02,PA608186
Volcadiva,"28, avenue de la vallée
63130 Royat","Festival international d'artistes lyriques",5000.00,AUROI,Danielle,Puy-de-Dôme,Ecolo,224-02,PA608186
"CCC Bourgogne, Franche-Comté, Auvergne","Bâtiment Samouraï 2 - 3
rue René Char
21000 Dijon","Formation et conseil des professionnels du secteur",1000.00,AUROI,Danielle,Puy-de-Dôme,Ecolo,134-02,PA608186
GIAA,,"Apporter une aide dans le domaine de la culture à des personnes malvoyantes ou atteintes de cécité",1250.00,AUROI,Danielle,Puy-de-Dôme,Ecolo,157-04,PA608186
"La Cimade","4, boulevard de la Bastille
75012 Paris","Intégration des enjeux européens dans le travail de la Cimade",10000.00,AUROI,Danielle,Puy-de-Dôme,Ecolo,101-02,PA608186
"Les Amis d'Enercoop","9-11 avenue de Villars
75007 PARIS","Organisation d'une campagne d'info sur les énergies renouvelables",7000.00,BAUPIN,Denis,Paris,Ecolo,174-01,PA609016
"Association Abeille Machine","Chez Tanguy Nédélec ,
1, rue Bachelet
93170 Bagnolet","Aménagement local",3000.00,ABEILLE,Laurence,Val-de-Marne,Ecolo,113-07,PA610427
"Association de Communication Fontanaysienne","Chez Berhouma Wiam,
1, rue Lesage
94120 Fontenay-sous-Bois","Projet de Web-TV",3000.00,ABEILLE,Laurence,Val-de-Marne,Ecolo,163-01,PA610427
"Semaine de l'Afrique en marche","Chez Jean Gaeremynck,
1, rue des Sabotiers
94300 Vincennes","Organisation d'un évènement sur 3 jours",2000.00,ABEILLE,Laurence,Val-de-Marne,Ecolo,209-02,PA610427
Artcité,"Chez Grégor Podgorski,
37, rue Guérin Leroux
94120 Fontenay-sous-Bois","Treizième édition d'Artcité",4500.00,ABEILLE,Laurence,Val-de-Marne,Ecolo,224-02,PA610427
"Cercle d'escrime de Vincennes","Chez Stéphanie Bainville,
4, rue d'Estienne d'Orves
94700 maisons-Alfort","Achat de matériel et costumes",3000.00,ABEILLE,Laurence,Val-de-Marne,Ecolo,219-01,PA610427
"La Compagnie du plateau","Maison du citoyen et de la Vie associative 16, rue du Révérend Père Lucien Aubry 94120 Fontenay sous Bois","Création d'un atelier théâtre au sein du quartier des Larris",2500.00,ABEILLE,Laurence,Val-de-Marne,Ecolo,224-02,PA610427
"Association Desire India France","Chez Marion Ordonneau Scrive-Loyer, 116, rue des Moulins
94120 Fontenay-sous-Bois","Installation de toilettes sèches dans un centre pour anciens et école en Inde",2000.00,ABEILLE,Laurence,Val-de-Marne,Ecolo,209-02,PA610427
"Entraide et partage","Chez Nicole Vernus,
19, rue du Val d'Osne 94410 Saint-Maurice","Aménagement du local de l'association",4000.00,ABEILLE,Laurence,Val-de-Marne,Ecolo,177-11,PA610427
"Football club de Saint-Mandé","Chez Philippe Rodriguez,
6, rue de l'abbé Pouchard
94160 Saint Mandé","Location d'un terrain de foot à l'Insep",5000.00,ABEILLE,Laurence,Val-de-Marne,Ecolo,219-01,PA610427
"Association Arno Lars","Chez Franck Henry,
4, allée Maxime Gorki 345,
94120 Fontenay-sous-Bois","Création d'une exposition ""instants passés"" et réalisation d'un catalogue",1500.00,ABEILLE,Laurence,Val-de-Marne,Ecolo,224-02,PA610427
"La Halte Fontenaysienne","Chez Michel peretti,
29, rue Maximilien Robespierre
94120 Fontenay-sous-Bois","Accompagnement collectif et individuel en relation avec les questions alimentaires",5000.00,ABEILLE,Laurence,Val-de-Marne,Ecolo,177-14,PA610427
"Association Home","Chez Frédéric Corneille
56, rue de Vouillé
75015 Paris","Organisation d'un goûter de fin d'année pour les femmes avec ou sans enfants",5000.00,ABEILLE,Laurence,Val-de-Marne,Ecolo,163-01,PA610427
"Les vergers de l'ilôt","Chez Martine Gicquelet,
18, rue de la Résistance
94120 Fontenay-sous-Bois","Réalisation d'un livre sur la vie de l'association",2000.00,ABEILLE,Laurence,Val-de-Marne,Ecolo,113-07,PA610427
Mobil'Douche,"Chez Stéphanie Loock,
45, rue Véron
94140 Alfortville","Acquisition d'un 2ème mobil'douche pour le département du Val de Marne",5000.00,ABEILLE,Laurence,Val-de-Marne,Ecolo,177-11,PA610427
"Ohého - Collectif des artistes de Fontenay-sous-Bois","Chez Sophie Préveyraud,
96, avenue Parmentier
94120 FONTENAY SOUS BOIS","Organisation de l'exposition collective ""Désobéir"" 2014",5000.00,ABEILLE,Laurence,Val-de-Marne,Ecolo,224-02,PA610427
Pixiflore,"Chez Jugue Loic,
109, rue Pierre Curie,
94120 Fontenay sous Bois","Création d'un webmagazine : le Mag de Pixiflore",3500.00,ABEILLE,Laurence,Val-de-Marne,Ecolo,113-07,PA610427
"Quartett éditions","2 bis villa du Progrès
94120 Fontenay sous Bois","Organisation d'une manifestation culturelle autour de la littérature dramatique contemporaine",4000.00,ABEILLE,Laurence,Val-de-Marne,Ecolo,224-02,PA610427
Regarde,"Chez Belhadj Barka,
12-14, rue Paul Langevin
94120 Fontenay sous Bois","Améliorer les ateliers de customisation de vêtements et développement d'un atelier broderie",3000.00,ABEILLE,Laurence,Val-de-Marne,Ecolo,137-11,PA610427
"Réseau proActif","Chez Osman Yavuz,
4, rue Louise Michel
94120 Fontenay sous bois","Organisation d'un ""concours d'éloquence""",2425.00,ABEILLE,Laurence,Val-de-Marne,Ecolo,304-12,PA610427
"Restaurants du cœur du Val de Marne","21, rue Léon Geoffroy
94400 Vitry sur Seine","Achat d'une vitrine réfrigérée et une transpalette électrique",5000.00,ABEILLE,Laurence,Val-de-Marne,Ecolo,304-14,PA610427
Rêves,"Chez Chritiane Gissot
5, rue des Vignerons
94300 Vincennes","Organisation d'une kermesse",3000.00,ABEILLE,Laurence,Val-de-Marne,Ecolo,204-14,PA610427
"SEL Val de Fontenay","Chez Sergio Giordano
8, quinquies, avenue de l'Ile d'Alour
94170 Le Perreux sur Marne","Organisations d'évènements et achat de matériel",1000.00,ABEILLE,Laurence,Val-de-Marne,Ecolo,304-12,PA610427
"Solidarités Nouvelles pour le logement Val de Marne","Chez Bruno Schryve
23, rue Emile Boutrais
94120 Fontenay sous Bois","Réhabilitation des bureaux de l'association",8000.00,ABEILLE,Laurence,Val-de-Marne,Ecolo,177-14,PA610427
"Triangulatcion Kultural France","16, rue du Révérend Père Aubry
94120 Fontenay sous Bois","Achat d'une camionnette",2500.00,ABEILLE,Laurence,Val-de-Marne,Ecolo,209-02,PA610427
"Union sportive Fontenaysienne","40 bis, rue de Rosny
Maison des sports
94120 Fontenay sous Bois","Achat de matériel",25000.00,ABEILLE,Laurence,Val-de-Marne,Ecolo,219-01,PA610427
"VITA GV","Maison des Associations
41/43, rue Raymond du temple
94300 Vincennes","Achat de matériel informatique",3000.00,ABEILLE,Laurence,Val-de-Marne,Ecolo,163-01,PA610427
"Vivacités IdF","102, avenue Maurice Thorez
94200 Ivry sur Seine","Organisation de deux balades urbaines",4000.00,ABEILLE,Laurence,Val-de-Marne,Ecolo,217-01,PA610427
"35 Lez'arts dans l'école","35 avenue de Montrapon
25000 Besançon","Création d'un spectacle",3000.00,ALAUZET,Éric,Doubs,Ecolo,224-02,PA605963
"Maison des lycéens du Lycée Adrien Paris FSE","8 rue Mercator
25030 Besançon C","Voyage Etats Unis",3000.00,ALAUZET,Éric,Doubs,Ecolo,230-06,PA605963
"ANB (Avenir Natation Besançon)","13 rue Stéphane Mallarmé                              25000 Besançon","Manifestation d'envergure",1500.00,ALAUZET,Éric,Doubs,Ecolo,219-01,PA605963
"ASPTT Besançon       Section Football","12-14 rue de Trépillot
BP 1015
25000 Besançon C","Permettre aux jeunes d'un quartier populaire de pratqiuer le football",1500.00,ALAUZET,Éric,Doubs,Ecolo,219-01,PA605963
"PSB Judo","3, chemin des Torcols
25000 Besançon","Organisation d'un stage de perfectionnement",1500.00,ALAUZET,Éric,Doubs,Ecolo,219-01,PA605963
"Société d'Education Populaire","5 rue de la Cure
25220 Chalezeule","Achat de matériel",1000.00,ALAUZET,Éric,Doubs,Ecolo,219-01,PA605963
"Comité régional Handi sports de Franche Comté","P.Gentilhomme  -
2 chemin de Ravoz
70210 Mélincourt","Défi sportif en faveur d'équipements d'accès aux personnes handicapées",1000.00,ALAUZET,Éric,Doubs,Ecolo,219-01,PA605963
"Comité Départemental du Sport adapté du Doubs","53 rue du Point du Jour
25000 Besançon","Championnats + sensibilisation jeune",3000.00,ALAUZET,Éric,Doubs,Ecolo,219-01,PA605963
Croqu'livre,"27 rue de la république                         25000 Besançon","Partenariat Rythmes scolaires / livres et lecture",5000.00,ALAUZET,Éric,Doubs,Ecolo,334-01,PA605963
Novill'arts,"Mairie de Novillars
8 Place du 8 mai 1945
25220 Novillars","Ouvrage 30 ans     Exposition",1500.00,ALAUZET,Éric,Doubs,Ecolo,131-02,PA605963
"Théâtre Le Philépat","9 rue Bouvard
25000 Besançon","Création sur des textes de Pierre Dac",1000.00,ALAUZET,Éric,Doubs,Ecolo,131-01,PA605963
"Chorale  A Choeur Joie L'Alouette","35 rue C.Baudelaire
25000 Besançon","Organisation de répétition et des concerts",8000.00,ALAUZET,Éric,Doubs,Ecolo,131-01,PA605963
"La Grosse Entreprise  Université de FC","6 avenue du Parc
25000 Besançon","Continnum acteurs innovation technologique et culturelle, recherche, enseignement, entreprise,…",5000.00,ALAUZET,Éric,Doubs,Ecolo,131-01,PA605963
"Musée Madeleine","1 rue de l'école
25000 Besançon","Edition d’un ouvrage : trésors de sacristies",1000.00,ALAUZET,Éric,Doubs,Ecolo,131-02,PA605963
Recidev,"3, avenue du Parc
25000 Besançon","Education au developpement durable et à la citoyenneté mondiale",2000.00,ALAUZET,Éric,Doubs,Ecolo,163-01,PA605963
"Fédération de Pêche et de protection des milieux aquatiques du Doubs","4 rue du Docteur Morel
25720 Beure","Création Atelier éducatif Pêche Nature",6000.00,ALAUZET,Éric,Doubs,Ecolo,113-07,PA605963
"Fjt les Oiseaux","48, rue des Cras
25000 Besançon","implantation d’une plate-forme de compostage collectif accéléré",4000.00,ALAUZET,Éric,Doubs,Ecolo,113-07,PA605963
"France Nature Environnement Franche Comté","MEFC
7, rue Voirin
25000 Besançon","Livret dédié aux légumes de la région",5000.00,ALAUZET,Éric,Doubs,Ecolo,113-07,PA605963
"Terre de Liens","27, rue de la République
25000 Besançon","Formation Biodiversité en milieu agricole des Fermes Terre de Lines",3000.00,ALAUZET,Éric,Doubs,Ecolo,113-07,PA605963
"Déclic Incubateur d’Initiatives","46, rue Elisée Cusenier -
25580 Etalans","Jardin partagé de l’Hôpital-du-Grosbois",3500.00,ALAUZET,Éric,Doubs,Ecolo,304-12,PA605963
"Comité de quartier de Bregille","8 bis, chemin des Monts de Bregille du Haut  -
25000 Besançon","Remplacement porte d'entrée",2000.00,ALAUZET,Éric,Doubs,Ecolo,163-01,PA605963
Floréal,"48b, rue de Belfort
25000 Besançon","Aménagement de logements accompagnés",2000.00,ALAUZET,Éric,Doubs,Ecolo,157-04,PA605963
API25,"14, rue Violet  -
25000 Besançon","Financement Camion-outils",5000.00,ALAUZET,Éric,Doubs,Ecolo,304-12,PA605963
"Communauté de Communes  du Pays d'Ornans","7, rue Edouard Bastide -
25290 Ornans","Etude de faisabilité pour la valorisation touristique et l'accessibilité et l'aménagement du Castel",3000.00,ALAUZET,Éric,Doubs,Ecolo,122-01,PA605963
"Association des Ambulanciers Francs Comtois","3, Grande Rue -
25440 Cessey","Soutien à une association de diabétique marocain",1000.00,ALAUZET,Éric,Doubs,Ecolo,209-02,PA605963
"Fédération des Accidentés de la Vie","5, avenue de Bourgogne -
25000 Besançon","Développement activité juridique  Renouvellement matériel informatique",1500.00,ALAUZET,Éric,Doubs,Ecolo,157-04,PA605963
"AAVI (Aide aux victimes)","23, rue Gambetta -
25000 Besançon","Remplacement équipement informatique",3000.00,ALAUZET,Éric,Doubs,Ecolo,101-03,PA605963
Overlook,"Chez Bernard Delhaye
Carmel Nord 24130 LUNAS","Achat matériel technique",6600.00,ALLAIN,Brigitte,Dordogne,Ecolo,131-01,PA605922
"Canoé Kayak Saint antoinais","1820, route de la moutine
24230 Saint Antoine de Breuilh","Aménagement de la base de sports pleine nature pour accueil handicapés",7000.00,ALLAIN,Brigitte,Dordogne,Ecolo,219-01,PA605922
ASPEC,"Chez Jean Dessagne
24150 Saint Capraise de Lalinde","Exposition à l'occasion du centenaire de la déclaration de guerre 14-18",1000.00,ALLAIN,Brigitte,Dordogne,Ecolo,175-04,PA605922
"L'Œil lucide","Mairie de Monpazier
24540 Monpazier","Investissement équipements culturels - cinéma en milieu rural",6000.00,ALLAIN,Brigitte,Dordogne,Ecolo,224-02,PA605922
"FNATH 24 - Association les accidentés de la vie","86, avenue du Maréchal Juin
24000 Périgueux","Mise en place d'un service de vidéo consultations pour l'aide juridique",2000.00,ALLAIN,Brigitte,Dordogne,Ecolo,157-04,PA605922
"Resto du Cœur de la Dordogne","Liberto Iguacel
2, rue Pierre Fanlac
24660 Coulounnieix Chamiers","Investissement camion frigorifique",7000.00,ALLAIN,Brigitte,Dordogne,Ecolo,304-14,PA605922
"Eclats de Lire","Chez Laure Rodriguez Courcelle
24150 Lalinde","Soutien du festival lecture jeunesse Drôles Lecteurs",1500.00,ALLAIN,Brigitte,Dordogne,Ecolo,224-02,PA605922
"Harpe en Périgord","Chez Jean-Philippe Gallet  Sérailler
24380 Fouleix","Promotion de la Harpe au travers de stages musicaux",1250.00,ALLAIN,Brigitte,Dordogne,Ecolo,224-02,PA605922
"Maison des Lycées du Lycée jean Capelle de Bergerac","LP de Naillac,
avenue du Maréchal Leclerc
24100 Bergerac","Voyage à Paris pour Visite d'un Institution de Sourds et Muets et de musées.",1200.00,ALLAIN,Brigitte,Dordogne,Ecolo,230-06,PA605922
"US Lalinde Rugby","US Lalinde Rugby
BP 16
24150 Lalinde","Soutien d'actions de formation et d'animation dans le cadre du centenaire du Club",6000.00,ALLAIN,Brigitte,Dordogne,Ecolo,219-01,PA605922
"Les Papillons Blancs de Bergerac","Chez Mathieu Patrick Saint-Christophe 24100 Bergerac","Restructuration des locaux de l'ESAT pour l'atelier Conserverie",6000.00,ALLAIN,Brigitte,Dordogne,Ecolo,157-04,PA605922
"Association le Collectif les Arts à souhait","Chez Nelly Rey,
Les Coussières
24560 Plaisance","Création d'un lieu d'expression artistique",5000.00,ALLAIN,Brigitte,Dordogne,Ecolo,163-01,PA605922
"Mélodies du monde","Chez Jean-Claude Vigué,
rue de Montigny
95220 Herblay","Festival Reggae de Bergerac: Ecologie et solidarité, un monde meilleur",4000.00,ALLAIN,Brigitte,Dordogne,Ecolo,131-01,PA605922
"Maison des Paysans Dordogne","Salle N° 7 -
Centre Jules Ferry
24100 Bergerac","Conférence Nouvelles politiques agricoles: Les applications concrètres en bergeracois",5500.00,ALLAIN,Brigitte,Dordogne,Ecolo,154-14,PA605922
"« La Bande à Michel » section théâtre du Foyer Laïque","Chez Sandrine Borderie
64, route du Stade
24130 Prigonrieux","Investissement Matériel son et lumière",1000.00,ALLAIN,Brigitte,Dordogne,Ecolo,163-02,PA605922
"Collège Eugène Leroy Bergerac","Foyer socio educatif du Collège Eugène le Roy
Bergerac","Soutien d'ateliers de pratiques artistiques",1000.00,ALLAIN,Brigitte,Dordogne,Ecolo,230-06,PA605922
"Lycée Mainde de Biran Bergerac","Lycée Maine de Biran
108, rue Valette BP 831
24108 Bergerac","Voyage scolaire à Paris (approche économique, sociologique et culturelle)",2450.00,ALLAIN,Brigitte,Dordogne,Ecolo,230-06,PA605922
"Inter Association de Saint-Diéry","Saint-Diéry Le Haut
63320 Saint Diéry","Organisation du 39ème concours départemental de la race Salers",2000.00,AUROI,Danielle,Puy-de-Dôme,Ecolo,154-14,PA608186
"Les anciens et amis de la Casamance","Chez Rolland Roussel
39, rue de la Cartoucherie
63000 Clermeont-Ferrand","Remise en état de 25 voitures pour dons à dispensaire au Sénégal",3000.00,AUROI,Danielle,Puy-de-Dôme,Ecolo,209-02,PA608186
"Jardins en herbe / Jardins botaniques d'Auvergne","8, rue Marmontel
63400 Chamalières","Agréement Jardin Botanique",2300.00,AUROI,Danielle,Puy-de-Dôme,Ecolo,113-07,PA608186
"France Baobabs","10 bis, avenue Jules Massenent
63400 Chamalières","Construction réfectoire école de brousse de Yendane",2300.00,AUROI,Danielle,Puy-de-Dôme,Ecolo,209-02,PA608186
"Union Départementale Donneurs Sang du Calvados (UD DSB)","12 avenue du VAL PRÉ
14150 OUISTREHAM","Organisation d'une collecte de sang événementielle.",2400.00,ATTARD,Isabelle,Calvados,Ecolo,204-12,PA605625
"La Maison des lycéens","Lycée Arcisse de Caumont
rue Baron Gérard
14402 BAYEUX","Réalisation par des élèves  d'une ou deux fresques murales à accrocher dans le foyer des élèves. Initier les élèves à la technique du graf.",1500.00,ATTARD,Isabelle,Calvados,Ecolo,230-06,PA605625
"Les Etoiles Cormolinaises","Mairie
4 venelle de la mairie
Le Bourg
14240 Cormolain","Achat de matériel pour l'association de majorettes.",2200.00,ATTARD,Isabelle,Calvados,Ecolo,224-02,PA605625
"Conservatoire Fédéral des Espaces Naturels de Basse-Normandie","320, quartier du Val
14200 Hérouville-Saint-Clair","Réhabilitation de 10 mares du Bessin.",6000.00,ATTARD,Isabelle,Calvados,Ecolo,113-07,PA605625
"Office de tourisme Omaha Beach","Maison de la communauté et des services -
Ancienne RN13
14710 FORMIGNY","Organisation du festival de musique OMAHA Festi'v",2000.00,ATTARD,Isabelle,Calvados,Ecolo,134-02,PA605625
"Le Doigt dans l'Oreille du Chauve","24 rue de la Croix des Landes
Le Bourg
14240 SAINT-GERMAIN-D'ECTOT","Aménagement d'une salle pédagogique et de son accès, rénovation du plancher de scène, amélioration le parc de lumières et d'instruments, acquérir l'équipement qui donnera la possibilité d'enregistrer.",4000.00,ATTARD,Isabelle,Calvados,Ecolo,224-02,PA605625
"Association Marais Page","Le Perrey-Héroult
14710 TREVIERES","Organisation du festival du livre de Trévières",1000.00,ATTARD,Isabelle,Calvados,Ecolo,224-02,PA605625
"CAP BIO BAYEUX","33 rue Saint Exupère
14400 BAYEUX","Création d'un pôle culturel et pédagogique spécialisé dans les enjeux écologiques et associé à l'activité de promotion et de vente de produits locaux et biologiques.",2500.00,ATTARD,Isabelle,Calvados,Ecolo,163-01,PA605625
"Association OSCARE (Organisation Sociale, Canine, d'Aide à la Restructuration de l'Enfant)","Les landes
14240 LIVRY","Construction d'un manège couvert pour les activités de médiation animale : activités équines et canines.",20000.00,ATTARD,Isabelle,Calvados,Ecolo,157-04,PA605625
"Football Club Côte de Nacre","10 rue du Docteur Tessel
14530 LUC-SUR-MER","Organisation d'un Tournoi International de Football regroupant 1000 enfants de 8 à 15 ans autour du devoir de Mémoire.",2000.00,ATTARD,Isabelle,Calvados,Ecolo,219-01,PA605625
"AJMB (Association des Jeunes et du Monde du Bessin)","1750 rue des primevères
14400 MONCEAUX-EN-BESSIN","Ouverture d'un atelier cinéma en milieu rural dans le Bessin destiné aux jeunes de 15 ans à 25 ans.",1200.00,ATTARD,Isabelle,Calvados,Ecolo,224-02,PA605625
"MUSICOS PLURIEL","Mairie
144 Grande rue
14880 HERMANVILLE-SUR-MER","Organisation de Stéreo-Vision en mai 2014 : présence de conférenciers, animateurs, DJ, VJ, plasticiens et collectifs.",1500.00,ATTARD,Isabelle,Calvados,Ecolo,224-02,PA605625
"Amicale Cycliste de Bayeux","place de la Gare
14400 BAYEUX","Acquisition de vélos enfants filles et garçons, tandems pour malvoyants et casques.",3000.00,ATTARD,Isabelle,Calvados,Ecolo,219-01,PA605625
"Association Recycle-age","10 route de Reviers
14480 AMBLIE","Imperméabilisation de la mare centrale du jardin des Marettes et développement d'outils pédagogiques liés au cycle de l'eau.",5000.00,ATTARD,Isabelle,Calvados,Ecolo,113-07,PA605625
"Le CREPAN (Comité Régional d’Étude pour la Protection et l’Aménagement de la Nature en Basse-Normandie)","154 rue d’Authie
14000 CAEN","Présenter aux familles une alternative aux couches jetables.",2000.00,ATTARD,Isabelle,Calvados,Ecolo,113-07,PA605625
"Centre de Pleine Nature d'Omaha Beach","Base EOLIA Normandie
Le Cavey
14710 COLLEVILLE-SUR-MER","Création d'une station des sports d'itinérance liés à la force humaine (trail running, VTT, randonnée pédestre, marche nordique, longe côte).",6000.00,ATTARD,Isabelle,Calvados,Ecolo,163-01,PA605625
"Association de Développement Territorial Local du Bessin (ADTLB)","3 rue Victor Hugo
BP 108
14230 ISIGNY-SUR-MER
Siège social :
Mairie de Bayeux
19 Rue Laitière
14400 BAYEUX","Les ""Veillées de Village"" : manifestations culturelles organisés dane les communes rurales du Bessin.",4000.00,ATTARD,Isabelle,Calvados,Ecolo,163-01,PA605625
"Cinémathèque de Normandie","7 rue Saint Laurent
14400 BAYEUX","Lancement d'une campagne de collecte, de sauvegarde et de numérisation des films tournés par des cinéastes amateurs du Bessin, depuis le début du Xxe siècle.",2200.00,ATTARD,Isabelle,Calvados,Ecolo,334-02,PA605625
