Bénéficiaire,Adresse,Descriptif,Montant,Nom,Prénom,Département,Groupe,"Programme budgétaire",ID_Acteur
"100% sport et loisirs",,Fonctionnement,1000.00,CINIERI,Dino,Loire,UMP,219-01,PA267429
"1496° Section des Médaillés Militaires",,Fonctionnement,1000.00,MARC,Alain,Aveyron,UMP,169-03,PA267512
"1686° Section des Médaillés Militaires Meyenheim quartier Dio",,Fonctionnement,1000.00,SORDI,Michel,Haut-Rhin,UMP,169-03,PA267013
"2000 Danses","""Cour de la Mairie
86700 COUHE""","Aide à la diffusion culturelle intergénération autour de la danse à l'échelle intercommunale",2000.00,CLEMENT,Jean-Michel,Vienne,SRC,224-02,PA336439
"35th  « Santa Fe » Division in Normandy",,Fonctionnement,1500.00,GOSSELIN,Philippe,Manche,UMP,169-03,PA266797
"37è parallèle","""Les Grandes Brosses
9 Rue de la bonne nouvelle
37390 METTRAY""","Matériel studios musique, salles de danse et d'atelier",14000.00,GILLE,Jean-Patrick,Indre-et-Loire,SRC,224-02,PA332305
"4Chem1 Evolution","""54, avenue Edouard Vaillant 
93500 PANTIN""","Soutien scolaire de jeunes en difficulté",4000.00,GUIGOU,Elisabeth,Seine-Saint-Denis,SRC,230-06,PA1579
"4H Tarare",,Fonctionnement,1000.00,VERCHERE,Patrice,Rhône,UMP,219-01,PA334843
"6ème continent","""51 rue Saint Michel 
69007 Lyon""",Fonctionnement,5000.00,TOURAINE,Jean-Louis,Rhône,SRC,224-02,PA334768
"8 POOL PASSION ARDENNES",,Fonctionnement,1000.00,WARSMANN,Jean-Luc,Ardennes,UMP,219-01,PA2952
"A C B",,Fonctionnement,2000.00,DEFLESSELLES,Bernard,Bouches-du-Rhône,UMP,219-01,PA1029
"A chacun ses vacances",,Fonctionnement,3000.00,FILLON,François,Paris,UMP,157-01,PA1310
"A P E L   Ecole Saint Joseph",,Fonctionnement,1000.00,MARC,Alain,Aveyron,UMP,214-01,PA267512
"A petits pas",,Fonctionnement,2000.00,HEINRICH,Michel,Vosges,UMP,140-01,PA267246
"A Portée de Voix",,Fonctionnement,1000.00,"DE LA RAUDIERE",Laure,Eure-et-Loir,UMP,224-02,PA331567
"A portée de Voix",,Fonctionnement,3000.00,SOLERE,Thierry,Hauts-de-Seine,UMP,224-02,PA346876
"A Travers Chant",,Fonctionnement,1000.00,STRAUMANN,Eric,Haut-Rhin,UMP,224-02,PA334654
"A votre Service",,Fonctionnement,1000.00,LAZARO,Thierry,Nord,UMP,106-03,PA1857
A.A.S.C.O.,"107 avenue Gabriel Péri - 93400 Saint-Ouen",Fonctionnement,10000.00,"Groupe SRC",,"*(non rattaché à un département)",,,NULL
A.A.S.D.A.F,,Fonctionnement,2000.00,GERARD,Bernard,Nord,UMP,214-01,PA1459
"A.B.C. Danse",,Fonctionnement,1000.00,DEGAUCHY,Lucien,Oise,UMP,219-01,PA1031
